,level,resp_time
0,4,2013-03-27 23:02:34
1,5,2013-03-27 20:04:08
2,4,2013-03-28 22:00:29
3,4,2013-03-29 23:00:30
4,5,2013-03-31 22:04:54
5,1,2013-04-04 01:04:06
6,1,2013-04-02 21:23:50
7,1,2013-04-03 06:11:36
8,1,2013-04-03 00:21:23
9,1,2013-04-04 06:03:26
10,1,2013-04-08 20:04:18
11,1,2013-04-05 00:16:11
12,1,2013-04-08 02:10:13
13,1,2013-04-05 06:30:50
14,1,2013-04-06 00:57:32
15,1,2013-04-06 06:17:24
16,1,2013-04-08 00:03:57
17,4,2013-04-09 08:09:41
18,4,2013-04-10 23:03:46
19,1,2013-04-12 05:02:24
20,1,2013-04-09 22:13:04
21,1,2013-04-13 06:03:47
22,1,2013-04-11 22:03:03
23,1,2013-04-12 23:41:02
24,1,2013-04-13 22:02:12
25,2,2013-04-15 17:26:32
26,2,2013-04-14 22:54:16
27,2,2013-04-14 20:06:41
28,2,2013-04-15 20:11:57
29,2,2013-04-16 04:07:31
30,3,2013-04-17 14:25:30
31,1,2013-04-16 22:24:40
32,2,2013-04-17 04:00:18
33,1,2013-04-18 08:45:02
34,2,2013-04-20 05:00:19
35,2,2013-04-21 19:38:37
36,3,2013-04-23 08:21:23
37,3,2013-04-24 17:37:12
38,3,2013-04-25 18:28:56
39,3,2013-04-26 18:02:29
40,3,2013-04-29 00:01:43
41,3,2013-04-29 04:22:48
42,3,2013-04-29 20:09:19
43,2,2013-04-30 04:03:54
44,2,2013-05-01 05:25:02
45,3,2013-05-02 05:14:46
46,2,2013-05-03 05:00:18
47,3,2013-05-06 04:00:38
48,1,2013-05-16 19:14:11
49,1,2013-05-14 19:16:38
50,1,2013-05-07 09:33:46
51,1,2013-05-07 19:00:28
52,1,2013-05-15 19:14:10
53,1,2013-05-08 08:00:10
54,1,2013-05-08 18:03:29
55,4,2013-05-09 04:03:52
56,1,2013-05-07 04:23:00
57,2,2013-05-19 04:21:24
58,1,2013-05-17 19:24:57
59,1,2013-05-18 02:02:33
60,1,2013-05-19 19:48:14
61,1,2013-05-20 19:15:19
62,1,2013-05-21 04:13:28
63,1,2013-05-21 19:15:12
64,1,2013-05-23 04:01:53
65,1,2013-05-23 19:28:41
66,5,2013-06-03 06:13:21
