,class_name,class_field,location,periods,day_learn,day_go_to_school,time_learn,start_time,end_time,avg_learn_sub,visualize_time,time_go_school
0,ANTH 012,ANTH ,silsby-rocky,"[{'day': 1, 'end': '12:20', 'start': '11:15'}, {'day': 3, 'end': '12:20', 'start': '11:15'}, {'day': 5, 'end': '12:20', 'start': '11:15'}, {'day': 2, 'end': '12:50', 'start': '12:00'}]","[1, 2, 3, 5]",4,[3900. 3900. 3900. 3000.],"['11:15:00', '11:15:00', '11:15:00', '12:00:00']","['12:20:00', '12:20:00', '12:20:00', '12:50:00']",3675.0,01:01:15,"[3900.0, 3900.0, 3900.0, 0, 3000.0]"
1,BIOL 004,BIOL ,lsb,"[{'day': 2, 'end': '11:50', 'start': '10:00'}, {'day': 4, 'end': '11:50', 'start': '10:00'}, {'day': 3, 'end': '15:50', 'start': '15:00'}]","[2, 3, 4]",3,[6600. 6600. 3000.],"['10:00:00', '10:00:00', '15:00:00']","['11:50:00', '11:50:00', '15:50:00']",5400.0,01:30:00,"[0, 6600.0, 6600.0, 3000.0, 0]"
2,BIOL 006,BIOL ,lsb,"[{'day': 2, 'end': '11:50', 'start': '10:00'}, {'day': 4, 'end': '11:50', 'start': '10:00'}, {'day': 3, 'end': '15:50', 'start': '15:00'}]","[2, 3, 4]",3,[6600. 6600. 3000.],"['10:00:00', '10:00:00', '15:00:00']","['11:50:00', '11:50:00', '15:50:00']",5400.0,01:30:00,"[0, 6600.0, 6600.0, 3000.0, 0]"
3,CHIN 033,CHIN ,reed,"[{'day': 1, 'end': '09:50', 'start': '09:00'}, {'day': 2, 'end': '09:50', 'start': '09:00'}, {'day': 4, 'end': '09:50', 'start': '09:00'}, {'day': 5, 'end': '09:50', 'start': '09:00'}, {'day': 3, 'end': '09:50', 'start': '09:00'}]","[1, 2, 3, 4, 5]",5,[3000. 3000. 3000. 3000. 3000.],"['9:00:00', '9:00:00', '9:00:00', '9:00:00', '9:00:00']","['9:50:00', '9:50:00', '9:50:00', '9:50:00', '9:50:00']",3000.0,00:50:00,"[3000.0, 3000.0, 3000.0, 3000.0, 3000.0]"
4,CHIN 062,CHIN ,kemeny,"[{'day': 2, 'end': '17:50', 'start': '16:00'}, {'day': 4, 'end': '17:50', 'start': '16:00'}, {'day': 1, 'end': '17:50', 'start': '17:00'}]","[1, 2, 4]",3,[6600. 6600. 3000.],"['16:00:00', '16:00:00', '17:00:00']","['17:50:00', '17:50:00', '17:50:00']",5400.0,01:30:00,"[6600.0, 6600.0, 0, 3000.0, 0]"
5,COSC 007,COSC ,baker-berry,"[{'day': 1, 'end': '14:50', 'start': '13:45'}, {'day': 3, 'end': '14:50', 'start': '13:45'}, {'day': 5, 'end': '14:50', 'start': '13:45'}, {'day': 4, 'end': '13:50', 'start': '13:00'}]","[1, 3, 4, 5]",4,[3900. 3900. 3900. 3000.],"['13:45:00', '13:45:00', '13:45:00', '13:00:00']","['14:50:00', '14:50:00', '14:50:00', '13:50:00']",3675.0,01:01:15,"[3900.0, 0, 3900.0, 3900.0, 3000.0]"
6,COSC 020,COSC ,moore,"[{'day': 2, 'end': '15:50', 'start': '14:00'}, {'day': 4, 'end': '15:50', 'start': '14:00'}, {'day': 3, 'end': '17:05', 'start': '16:15'}]","[2, 3, 4]",3,[6600. 6600. 3000.],"['14:00:00', '14:00:00', '16:15:00']","['15:50:00', '15:50:00', '17:05:00']",5400.0,01:30:00,"[0, 6600.0, 6600.0, 3000.0, 0]"
7,COSC 027,COSC ,sudikoff,"[{'day': 1, 'end': '16:50', 'start': '15:00'}, {'day': 1, 'end': '17:50', 'start': '17:00'}, {'day': 4, 'end': '17:50', 'start': '16:00'}]","[1, 1, 4]",3,[6600. 3000. 6600.],"['15:00:00', '17:00:00', '16:00:00']","['16:50:00', '17:50:00', '17:50:00']",5400.0,01:30:00,"[6600.0, 0, 0, 6600.0, 0]"
8,COSC 050,COSC ,kemeny,"[{'day': 1, 'end': '13:35', 'start': '12:30'}, {'day': 3, 'end': '13:35', 'start': '12:30'}, {'day': 5, 'end': '13:35', 'start': '12:30'}, {'day': 2, 'end': '13:50', 'start': '13:00'}]","[1, 2, 3, 5]",4,[3900. 3900. 3900. 3000.],"['12:30:00', '12:30:00', '12:30:00', '13:00:00']","['13:35:00', '13:35:00', '13:35:00', '13:50:00']",3675.0,01:01:15,"[3900.0, 3900.0, 3900.0, 0, 3000.0]"
9,COSC 057,COSC ,sudikoff,"[{'day': 1, 'end': '14:50', 'start': '13:45'}, {'day': 3, 'end': '14:50', 'start': '13:45'}, {'day': 5, 'end': '14:50', 'start': '13:45'}, {'day': 4, 'end': '13:50', 'start': '13:00'}]","[1, 3, 4, 5]",4,[3900. 3900. 3900. 3000.],"['13:45:00', '13:45:00', '13:45:00', '13:00:00']","['14:50:00', '14:50:00', '14:50:00', '13:50:00']",3675.0,01:01:15,"[3900.0, 0, 3900.0, 3900.0, 3000.0]"
