,conv_date,conv_userID,conv_dayofweek,conv_dur_sum,conv_max,conv_min,conv_mean,conv_std,conv_25%,conv_med or 50%,conv_75%,conv_freq,conv_level
0,2013-03-27,5,3,19362,7594.0,81.0,1936.2,2271.602214786344,549.5,1048.5,2601.5,10.0,2.0
1,2013-03-28,5,4,23106,6385.0,60.0,608.0526315789474,1114.1291338461533,116.0,196.5,562.25,38.0,1.0
2,2013-03-29,5,5,25537,6499.0,31.0,1216.047619047619,1733.2655444619693,111.0,409.0,1907.0,21.0,
3,2013-03-30,5,6,29901,4649.0,51.0,964.548387096774,1157.660596165378,101.0,353.0,1644.0,31.0,2.0
4,2013-03-31,5,0,23065,3944.0,50.0,1002.8260869565216,1023.3507641865835,378.0,595.0,1442.0,23.0,1.0
5,2013-04-01,5,1,21540,2250.0,50.0,742.7586206896551,636.35590082305,151.0,666.0,1109.0,29.0,
6,2013-04-02,5,2,16406,4034.0,70.0,420.6666666666667,883.1690645008056,100.0,131.0,277.5,39.0,
7,2013-04-03,5,3,30698,4084.0,60.0,1023.2666666666668,1185.7644103200305,163.5,630.0,1376.0,30.0,
8,2013-04-04,5,4,26439,6649.0,50.0,1057.56,1642.0977203970942,161.0,302.0,958.0,25.0,
9,2013-04-05,5,5,32724,6030.0,50.0,909.0,1290.7175855756695,128.5,368.0,1434.75,36.0,
10,2013-04-06,5,6,15910,10880.0,60.0,1060.6666666666667,2791.9354440619727,100.0,121.0,237.0,15.0,
11,2013-04-07,5,0,18931,4406.0,60.0,591.59375,827.0109356602322,138.75,337.5,682.75,32.0,
12,2013-04-08,5,1,29478,4045.0,30.0,950.9032258064516,994.5805264813474,156.0,605.0,1442.0,31.0,
13,2013-04-09,5,2,11999,2895.0,71.0,799.9333333333333,882.5238537178202,146.5,363.0,1144.5,15.0,
14,2013-04-10,5,3,6191,2864.0,70.0,1547.75,1173.444040705251,1000.75,1628.5,2175.5,4.0,
15,2013-04-11,5,4,27140,3863.0,71.0,848.125,1064.1763663555384,141.0,297.0,1189.75,32.0,
16,2013-04-12,5,5,606,606.0,606.0,606.0,,606.0,606.0,606.0,1.0,
17,2013-04-13,5,6,13902,2753.0,60.0,496.5,699.5928710222719,123.5,261.5,403.25,28.0,
18,2013-04-14,5,0,26378,3913.0,50.0,628.047619047619,716.1465973504529,143.5,428.5,826.75,42.0,
19,2013-04-15,5,1,24535,4750.0,50.0,791.4516129032259,976.9023096403477,106.0,404.0,1270.0,31.0,
20,2013-04-16,5,2,70,70.0,70.0,70.0,,70.0,70.0,70.0,1.0,
21,2013-04-17,5,3,26448,5910.0,70.0,1392.0,1600.9863279310732,282.0,797.0,1710.5,19.0,
22,2013-04-18,5,4,14636,2000.0,60.0,696.952380952381,687.7191633356217,161.0,363.0,1019.0,21.0,
23,2013-04-19,5,5,2560,907.0,81.0,284.44444444444446,257.35681024169105,151.0,181.0,272.0,9.0,
24,2013-04-20,5,6,19574,2401.0,70.0,674.9655172413793,635.9272466675627,161.0,585.0,968.0,29.0,
25,2013-04-21,5,0,21455,3258.0,60.0,466.4130434782609,594.0072044489007,121.0,302.5,542.25,46.0,
26,2013-04-22,5,1,21820,3998.0,20.0,559.4871794871794,896.5709785444492,96.0,171.0,539.0,39.0,
27,2013-04-23,5,2,17914,6061.0,21.0,542.8484848484849,1088.123502905694,131.0,211.0,514.0,33.0,
28,2013-04-24,5,3,16460,3318.0,90.0,633.0769230769231,778.6335170323416,164.25,393.5,670.0,26.0,
29,2013-04-25,5,4,15967,2775.0,40.0,614.1153846153846,729.1527865638628,133.5,267.5,1023.75,26.0,
30,2013-04-26,5,5,28310,3937.0,50.0,884.6875,972.4207385396176,148.5,615.0,1207.5,32.0,
31,2013-04-27,5,6,12418,5072.0,61.0,344.94444444444446,827.5070977492559,108.5,171.5,285.5,36.0,
32,2013-04-28,5,0,6979,1412.0,70.0,332.3333333333333,357.339381167726,111.0,162.0,413.0,21.0,
33,2013-04-29,5,1,24446,3489.0,50.0,596.2439024390244,792.1630129110991,131.0,242.0,847.0,41.0,
34,2013-04-30,5,2,15024,3237.0,30.0,455.27272727272725,664.9705478782159,101.0,212.0,484.0,33.0,
35,2013-05-01,5,3,24528,4287.0,60.0,613.2,940.3767984573648,81.0,177.0,575.25,40.0,
36,2013-05-02,5,4,13127,4951.0,51.0,397.7878787878788,839.2375169452835,101.0,222.0,373.0,33.0,
37,2013-05-03,5,5,20956,4417.0,70.0,873.1666666666666,1207.7987403129089,136.75,237.0,960.25,24.0,
38,2013-05-04,5,6,16205,2360.0,51.0,385.8333333333333,479.9989286912164,103.5,206.5,459.0,42.0,
39,2013-05-05,5,0,10175,2471.0,60.0,678.3333333333334,817.7398002741342,121.0,252.0,1049.0,15.0,
40,2013-05-06,5,1,21227,3682.0,40.0,573.7027027027027,858.5195870691485,111.0,172.0,645.0,37.0,
41,2013-05-07,5,2,2308,1069.0,50.0,384.6666666666667,472.7061102489227,52.5,115.5,723.75,6.0,
42,2013-05-08,5,3,15158,3469.0,40.0,757.9,1047.3258126747075,166.75,252.5,710.75,20.0,
43,2013-05-09,5,4,12137,3774.0,50.0,367.7878787878788,701.9714986012501,81.0,151.0,272.0,33.0,
44,2013-05-10,5,5,18794,4499.0,71.0,1044.111111111111,1318.8067195001292,138.75,453.5,1520.5,18.0,
45,2013-05-11,5,6,3769,1825.0,50.0,221.7058823529412,418.2682698797929,81.0,111.0,151.0,17.0,
46,2013-05-12,5,0,26049,11689.0,60.0,814.03125,2182.837432576336,100.0,206.5,426.5,32.0,
47,2013-05-13,5,1,13154,2654.0,60.0,487.1851851851852,632.3976376298159,91.0,201.0,521.0,27.0,
48,2013-05-14,5,2,11617,4085.0,60.0,400.5862068965517,784.9037027942336,91.0,192.0,322.0,29.0,
49,2013-05-15,5,3,17651,3015.0,50.0,767.4347826086956,852.7300449991596,96.0,414.0,1296.0,23.0,
50,2013-05-16,5,4,4059,1880.0,61.0,676.5,911.3194280821626,81.0,111.0,1396.5,6.0,
51,2013-05-17,5,5,1400,393.0,70.0,233.33333333333331,129.64361406049534,153.5,206.5,342.75,6.0,
52,2013-05-18,5,6,13244,7262.0,50.0,946.0,2018.434694357144,81.0,106.0,516.75,14.0,
53,2013-05-19,5,0,14190,2121.0,40.0,373.42105263157896,423.2917741124844,121.0,186.0,514.75,38.0,
54,2013-05-20,5,1,12049,2219.0,60.0,481.96,644.0873698497743,91.0,232.0,535.0,25.0,
55,2013-05-21,5,2,18120,3656.0,60.0,647.1428571428571,822.2316387277176,114.25,319.0,870.5,28.0,
56,2013-05-22,5,3,32163,5435.0,60.0,893.4166666666666,1270.5259062968485,188.5,489.0,773.75,36.0,
57,2013-05-23,5,4,12705,1775.0,60.0,352.9166666666667,389.6997653872236,108.5,197.0,469.0,36.0,
58,2013-05-24,5,5,4123,2702.0,151.0,824.6,1063.613792689809,262.0,393.0,615.0,5.0,
59,2013-05-25,5,6,1079,596.0,60.0,269.75,252.8535478625259,75.0,211.5,406.25,4.0,
60,2013-05-26,5,0,122,122.0,122.0,122.0,,122.0,122.0,122.0,1.0,
61,2013-05-27,5,1,35480,4750.0,40.0,739.1666666666666,1159.1841469433678,116.25,226.5,633.0,48.0,
62,2013-05-28,5,2,21758,2057.0,51.0,483.5111111111111,524.3871584232321,101.0,262.0,696.0,45.0,
63,2013-05-29,5,3,21340,4837.0,40.0,790.3703703703703,1064.2883555238702,100.5,364.0,1064.0,27.0,
