date,home_time,recreational_activities,school_time,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer
01:04:2013 ,74400.0,7201.0,4799.0,0.0,0.0,0.0,0,1.0,10500.0,15
01:05:2013 ,80404.0,7200.0,2396.0,0.0,0.0,0.0,2,1.0,3900.0,15
02:04:2013 ,70800.0,0.0,14400.0,0.0,0.0,0.0,1,0.0,0.0,15
02:05:2013 ,66000.0,16800.0,1200.0,0.0,0.0,0.0,3,1.0,10500.0,15
03:04:2013 ,54000.0,24000.0,8400.0,0.0,0.0,0.0,2,0.0,3900.0,15
03:05:2013 ,88804.0,13200.0,0.0,1196.0,0.0,0.0,4,1.0,3000.0,15
04:04:2013 ,60000.0,21600.0,6001.0,0.0,0.0,0.0,3,1.0,10500.0,15
04:05:2013 ,69600.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,15
05:04:2013 ,75599.0,9599.0,6001.0,4800.0,0.0,0.0,4,0.0,3000.0,15
05:05:2013 ,90002.0,9598.0,0.0,0.0,2400.0,0.0,-1,0.0,0.0,15
06:04:2013 ,78000.0,1200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,15
06:05:2013 ,68402.0,2398.0,0.0,1200.0,0.0,0.0,0,1.0,10500.0,15
07:04:2013 ,70800.0,16800.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,15
07:05:2013 ,61199.0,20401.0,2400.0,0.0,0.0,0.0,1,0.0,0.0,15
08:04:2013 ,67201.0,7199.0,7201.0,0.0,0.0,0.0,0,1.0,10500.0,15
08:05:2013 ,58797.0,30863.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,15
09:04:2013 ,58799.0,21601.0,4800.0,0.0,0.0,3599.0,1,0.0,0.0,15
09:05:2013 ,66001.0,16800.0,0.0,0.0,0.0,0.0,3,1.0,10500.0,15
10:04:2013 ,91196.0,10804.0,1200.0,0.0,0.0,0.0,2,1.0,3900.0,15
10:05:2013 ,15600.0,156691.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,15
11:04:2013 ,58800.0,7200.0,0.0,0.0,1200.0,0.0,3,1.0,10500.0,15
11:05:2013 ,27600.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,15
12:04:2013 ,92400.0,7200.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,15
12:05:2013 ,66000.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,15
13:04:2013 ,84381.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,15
13:05:2013 ,75600.0,4800.0,0.0,0.0,0.0,0.0,0,1.0,10500.0,15
14:04:2013 ,85200.0,8400.0,0.0,0.0,1200.0,0.0,-1,0.0,0.0,15
14:05:2013 ,74011.0,1199.0,0.0,1196.0,9994.0,0.0,1,0.0,0.0,15
15:04:2013 ,62401.0,4799.0,0.0,0.0,0.0,0.0,0,1.0,10500.0,15
15:05:2013 ,58967.0,21433.0,8400.0,0.0,0.0,0.0,2,0.0,3900.0,15
16:04:2013 ,85002.0,0.0,0.0,1398.0,0.0,0.0,1,0.0,0.0,15
16:05:2013 ,66744.0,16800.0,0.0,0.0,0.0,0.0,3,1.0,10500.0,15
17:04:2013 ,43200.0,13200.0,9600.0,0.0,22800.0,0.0,2,0.0,3900.0,15
17:05:2013 ,286744.0,2400.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,15
18:04:2013 ,62400.0,15600.0,6000.0,0.0,0.0,0.0,3,1.0,10500.0,15
