date,home_time,orthers,recreational_activities,school_time,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,69602.0,3598.0,4799.0,14401.0,1200.0,0.0,0,0.0,6900.0,17,"Little Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,Chi Heorot,0,Dartmouth College,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
01:05:2013,59508.0,0.0,0.0,8400.0,0.0,0.0,2,1.0,13500.0,17,"Sudikoff Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College"
02:04:2013,72001.0,0.0,0.0,10800.0,0.0,0.0,1,0.0,9600.0,17,"Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College"
02:05:2013,44766.0,0.0,0.0,49200.0,0.0,3600.0,3,0.0,9900.0,17,"Sudikoff Hall,Dartmouth College,Mass Parking Lot,Collis Student Center,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall"
03:04:2013,63599.0,6000.0,0.0,13200.0,0.0,0.0,2,0.0,13500.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
03:05:2013,56401.0,1201.0,3598.0,1200.0,0.0,8401.0,4,1.0,6000.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,0,Alumni Gymnasium,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Mass Parking Lot"
04:04:2013,68400.0,0.0,0.0,18000.0,0.0,0.0,3,0.0,9900.0,17,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,148739.0,7198.0,0.0,2401.0,0.0,6000.0,5,0.0,0.0,17,"Dartmouth College,Robinson Hall,0,Dartmouth College,Coldwell Banker,Dartmouth College,Coldwell Banker,Coldwell Banker,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
05:04:2013,88252.0,0.0,0.0,7201.0,0.0,5999.0,4,0.0,6000.0,17,"Dartmouth College,Dartmouth College,Sudikoff Hall,0,Class of 1953 Commons,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College"
05:05:2013,19800.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,17,"South Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College"
