date,home_time,school_time,travel_time,recreational_activities,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,2400.0,15600.0,0.0,0.0,0.0,0,0.0,7800.0,18,"Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B"
01:05:2013,11985.0,60060.0,0.0,0.0,0.0,2,0.0,14400.0,18,"Dartmouth College,Dartmouth College,Dartmouth College,House Center B,House Center B,House Center B,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College,House Center B"
02:04:2013,22800.0,73200.0,0.0,0.0,0.0,1,0.0,10500.0,18,"Sudikoff Hall,Dartmouth College,Dartmouth College,House Center B,House Center B,Dartmouth College,House Center B"
02:05:2013,8353.0,70900.0,0.0,0.0,0.0,3,0.0,6900.0,18,"Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
03:04:2013,10800.0,58800.0,0.0,0.0,0.0,2,0.0,14400.0,18,"Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Hallgarten Hall,Hallgarten Hall"
03:05:2013,14413.0,73187.0,0.0,0.0,0.0,4,0.0,6000.0,18,"House Center B,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
04:04:2013,22800.0,63600.0,0.0,0.0,0.0,3,0.0,6900.0,18,"Sudikoff Hall,Dartmouth College,House Center B,Dartmouth College,House Center B,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,1101.0,178994.0,0.0,0.0,0.0,5,0.0,0.0,18,"Dartmouth College,House Center B"
05:04:2013,4800.0,81600.0,0.0,0.0,0.0,4,0.0,6000.0,18,"Dartmouth College,House Center B,Sudikoff Hall,Sudikoff Hall,House Center B,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
06:04:2013,7200.0,79201.0,4799.0,0.0,0.0,5,0.0,0.0,18,"House Center B,Sudikoff Hall,House Center B,House Center B,Mass Parking Lot,House Center B,Dartmouth College"
06:05:2013,7799.0,64800.0,0.0,5481.0,0.0,0,0.0,7800.0,18,"Berry Library,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College"
07:04:2013,43200.0,57600.0,0.0,0.0,0.0,-1,0.0,0.0,18,"House Center B,Dartmouth College"
07:05:2013,13196.0,88803.0,1801.0,599.0,0.0,1,0.0,10500.0,18,"Berry Library,House Center B,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Mass Parking Lot,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,House Center B,House Center B"
08:04:2013,2400.0,74400.0,0.0,0.0,0.0,0,0.0,7800.0,18,"Dartmouth College,House Center B,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,House Center B"
08:05:2013,4199.0,66002.0,4800.0,0.0,0.0,2,0.0,14400.0,18,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,House Center B,Mass Parking Lot,Dartmouth College,House Center B,Dartmouth College,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse,Dana Circle Parking Lot,Sudikoff Hall,House Center B"
09:04:2013,1200.0,151200.0,0.0,0.0,0.0,1,0.0,10500.0,18,"Dartmouth College,House Center B"
09:05:2013,88966.0,61804.0,0.0,4200.0,0.0,3,0.0,6900.0,18,"Dartmouth College,Dartmouth College,Hood Museum of Art,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Berry Library,Berry Library,House Center B,Dartmouth College,Dartmouth College"
10:04:2013,5998.0,7202.0,0.0,0.0,0.0,2,1.0,14400.0,18,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College"
10:05:2013,50886.0,0.0,0.0,0.0,0.0,4,1.0,6000.0,18,Life Sciences Greenhouse
11:04:2013,10801.0,73200.0,0.0,0.0,0.0,3,0.0,6900.0,18,"Dartmouth College,Dartmouth College,House Center B,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse"
11:05:2013,1200.0,70203.0,0.0,0.0,0.0,5,0.0,0.0,18,"House Center B,Dartmouth College,House Center B"
12:04:2013,52799.0,33603.0,1200.0,0.0,0.0,4,0.0,6000.0,18,"Dartmouth College,House Center B,Sudikoff Hall,House Center B,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Sudikoff Hall,Sudikoff Hall"
12:05:2013,4800.0,77400.0,0.0,600.0,0.0,-1,0.0,0.0,18,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,House Center B,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,House Center B"
