date,home_time,school_time,recreational_activities,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer
01:04:2013 ,51601.0,4800.0,0.0,0.0,0.0,0,0.0,3900.0,21
01:05:2013 ,351555.0,6001.0,15599.0,0.0,0.0,2,1.0,10500.0,21
02:04:2013 ,73052.0,0.0,14399.0,0.0,0.0,1,1.0,6600.0,21
03:04:2013 ,78148.0,4800.0,14400.0,2400.0,0.0,2,1.0,10500.0,21
04:04:2013 ,2400.0,3600.0,57600.0,0.0,0.0,3,1.0,6900.0,21
05:04:2013 ,102000.0,0.0,0.0,1200.0,0.0,4,1.0,3000.0,21
05:05:2013 ,225600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,21
06:04:2013 ,99600.0,0.0,0.0,0.0,0.0,5,0.0,0.0,21
07:04:2013 ,99600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,21
08:04:2013 ,127200.0,3600.0,0.0,0.0,1200.0,0,1.0,3900.0,21
08:05:2013 ,263053.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,21
10:04:2013 ,140404.0,10798.0,14399.0,0.0,0.0,2,0.0,10500.0,21
11:04:2013 ,4799.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,21
11:05:2013 ,88800.0,0.0,0.0,0.0,0.0,5,0.0,0.0,21
12:04:2013 ,115201.0,0.0,0.0,0.0,1199.0,4,1.0,3000.0,21
12:05:2013 ,348793.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,21
13:04:2013 ,126139.0,0.0,0.0,0.0,0.0,5,0.0,0.0,21
14:04:2013 ,437509.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,21
16:05:2013 ,82249.0,0.0,13200.0,0.0,0.0,3,1.0,6900.0,21
17:05:2013 ,74400.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,21
18:05:2013 ,173799.0,3599.0,0.0,0.0,0.0,5,0.0,0.0,21
19:04:2013 ,50102.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,21
20:04:2013 ,121207.0,0.0,0.0,0.0,0.0,5,0.0,0.0,21
20:05:2013 ,21601.0,17999.0,0.0,0.0,0.0,0,0.0,3900.0,21
21:04:2013 ,188401.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,21
24:04:2013 ,87599.0,8399.0,7201.0,0.0,0.0,2,1.0,10500.0,21
25:04:2013 ,69600.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,21
26:04:2013 ,97183.0,5967.0,0.0,0.0,0.0,4,0.0,3000.0,21
27:04:2013 ,64836.0,0.0,14414.0,0.0,0.0,5,0.0,0.0,21
28:04:2013 ,88800.0,0.0,13200.0,0.0,0.0,-1,0.0,0.0,21
29:04:2013 ,76801.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,21
30:04:2013 ,72000.0,0.0,0.0,3599.0,0.0,1,1.0,6600.0,21
