date,home_time,recreational_activities,school_time,travel_time,orthers,working,date_in_week,cut_class,volunteer
01:04:2013 ,91205.0,2399.0,0.0,0.0,0.0,0.0,0,0.0,23
01:06:2013 ,16799.0,0.0,0.0,0.0,0.0,0.0,5,0.0,23
02:04:2013 ,79196.0,0.0,0.0,0.0,0.0,0.0,1,0.0,23
03:04:2013 ,66003.0,5999.0,12000.0,3598.0,0.0,0.0,2,0.0,23
04:04:2013 ,81482.0,0.0,0.0,0.0,3718.0,0.0,3,0.0,23
04:05:2013 ,168055.0,0.0,0.0,0.0,0.0,0.0,5,0.0,23
05:04:2013 ,76800.0,4800.0,4800.0,0.0,0.0,0.0,4,1.0,23
06:04:2013 ,97155.0,0.0,0.0,0.0,1247.0,0.0,5,0.0,23
06:05:2013 ,178086.0,4799.0,0.0,0.0,0.0,0.0,0,0.0,23
07:04:2013 ,92177.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,23
08:04:2013 ,58798.0,3600.0,7200.0,0.0,0.0,0.0,0,1.0,23
08:05:2013 ,100800.0,3600.0,0.0,0.0,0.0,0.0,2,0.0,23
09:04:2013 ,84001.0,0.0,0.0,1199.0,0.0,0.0,1,0.0,23
09:05:2013 ,62400.0,1200.0,0.0,0.0,0.0,0.0,3,0.0,23
10:04:2013 ,57599.0,8400.0,20401.0,1200.0,0.0,0.0,2,0.0,23
10:05:2013 ,87903.0,2400.0,0.0,0.0,0.0,0.0,4,0.0,23
11:04:2013 ,79202.0,3599.0,0.0,0.0,1199.0,1200.0,3,0.0,23
11:05:2013 ,169326.0,1199.0,0.0,0.0,0.0,0.0,5,0.0,23
12:04:2013 ,73200.0,9600.0,4800.0,0.0,0.0,0.0,4,1.0,23
13:04:2013 ,74400.0,8400.0,0.0,0.0,2400.0,0.0,5,0.0,23
13:05:2013 ,98402.0,3599.0,0.0,3600.0,0.0,0.0,0,0.0,23
14:04:2013 ,87600.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,23
14:05:2013 ,60001.0,0.0,0.0,0.0,0.0,0.0,1,0.0,23
15:04:2013 ,83998.0,2402.0,0.0,0.0,0.0,0.0,0,0.0,23
15:05:2013 ,77200.0,2400.0,8400.0,0.0,0.0,0.0,2,1.0,23
16:04:2013 ,92400.0,0.0,0.0,0.0,0.0,0.0,1,0.0,23
16:05:2013 ,62400.0,0.0,24000.0,0.0,0.0,0.0,3,0.0,23
17:04:2013 ,68400.0,6000.0,4800.0,0.0,0.0,0.0,2,1.0,23
17:05:2013 ,97951.0,7199.0,0.0,0.0,0.0,0.0,4,0.0,23
18:04:2013 ,87600.0,0.0,0.0,0.0,0.0,0.0,3,0.0,23
18:05:2013 ,68399.0,0.0,0.0,8343.0,0.0,0.0,5,0.0,23
19:04:2013 ,78448.0,7296.0,0.0,0.0,0.0,0.0,4,0.0,23
19:05:2013 ,92317.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,23
20:04:2013 ,76800.0,0.0,7200.0,20400.0,0.0,0.0,5,0.0,23
20:05:2013 ,91690.0,7201.0,4800.0,0.0,0.0,0.0,0,1.0,23
21:04:2013 ,66000.0,2400.0,0.0,0.0,0.0,0.0,-1,0.0,23
21:05:2013 ,58327.0,0.0,0.0,0.0,0.0,0.0,1,0.0,23
22:04:2013 ,67165.0,2400.0,18000.0,0.0,0.0,0.0,0,0.0,23
22:05:2013 ,98687.0,2400.0,0.0,0.0,0.0,0.0,2,0.0,23
23:04:2013 ,85235.0,0.0,0.0,0.0,0.0,0.0,1,0.0,23
23:05:2013 ,63600.0,1200.0,0.0,3600.0,0.0,0.0,3,0.0,23
24:04:2013 ,103200.0,1200.0,0.0,0.0,0.0,0.0,2,0.0,23
24:05:2013 ,104400.0,2400.0,0.0,0.0,1200.0,0.0,4,0.0,23
25:04:2013 ,67116.0,0.0,0.0,0.0,1200.0,0.0,3,0.0,23
25:05:2013 ,178776.0,0.0,0.0,0.0,0.0,0.0,5,0.0,23
26:04:2013 ,696010.0,0.0,0.0,0.0,0.0,0.0,4,0.0,23
27:03:2013 ,7197.0,0.0,4801.0,0.0,0.0,0.0,2,1.0,23
27:05:2013 ,36019.0,20349.0,0.0,0.0,0.0,0.0,0,0.0,23
28:03:2013 ,80402.0,1199.0,3600.0,0.0,0.0,0.0,3,1.0,23
28:05:2013 ,57494.0,28878.0,0.0,0.0,0.0,0.0,1,0.0,23
29:03:2013 ,81599.0,0.0,6000.0,0.0,0.0,0.0,4,1.0,23
29:05:2013 ,152528.0,0.0,0.0,0.0,0.0,0.0,2,0.0,23
30:03:2013 ,81028.0,0.0,0.0,0.0,4172.0,0.0,5,0.0,23
30:05:2013 ,36001.0,0.0,5999.0,0.0,0.0,0.0,3,1.0,23
31:03:2013 ,86400.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,23
31:05:2013 ,74010.0,0.0,2400.0,0.0,0.0,0.0,4,1.0,23
