date,home_time,school_time,travel_time,recreational_activities,date_in_week,cut_class,volunteer
01:04:2013 ,110158.0,3608.0,1203.0,0.0,0,1.0,24
01:05:2013 ,102320.0,0.0,1200.0,0.0,2,0.0,24
02:05:2013 ,204000.0,4800.0,0.0,0.0,3,1.0,24
03:04:2013 ,139412.0,1200.0,0.0,0.0,2,1.0,24
04:04:2013 ,81601.0,4799.0,0.0,0.0,3,1.0,24
05:04:2013 ,170400.0,3600.0,1200.0,0.0,4,1.0,24
05:05:2013 ,447600.0,0.0,0.0,0.0,-1,0.0,24
07:04:2013 ,84708.0,0.0,0.0,0.0,-1,0.0,24
08:04:2013 ,148800.0,21600.0,1200.0,0.0,0,0.0,24
10:04:2013 ,170472.0,3528.0,0.0,0.0,2,1.0,24
10:05:2013 ,97200.0,0.0,0.0,0.0,4,0.0,24
11:05:2013 ,36001.0,1200.0,0.0,0.0,5,0.0,24
12:04:2013 ,22800.0,42000.0,0.0,0.0,4,0.0,24
12:05:2013 ,43200.0,0.0,0.0,2399.0,-1,0.0,24
13:04:2013 ,643202.0,0.0,0.0,0.0,5,0.0,24
20:04:2013 ,69599.0,0.0,0.0,0.0,5,0.0,24
21:04:2013 ,79199.0,6000.0,0.0,0.0,-1,1.0,24
22:04:2013 ,97200.0,2400.0,0.0,0.0,0,1.0,24
23:04:2013 ,0.0,24000.0,0.0,0.0,1,0.0,24
24:04:2013 ,321600.0,0.0,0.0,0.0,2,0.0,24
27:04:2013 ,18000.0,0.0,0.0,0.0,5,0.0,24
28:03:2013 ,81600.0,4800.0,0.0,0.0,3,1.0,24
28:04:2013 ,98343.0,0.0,0.0,0.0,-1,0.0,24
29:03:2013 ,92400.0,3600.0,0.0,0.0,4,1.0,24
29:04:2013 ,92461.0,9596.0,0.0,0.0,0,1.0,24
30:03:2013 ,223200.0,0.0,0.0,0.0,5,0.0,24
30:04:2013 ,114001.0,0.0,0.0,0.0,1,0.0,24
