date,home_time,school_time,recreational_activities,travel_time,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,8400.0,3600.0,0.0,0.0,0.0,0.0,0,1.0,7800.0,25,"Life Sciences Greenhouse,Life Sciences Greenhouse,Haldeman Center,Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College"
02:04:2013,172781.0,1219.0,0.0,0.0,0.0,0.0,1,1.0,10500.0,25,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College"
04:04:2013,72001.0,11999.0,0.0,0.0,0.0,0.0,3,0.0,6900.0,25,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
05:04:2013,87650.0,0.0,0.0,0.0,0.0,0.0,4,1.0,6000.0,25,"Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
06:04:2013,94801.0,4800.0,0.0,0.0,0.0,0.0,5,0.0,0.0,25,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College"
07:04:2013,46802.0,28800.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,25,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College"
08:04:2013,38400.0,45598.0,0.0,0.0,0.0,0.0,0,0.0,7800.0,25,"Carson Hall,Sudikoff Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Haldeman Center,Haldeman Center,Dartmouth College,Dartmouth College"
09:04:2013,84002.0,15598.0,0.0,0.0,0.0,0.0,1,0.0,10500.0,25,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center"
10:04:2013,153600.0,1200.0,0.0,0.0,0.0,0.0,2,1.0,14400.0,25,"Class of 1953 Commons,Dartmouth College"
11:04:2013,1200.0,2400.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,25,"Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
12:04:2013,79204.0,3600.0,5997.0,0.0,0.0,0.0,4,1.0,6000.0,25,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Alumni Gymnasium,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
13:04:2013,14400.0,2400.0,0.0,84000.0,0.0,0.0,5,0.0,0.0,25,"Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Class of 1953 Commons,Butterfield Parking Lot"
14:04:2013,68400.0,2400.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,25,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
15:04:2013,55175.0,32425.0,0.0,0.0,0.0,0.0,0,0.0,7800.0,25,"Class of 1953 Commons,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Dartmouth College"
16:04:2013,90065.0,3535.0,0.0,1200.0,0.0,0.0,1,1.0,10500.0,25,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College"
17:04:2013,52800.0,22800.0,0.0,0.0,0.0,0.0,2,0.0,14400.0,25,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College"
18:04:2013,65982.0,30000.0,0.0,1199.0,0.0,0.0,3,0.0,6900.0,25,"Dartmouth College,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Butterfield Parking Lot,Dartmouth College"
19:04:2013,67200.0,5053.0,5766.0,0.0,0.0,0.0,4,0.0,6000.0,25,"Alumni Gymnasium,Class of 1953 Commons,Dartmouth College"
20:04:2013,26569.0,22631.0,0.0,0.0,39919.0,0.0,5,0.0,0.0,25,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Rockefeller Center,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Rockefeller Center,Dartmouth College,Dartmouth College,Citizens Bank"
