date,home_time,recreational_activities,school_time,travel_time,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,55201.0,2400.0,2400.0,2399.0,0.0,0.0,0,1.0,11700.0,28,"Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College"
01:05:2013,74400.0,0.0,8400.0,0.0,0.0,0.0,2,1.0,11700.0,28,"Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Bartlett Hall"
01:06:2013,7197.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,28,"Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall"
02:04:2013,90002.0,0.0,0.0,0.0,0.0,0.0,1,1.0,3900.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall"
02:05:2013,57601.0,0.0,26400.0,0.0,1199.0,0.0,3,0.0,7800.0,28,"Ripley Hall,Dartmouth College,Ripley Hall,Ripley Hall,Alpha Theta,Dartmouth Hall,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
03:04:2013,78000.0,0.0,4798.0,0.0,0.0,0.0,2,1.0,11700.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
03:05:2013,89528.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
04:04:2013,81600.0,1200.0,3600.0,0.0,0.0,0.0,3,1.0,7800.0,28,"Ripley Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Ripley Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,121249.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall"
05:04:2013,82800.0,0.0,3600.0,0.0,0.0,0.0,4,1.0,9000.0,28,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
