date,home_time,recreational_activities,school_time,orthers,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,38400.0,1200.0,1200.0,0.0,0.0,0,1.0,11700.0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Hopkins Center for the Arts"
01:05:2013,138005.0,1200.0,13199.0,0.0,0.0,2,0.0,11700.0,2,"Hopkins Center for the Arts,Dartmouth College,Steele Hall,Steele Hall,Dartmouth College,Kemeny Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
02:04:2013,72003.0,14400.0,0.0,0.0,0.0,1,1.0,3900.0,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
02:05:2013,14397.0,1199.0,0.0,0.0,0.0,3,1.0,7800.0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
03:04:2013,79199.0,2398.0,4800.0,0.0,0.0,2,1.0,11700.0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
03:05:2013,7197.0,13202.0,66001.0,0.0,0.0,4,0.0,9000.0,2,"Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Kemeny Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts"
04:04:2013,81601.0,1199.0,3600.0,0.0,0.0,3,1.0,7800.0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,43202.0,18000.0,9600.0,290179.0,0.0,5,0.0,0.0,2,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Kemeny Hall,0,Hopkins Center for the Arts,Dartmouth College,Dick's House"
05:04:2013,74400.0,12000.0,0.0,0.0,0.0,4,1.0,9000.0,2,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:04:2013,85200.0,6000.0,0.0,0.0,0.0,5,0.0,0.0,2,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College"
