date,home_time,orthers,school_time,travel_time,recreational_activities,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,8399.0,39600.0,4800.0,33601.0,0.0,0.0,0.0,0,0.0,0.0,31,"0,Hanover Inn Valet Lot,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
01:05:2013,78000.0,0.0,3600.0,4800.0,0.0,0.0,0.0,2,0.0,0.0,31,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hanover Inn Valet Lot,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,Hanover Inn Valet Lot,New Hampshire Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
02:04:2013,43256.0,0.0,0.0,39600.0,3545.0,0.0,0.0,1,0.0,0.0,31,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Dartmouth College,Dartmouth College"
02:05:2013,62400.0,0.0,2400.0,7200.0,13200.0,0.0,0.0,3,0.0,0.0,31,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Collis Student Center,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,0,New Hampshire Hall,New Hampshire Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth Hall"
03:04:2013,32399.0,0.0,7200.0,20400.0,18000.0,8400.0,0.0,2,0.0,0.0,31,"Dartmouth College,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Alpha Phi,Alpha Phi,Alpha Phi,Alpha Phi,Alpha Phi,Alpha Phi,Dartmouth College,Dartmouth College,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hanover Inn Valet Lot,Dartmouth College,Dartmouth College,Dartmouth College"
03:05:2013,31200.0,0.0,0.0,12000.0,31200.0,12000.0,0.0,4,0.0,0.0,31,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,Phi Delta Alpha,Hanover Inn Valet Lot,0,0,New Hampshire Hall,0,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
04:04:2013,42610.0,0.0,4800.0,7200.0,17390.0,14400.0,0.0,3,0.0,0.0,31,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Hanover Inn Valet Lot,Alpha Phi,Alpha Phi,New Hampshire Hall,New Hampshire Hall,Bartlett Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,34757.0,1203.0,3600.0,33754.0,3600.0,7200.0,6040.0,5,0.0,0.0,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Observatory Road,Sanborn House,Hanover Information booth,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,Bartlett Hall,New Hampshire Hall,0,New Hampshire Hall,Dartmouth College,Dartmouth College,Beta Alpha Omega,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0"
05:04:2013,51867.0,0.0,4800.0,17990.0,13200.0,0.0,0.0,4,0.0,0.0,31,"Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
05:05:2013,57598.0,0.0,1200.0,30002.0,0.0,0.0,0.0,-1,0.0,0.0,31,"Dartmouth College,New Hampshire Hall,0,0,New Hampshire Hall,Bartlett Hall,0,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,0,New Hampshire Hall,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
