date,home_time,orthers,school_time,recreational_activities,working,travel_time,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,61210.0,1200.0,4796.0,0.0,0.0,0.0,0,1.0,7800.0,33,"Nugget Arcade,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Anonymous Hall,Dartmouth College,Dartmouth College,Dartmouth College"
01:05:2013,67201.0,0.0,18000.0,2399.0,0.0,0.0,2,0.0,7800.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Dartmouth College,Left Bank Books,Dartmouth College"
02:04:2013,80400.0,0.0,2400.0,0.0,0.0,0.0,1,1.0,3900.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
02:05:2013,51601.0,0.0,31200.0,2399.0,0.0,0.0,3,0.0,3900.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sanborn House,Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College"
03:04:2013,72000.0,0.0,15600.0,0.0,0.0,0.0,2,0.0,7800.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
03:05:2013,70800.0,0.0,14400.0,2400.0,0.0,0.0,4,0.0,6000.0,33,"Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0,Dartmouth College,Dartmouth College"
04:04:2013,73285.0,0.0,11915.0,0.0,0.0,0.0,3,0.0,3900.0,33,"Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Moore Psychology Building,Moore Psychology Building,Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,206133.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,33,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Fayerweather Hall,Dartmouth College"
05:04:2013,73196.0,0.0,9605.0,0.0,4799.0,0.0,4,0.0,6000.0,33,"Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sphinx Secret Society,Sphinx Secret Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:04:2013,90001.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,33,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:05:2013,49200.0,0.0,2400.0,2400.0,0.0,0.0,0,1.0,7800.0,33,"Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0,0,Dartmouth College"
07:04:2013,74400.0,0.0,0.0,7199.0,0.0,0.0,-1,0.0,0.0,33,"Alumni Gymnasium,Red Rolfe Field at Biondi Park,Red Rolfe Field at Biondi Park,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
