date,home_time,recreational_activities,school_time,travel_time,working,orthers,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,58801.0,5999.0,3599.0,1200.0,13200.0,0.0,0.0,0,0.0,3900.0,34,"Hopkins Center for the Arts,Channing Cox Hall,Sigma Alpha Epsilon Fraternity,Channing Cox Hall,Anonymous Hall,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Dartmouth College,MacLean Engineering Sciences Center"
01:05:2013,45600.0,14399.0,2400.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,34,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,MacLean Engineering Sciences Center"
02:04:2013,92400.0,6000.0,7200.0,0.0,0.0,0.0,0.0,1,0.0,6600.0,34,"The Irving Institute for Energy & Society,Channing Cox Hall,Hopkins Center for the Arts,Dartmouth College,Channing Cox Hall"
02:05:2013,85199.0,13200.0,1201.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,34,"MacLean Engineering Sciences Center,Dartmouth College,Dartmouth College,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Channing Cox Hall,Dartmouth College,Channing Cox Hall"
03:04:2013,40801.0,14400.0,10799.0,1200.0,0.0,0.0,0.0,2,0.0,10500.0,34,"Mass Parking Lot,Hopkins Center for the Arts,Collis Student Center,Collis Student Center,Channing Cox Hall,Class of 1978 Life Sciences Center,Channing Cox Hall,Channing Cox Hall,MacLean Engineering Sciences Center,The Irving Institute for Energy & Society"
03:05:2013,54001.0,10801.0,9600.0,0.0,0.0,1199.0,0.0,4,0.0,3000.0,34,"The Irving Institute for Energy & Society,Channing Cox Hall,Dartmouth College,0,Hopkins Center for the Arts,Collis Student Center,Channing Cox Hall,The Irving Institute for Energy & Society"
04:04:2013,74400.0,0.0,12000.0,0.0,0.0,0.0,0.0,3,0.0,6900.0,34,"MacLean Engineering Sciences Center,MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Channing Cox Hall,Channing Cox Hall,MacLean Engineering Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,52799.0,29999.0,2401.0,0.0,0.0,0.0,0.0,5,0.0,0.0,34,"Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,MacLean Engineering Sciences Center,Berry Library,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Channing Cox Hall,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Dartmouth College,Channing Cox Hall,Dartmouth College,Channing Cox Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
05:04:2013,67200.0,6000.0,9600.0,0.0,0.0,3600.0,0.0,4,0.0,3000.0,34,"Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,The Irving Institute for Energy & Society,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Citizens Bank,Citizens Bank,Dartmouth College"
05:05:2013,2400.0,14400.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,34,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Maxwell Hall,Maxwell Hall,Channing Cox Hall"
06:04:2013,81599.0,12001.0,7200.0,0.0,0.0,0.0,0.0,5,0.0,0.0,34,"MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall"
