date,home_time,school_time,orthers,recreational_activities,travel_time,shopping,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,45600.0,75599.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,35,"Anonymous Hall,Class of 1953 Commons,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall"
02:04:2013,9600.0,0.0,37200.0,0.0,0.0,0.0,0.0,1,0.0,0.0,35,"0,0,0,0,0,0,0,0,0,0"
03:04:2013,24000.0,44401.0,12172.0,4628.0,3600.0,0.0,0.0,2,0.0,3900.0,35,"0,Sudikoff Hall,Sudikoff Hall,Dana Circle Parking Lot,Anonymous Hall,0,0,Anonymous Hall,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:04:2013,0.0,32341.0,52521.0,1259.0,0.0,0.0,0.0,3,0.0,3900.0,35,"Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0"
05:04:2013,0.0,46801.0,34800.0,2399.0,0.0,0.0,0.0,4,0.0,3000.0,35,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Anonymous Hall,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Anonymous Hall,Six South Street"
06:04:2013,12000.0,34800.0,38197.0,0.0,203.0,0.0,0.0,5,0.0,0.0,35,"Anonymous Hall,Dana Parking Lot,0,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0,0,0,0"
07:04:2013,81600.0,88030.0,1200.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,35,"0,0,0,Class of 1953 Commons"
07:05:2013,0.0,86909.0,0.0,0.0,4014.0,0.0,0.0,1,0.0,0.0,35,"F Lot Parking,F Lot Parking,Sudikoff Hall"
08:04:2013,0.0,21603.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,35,Anonymous Hall
08:05:2013,0.0,82112.0,0.0,0.0,1201.0,0.0,0.0,2,0.0,3900.0,35,"Sudikoff Hall,0,Sudikoff Hall"
