date,home_time,school_time,recreational_activities,orthers,travel_time,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,2400.0,48000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7800.0,36,"Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall"
01:05:2013,0.0,0.0,25193.0,0.0,0.0,0.0,0.0,2,1.0,7800.0,36,C&A Pizza
01:06:2013,1210.0,3601.0,7199.0,0.0,0.0,0.0,0.0,5,0.0,0.0,36,"0,Class of 1953 Commons,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall"
02:04:2013,49200.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,36,0
02:05:2013,0.0,271200.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7800.0,36,Class of 1953 Commons
03:04:2013,51600.0,37200.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7800.0,36,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,0"
04:04:2013,48000.0,33600.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7800.0,36,"Anonymous Hall,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
05:04:2013,61200.0,22802.0,1199.0,3599.0,0.0,0.0,0.0,4,0.0,6000.0,36,"0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Anonymous Hall,0"
05:05:2013,130801.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,36,0
06:04:2013,208800.0,37200.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,36,"Anonymous Hall,0"
06:05:2013,0.0,4800.0,0.0,0.0,7199.0,0.0,0.0,0,1.0,7800.0,36,"Class of 1953 Commons,Class of 1953 Commons,Maynard Parking Lot"
07:05:2013,61200.0,20400.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,36,"Sudikoff Hall,0,0"
08:04:2013,3600.0,30001.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7800.0,36,"Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Anonymous Hall"
08:05:2013,2398.0,248402.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7800.0,36,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
09:04:2013,39601.0,27598.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,36,"Class of 1953 Commons,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,0,Class of 1953 Commons"
10:04:2013,49200.0,51602.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7800.0,36,"Anonymous Hall,Sudikoff Hall,0,Anonymous Hall"
