date,travel_time,school_time,home_time,recreational_activities,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
01:05:2013,94800.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,37,"North Main Street,North Main Street,North Main Street"
01:06:2013,0.0,25200.0,0.0,0.0,0.0,5,0.0,0.0,37,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
02:05:2013,33606.0,0.0,49194.0,0.0,0.0,3,1.0,6900.0,37,"North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Life Sciences Greenhouse"
03:05:2013,32400.0,0.0,3600.0,251813.0,0.0,4,1.0,3000.0,37,"North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Life Sciences Greenhouse,0,0"
06:05:2013,0.0,1198.0,16800.0,0.0,0.0,0,1.0,3900.0,37,"Anonymous Hall,Life Sciences Greenhouse"
07:04:2013,148800.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,37,North Main Street
07:05:2013,57600.0,64800.0,0.0,0.0,0.0,1,0.0,6600.0,37,"Sudikoff Hall,North Main Street"
08:05:2013,205200.0,0.0,2400.0,0.0,0.0,2,1.0,10500.0,37,"North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street"
09:04:2013,0.0,186000.0,0.0,0.0,0.0,1,0.0,6600.0,37,"Sudikoff Hall,Sudikoff Hall"
10:05:2013,1200.0,6000.0,1200.0,0.0,0.0,4,0.0,3000.0,37,"Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,North Main Street"
11:04:2013,70802.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,37,"North Main Street,North Main Street,North Main Street"
11:05:2013,78000.0,3602.0,6000.0,0.0,0.0,5,0.0,0.0,37,"North Main Street,0,0,North Main Street,Sudikoff Hall"
12:04:2013,0.0,78000.0,10798.0,0.0,0.0,4,0.0,3000.0,37,"Dartmouth College,Dartmouth College,Sudikoff Hall"
12:05:2013,0.0,91809.0,4798.0,0.0,0.0,-1,0.0,0.0,37,"0,0,0,Sudikoff Hall"
13:04:2013,84180.0,21600.0,0.0,0.0,0.0,5,0.0,0.0,37,"Sudikoff Hall,Sudikoff Hall,North Main Street"
13:05:2013,88800.0,61200.0,0.0,0.0,0.0,0,0.0,3900.0,37,"Sudikoff Hall,North Main Street,Hanover Street"
14:04:2013,56401.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,37,"North Main Street,North Main Street"
14:05:2013,15600.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,37,North Main Street
15:04:2013,1200.0,62400.0,142799.0,0.0,0.0,0,0.0,3900.0,37,"0,Sudikoff Hall,0,North Main Street,0"
