date,home_time,recreational_activities,school_time,travel_time,shopping,orthers,working,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,67198.0,3601.0,12001.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,42,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Richardson Hall,Richardson Hall,Ripley Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Haldeman Center"
01:05:2013,79199.0,3601.0,4800.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,42,"Wentworth Hall,Hopkins Center for the Arts,Smith Hall,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College"
02:04:2013,85197.0,1201.0,1203.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,42,"Haldeman Center,Dartmouth College,Ripley Hall,Hopkins Center for the Arts,North Massachusetts Hall"
02:05:2013,579021.0,0.0,3599.0,1201.0,0.0,0.0,0.0,3,1.0,6900.0,42,"Haldeman Center,Dartmouth Row Parking Lot,Dartmouth Hall,Dartmouth Hall,Ripley Hall"
03:04:2013,6001.0,69779.0,9599.0,0.0,0.0,0.0,0.0,2,0.0,10500.0,42,"Collis Student Center,Collis Student Center,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth Hall,Dartmouth Hall,Haldeman Center"
04:04:2013,75601.0,0.0,9599.0,0.0,0.0,0.0,0.0,3,0.0,6900.0,42,"Dartmouth College,Dartmouth Hall,Dartmouth Hall,Collis Student Center,Collis Student Center,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Ripley Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
05:04:2013,38400.0,3600.0,43200.0,2400.0,0.0,0.0,0.0,4,0.0,3000.0,42,"Collis Student Center,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Wentworth Hall,Life Sciences Greenhouse,0,Life Sciences Greenhouse,Dartmouth Hall,Dartmouth Hall,Dartmouth College"
06:04:2013,85200.0,0.0,6000.0,0.0,1200.0,0.0,0.0,5,0.0,0.0,42,"Haldeman Center,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Observatory Road,Ripley Hall"
07:04:2013,247690.0,0.0,1201.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,42,"Wentworth Hall,Dartmouth College,Ripley Hall,Ripley Hall"
08:05:2013,20400.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,42,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
09:04:2013,0.0,0.0,3601.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,42,"Dartmouth Hall,Dartmouth Hall"
09:05:2013,166524.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,42,"Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
10:04:2013,76800.0,0.0,10799.0,0.0,0.0,0.0,0.0,2,0.0,10500.0,42,"Sudikoff Hall,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth Hall,Dartmouth Hall,Haldeman Center"
10:05:2013,0.0,0.0,5999.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,42,"Dartmouth Hall,Dartmouth Hall,Haldeman Center"
11:04:2013,58802.0,16798.0,9600.0,0.0,0.0,0.0,0.0,3,0.0,6900.0,42,"Haldeman Center,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Baker Memorial Library,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Ripley Hall,Alumni Gymnasium,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,89302.0,0.0,6001.0,0.0,0.0,0.0,0.0,5,0.0,0.0,42,"Haldeman Center,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Ripley Hall"
12:04:2013,36002.0,43200.0,8398.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,42,"Hood Museum of Art,Hopkins Center for the Arts,Baker Memorial Library,Dartmouth College,Ripley Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Dartmouth Hall,Dartmouth Hall,Haldeman Center"
12:05:2013,75603.0,2397.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,42,"Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall"
13:04:2013,98400.0,0.0,6000.0,0.0,0.0,0.0,0.0,5,0.0,0.0,42,"Haldeman Center,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall"
13:05:2013,57600.0,25200.0,3600.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,42,"Dartmouth College,Berry Library,Berry Library,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Ripley Hall,Dartmouth Hall,Dartmouth Hall,Hopkins Center for the Arts,Dartmouth College"
14:04:2013,67203.0,7200.0,2397.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,42,"Ripley Hall,Ripley Hall,Ripley Hall,Class of 1953 Commons,Sarner Underground,Baker Memorial Library,Baker Memorial Library,Ripley Hall"
14:05:2013,111600.0,0.0,4800.0,0.0,0.0,0.0,0.0,1,0.0,6600.0,42,"Dartmouth College,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall"
15:04:2013,75600.0,0.0,3600.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,42,"Dartmouth College,Ripley Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College"
15:05:2013,497261.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,42,"Ripley Hall,Ripley Hall"
16:04:2013,74400.0,3600.0,6000.0,0.0,0.0,0.0,0.0,1,0.0,6600.0,42,"Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Berry Library,Baker Memorial Library,Dartmouth Hall,Berry Library"
17:04:2013,229011.0,0.0,19201.0,0.0,0.0,0.0,0.0,2,0.0,10500.0,42,"Haldeman Center,Dartmouth College,Collis Student Center,Ripley Hall"
19:04:2013,4795.0,0.0,7200.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,42,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth Hall,Dartmouth Hall,Haldeman Center"
20:04:2013,88803.0,0.0,2399.0,0.0,0.0,0.0,0.0,5,0.0,0.0,42,"Dartmouth College,Ripley Hall,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall,Ripley Hall"
21:04:2013,74399.0,1201.0,0.0,3598.0,0.0,1201.0,0.0,-1,0.0,0.0,42,"Dartmouth College,Ripley Hall,Ripley Hall,Baker Memorial Library,Dartmouth College,Ripley Hall,South Block Parking Garage,Johnson Audiology,South Block Parking Garage,South Block Parking Garage,Ripley Hall"
21:05:2013,54002.0,4802.0,19197.0,0.0,0.0,0.0,0.0,1,0.0,6600.0,42,"Dartmouth College,Ripley Hall,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Ripley Hall,Sudikoff Hall,Berry Library,Berry Library,Dartmouth Hall,Dartmouth Hall"
22:04:2013,75599.0,1200.0,9600.0,1200.0,0.0,0.0,0.0,0,0.0,3900.0,42,"Dartmouth College,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Ripley Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Dartmouth Hall,Dartmouth Hall,Berry Library,Haldeman Center"
22:05:2013,69600.0,0.0,33600.0,0.0,0.0,0.0,0.0,2,0.0,10500.0,42,"Class of 1953 Commons,Ripley Hall,Dartmouth College,Sarner Underground,Dartmouth Hall,Dartmouth Hall,Ripley Hall"
23:04:2013,61201.0,4799.0,19200.0,0.0,0.0,0.0,0.0,1,0.0,6600.0,42,"Haldeman Center,Dartmouth Hall,Dartmouth Hall,Ripley Hall,Ripley Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Ripley Hall,Sudikoff Hall,Hopkins Center for the Arts,Ripley Hall,Dartmouth Hall,Dartmouth Hall"
23:05:2013,169568.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,42,Dartmouth College
24:04:2013,76800.0,16800.0,1200.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,42,"Dartmouth College,Haldeman Center,Hopkins Center for the Arts,Ripley Hall,Ripley Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Baker Memorial Library"
25:04:2013,73123.0,0.0,3600.0,0.0,0.0,1200.0,0.0,3,1.0,6900.0,42,"Robinson Hall,Robinson Hall,Dartmouth College,Dartmouth College,Sarner Underground,0,Ripley Hall,Ripley Hall,Dartmouth College,Ripley Hall,Life Sciences Greenhouse,Life Sciences Greenhouse"
25:05:2013,93277.0,3600.0,1201.0,0.0,0.0,1199.0,0.0,5,0.0,0.0,42,"Sudikoff Hall,0,Ripley Hall,Ripley Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Ripley Hall"
26:04:2013,57375.0,22800.0,7425.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,42,"Ripley Hall,Ripley Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Baker Memorial Library,Baker Memorial Library,Baker Memorial Library,Ripley Hall,Dartmouth Hall,Dartmouth Hall,Dartmouth College,Haldeman Center"
26:05:2013,49199.0,0.0,9600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,42,"Dartmouth College,Dartmouth College,Ripley Hall,Class of 1953 Commons,The Lodge"
27:04:2013,87600.0,0.0,4800.0,0.0,0.0,0.0,0.0,5,0.0,0.0,42,"Haldeman Center,Dartmouth Hall,Dartmouth Hall,Ripley Hall"
27:05:2013,31200.0,0.0,66506.0,1200.0,0.0,0.0,0.0,0,0.0,3900.0,42,"0,Sudikoff Hall,Sudikoff Hall,Ripley Hall"
28:04:2013,62401.0,16800.0,9599.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,42,"Ripley Hall,Ripley Hall,Sudikoff Hall,Sudikoff Hall,Baker Memorial Library,Ripley Hall"
28:05:2013,63602.0,3600.0,14400.0,0.0,0.0,0.0,1199.0,1,0.0,6600.0,42,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Library,Dartmouth College,Sphinx Secret Society,Ripley Hall"
