date,home_time,orthers,travel_time,recreational_activities,school_time,shopping,working,date_in_week,cut_class,class_schedule,volunteer
01:05:2013 ,13202.0,86398.0,68400.0,0.0,0.0,0.0,0.0,2,1.0,14400.0,43
02:05:2013 ,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,43
03:04:2013 ,0.0,0.0,0.0,8385.0,70799.0,1215.0,0.0,2,0.0,14400.0,43
03:05:2013 ,90103.0,2400.0,0.0,0.0,12000.0,0.0,0.0,4,0.0,6000.0,43
04:04:2013 ,24018.0,0.0,52660.0,0.0,6000.0,0.0,0.0,3,1.0,6900.0,43
04:05:2013 ,165392.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,43
05:04:2013 ,13200.0,1200.0,0.0,0.0,14401.0,0.0,61643.0,4,0.0,6000.0,43
06:04:2013 ,5999.0,0.0,0.0,0.0,95287.0,0.0,0.0,5,0.0,0.0,43
06:05:2013 ,17086.0,0.0,50091.0,0.0,0.0,0.0,16800.0,0,1.0,7800.0,43
07:04:2013 ,143088.0,0.0,1200.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,43
07:05:2013 ,65328.0,0.0,12001.0,7221.0,0.0,0.0,0.0,1,1.0,10500.0,43
08:04:2013 ,14399.0,0.0,0.0,0.0,2401.0,0.0,0.0,0,1.0,7800.0,43
08:05:2013 ,79199.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,14400.0,43
09:04:2013 ,0.0,0.0,0.0,0.0,80400.0,0.0,0.0,1,0.0,10500.0,43
09:05:2013 ,179582.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,43
10:04:2013 ,58799.0,0.0,0.0,0.0,26401.0,0.0,0.0,2,0.0,14400.0,43
11:04:2013 ,2400.0,0.0,43187.0,1196.0,38417.0,0.0,0.0,3,0.0,6900.0,43
11:05:2013 ,1618.0,0.0,0.0,82891.0,0.0,0.0,0.0,5,0.0,0.0,43
12:04:2013 ,34802.0,0.0,0.0,0.0,20400.0,0.0,38400.0,4,0.0,6000.0,43
12:05:2013 ,0.0,0.0,164401.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,43
13:04:2013 ,2399.0,0.0,1200.0,3599.0,69600.0,0.0,2400.0,5,0.0,0.0,43
13:05:2013 ,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,7800.0,43
14:04:2013 ,8400.0,0.0,9600.0,0.0,19200.0,0.0,224400.0,-1,0.0,0.0,43
14:05:2013 ,80401.0,0.0,0.0,1199.0,0.0,0.0,0.0,1,1.0,10500.0,43
15:05:2013 ,606475.0,0.0,0.0,1201.0,0.0,0.0,0.0,2,1.0,14400.0,43
17:04:2013 ,14367.0,0.0,70833.0,0.0,0.0,0.0,0.0,2,1.0,14400.0,43
18:04:2013 ,6000.0,0.0,0.0,0.0,0.0,0.0,79304.0,3,1.0,6900.0,43
19:04:2013 ,22800.0,0.0,64800.0,2400.0,0.0,0.0,0.0,4,1.0,6000.0,43
20:04:2013 ,165617.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,43
21:04:2013 ,6000.0,0.0,0.0,0.0,1200.0,0.0,0.0,-1,0.0,0.0,43
22:04:2013 ,16800.0,0.0,70800.0,0.0,3600.0,0.0,0.0,0,1.0,7800.0,43
22:05:2013 ,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.0,14400.0,43
23:04:2013 ,82800.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,10500.0,43
24:04:2013 ,73200.0,0.0,0.0,0.0,0.0,0.0,15600.0,2,1.0,14400.0,43
25:04:2013 ,156174.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1.0,6900.0,43
26:04:2013 ,97520.0,0.0,1200.0,0.0,2400.0,0.0,0.0,4,1.0,6000.0,43
28:04:2013 ,0.0,0.0,159600.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,43
29:04:2013 ,15602.0,1198.0,0.0,0.0,0.0,0.0,0.0,0,1.0,7800.0,43
30:04:2013 ,81600.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,10500.0,43
