date,home_time,school_time,travel_time,orthers,recreational_activities,shopping,date_in_week,cut_class,class_schedule,volunteer
01:05:2013 ,71999.0,9600.0,2400.0,0.0,0.0,0.0,2,0.0,3900.0,44
02:04:2013 ,73202.0,3598.0,0.0,1199.0,0.0,0.0,1,0.0,0.0,44
02:05:2013 ,86624.0,0.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,44
03:04:2013 ,85197.0,2403.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,44
03:05:2013 ,84000.0,0.0,2400.0,0.0,0.0,0.0,4,1.0,3000.0,44
04:04:2013 ,81600.0,4800.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,44
04:05:2013 ,89334.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,44
05:04:2013 ,80446.0,2353.0,1200.0,2401.0,0.0,0.0,4,1.0,3000.0,44
05:05:2013 ,89871.0,7200.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,44
06:04:2013 ,164403.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,44
06:05:2013 ,84767.0,6605.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,44
07:04:2013 ,0.0,4799.0,0.0,0.0,3598.0,0.0,-1,0.0,0.0,44
07:05:2013 ,68999.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,44
08:04:2013 ,56400.0,30000.0,0.0,0.0,1200.0,0.0,0,0.0,3900.0,44
08:05:2013 ,92403.0,2400.0,2400.0,0.0,0.0,0.0,2,1.0,3900.0,44
09:04:2013 ,81600.0,0.0,3600.0,0.0,0.0,0.0,1,0.0,0.0,44
09:05:2013 ,117475.0,0.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,44
10:04:2013 ,81599.0,3601.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,44
10:05:2013 ,43199.0,0.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,44
11:04:2013 ,76802.0,0.0,9598.0,0.0,0.0,0.0,3,1.0,3900.0,44
11:05:2013 ,194832.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,44
12:04:2013 ,84002.0,0.0,3598.0,0.0,0.0,0.0,4,1.0,3000.0,44
13:04:2013 ,85119.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,44
13:05:2013 ,69000.0,16804.0,1200.0,0.0,0.0,0.0,0,0.0,3900.0,44
14:04:2013 ,75599.0,0.0,0.0,0.0,4801.0,14401.0,-1,0.0,0.0,44
14:05:2013 ,61801.0,1800.0,0.0,0.0,0.0,0.0,1,0.0,0.0,44
15:04:2013 ,96000.0,0.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,44
15:05:2013 ,86308.0,0.0,0.0,0.0,2404.0,0.0,2,1.0,3900.0,44
16:04:2013 ,66109.0,2291.0,0.0,0.0,0.0,0.0,1,0.0,0.0,44
16:05:2013 ,85801.0,0.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,44
17:04:2013 ,86400.0,0.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,44
17:05:2013 ,172069.0,0.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,44
18:04:2013 ,80400.0,6000.0,0.0,0.0,0.0,0.0,3,0.0,3900.0,44
19:04:2013 ,85941.0,0.0,1200.0,0.0,0.0,0.0,4,1.0,3000.0,44
19:05:2013 ,86292.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,44
20:04:2013 ,191591.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,44
20:05:2013 ,76207.0,0.0,600.0,0.0,9000.0,0.0,0,1.0,3900.0,44
21:05:2013 ,77999.0,9598.0,0.0,0.0,600.0,0.0,1,0.0,0.0,44
22:04:2013 ,59313.0,14400.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,44
22:05:2013 ,117023.0,0.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,44
23:04:2013 ,81675.0,19200.0,1200.0,0.0,0.0,0.0,1,0.0,0.0,44
23:05:2013 ,61895.0,0.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,44
24:04:2013 ,65627.0,0.0,0.0,0.0,0.0,0.0,2,1.0,3900.0,44
24:05:2013 ,78599.0,0.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,44
25:04:2013 ,85200.0,0.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,44
25:05:2013 ,81082.0,0.0,0.0,0.0,4799.0,0.0,5,0.0,0.0,44
26:04:2013 ,79213.0,7187.0,0.0,0.0,0.0,0.0,4,0.0,3000.0,44
26:05:2013 ,100201.0,0.0,0.0,0.0,4799.0,0.0,-1,0.0,0.0,44
27:04:2013 ,209453.0,0.0,1200.0,0.0,0.0,0.0,5,0.0,0.0,44
27:05:2013 ,67201.0,5400.0,0.0,0.0,0.0,0.0,0,0.0,3900.0,44
28:05:2013 ,54599.0,27000.0,0.0,0.0,0.0,0.0,1,0.0,0.0,44
29:04:2013 ,51600.0,0.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,44
29:05:2013 ,73746.0,13200.0,0.0,0.0,0.0,0.0,2,0.0,3900.0,44
30:04:2013 ,80402.0,4799.0,0.0,0.0,0.0,0.0,1,0.0,0.0,44
30:05:2013 ,0.0,654.0,0.0,0.0,0.0,0.0,3,1.0,3900.0,44
