date,home_time,school_time,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
01:05:2013,4800.0,1200.0,0.0,0.0,2,1.0,11700.0,45,"Dartmouth College,Sudikoff Hall,Dartmouth College"
02:05:2013,84001.0,2399.0,0.0,0.0,3,1.0,7800.0,45,"Dartmouth College,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
03:04:2013,45604.0,0.0,0.0,0.0,2,1.0,11700.0,45,"0,0,0,Dartmouth College,0"
03:05:2013,86401.0,1200.0,0.0,0.0,4,1.0,9000.0,45,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,0,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
04:04:2013,85197.0,0.0,0.0,0.0,3,1.0,7800.0,45,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0,0,0,0"
04:05:2013,89999.0,0.0,0.0,0.0,5,0.0,0.0,45,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
05:04:2013,85200.0,1199.0,0.0,0.0,4,1.0,9000.0,45,"Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,0"
05:05:2013,84000.0,0.0,0.0,0.0,-1,0.0,0.0,45,"0,0,0,0"
06:04:2013,105603.0,0.0,0.0,0.0,5,0.0,0.0,45,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,0,0"
06:05:2013,130608.0,7200.0,0.0,0.0,0,1.0,11700.0,45,"0,Dartmouth College,0,0,0,Dartmouth College,Sudikoff Hall,Dartmouth College"
07:04:2013,100797.0,0.0,0.0,0.0,-1,0.0,0.0,45,"Dartmouth College,0"
07:05:2013,46800.0,0.0,0.0,0.0,1,1.0,3900.0,45,"0,0,0,0,0,0,0,0,0,0,0,0"
08:04:2013,44400.0,8400.0,0.0,0.0,0,1.0,11700.0,45,"0,0,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
08:05:2013,42000.0,33600.0,0.0,0.0,2,0.0,11700.0,45,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Dartmouth College"
09:04:2013,164400.0,0.0,0.0,0.0,1,1.0,3900.0,45,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
09:05:2013,6000.0,80400.0,0.0,0.0,3,0.0,7800.0,45,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
10:04:2013,10800.0,0.0,0.0,0.0,2,1.0,11700.0,45,Life Sciences Greenhouse
10:05:2013,102001.0,0.0,0.0,0.0,4,1.0,9000.0,45,"Life Sciences Greenhouse,0,0,Dartmouth College,Dartmouth College,Dartmouth College"
11:04:2013,13200.0,0.0,70800.0,0.0,3,1.0,7800.0,45,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dewey Parking Lot"
11:05:2013,52799.0,14400.0,0.0,0.0,5,0.0,0.0,45,"0,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
