date,home_time,school_time,travel_time,orthers,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,6000.0,20400.0,0.0,0.0,0.0,0,0.0,3900.0,48,"Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Anonymous Hall"
01:05:2013,222821.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,48,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
02:04:2013,170553.0,6000.0,0.0,0.0,0.0,1,1.0,6600.0,48,"Anonymous Hall,Dartmouth College,Dartmouth College"
03:05:2013,20400.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,48,"Dartmouth College,Dartmouth College,Dartmouth College"
04:04:2013,72001.0,2400.0,0.0,0.0,0.0,3,1.0,6900.0,48,"Anonymous Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse"
04:05:2013,196946.0,0.0,0.0,0.0,0.0,5,0.0,0.0,48,"Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Rauner Hall,Dartmouth College"
05:04:2013,87599.0,0.0,0.0,0.0,0.0,4,1.0,3000.0,48,"Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:04:2013,272621.0,0.0,0.0,0.0,0.0,5,0.0,0.0,48,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
06:05:2013,598168.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,48,Dartmouth College
09:04:2013,233285.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,48,Dartmouth College
11:04:2013,8399.0,0.0,1201.0,0.0,0.0,3,1.0,6900.0,48,"Dartmouth College,Dana Circle Parking Lot"
12:04:2013,12000.0,78000.0,0.0,0.0,0.0,4,0.0,3000.0,48,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College"
13:04:2013,185453.0,16148.0,0.0,0.0,0.0,5,0.0,0.0,48,"Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Dartmouth College,Dartmouth College"
13:05:2013,435015.0,0.0,0.0,0.0,0.0,0,1.0,3900.0,48,"Dartmouth College,Dartmouth College,Dartmouth College"
15:04:2013,20400.0,35999.0,0.0,0.0,0.0,0,0.0,3900.0,48,"Anonymous Hall,Dartmouth College,Dartmouth College"
16:04:2013,99600.0,0.0,0.0,0.0,0.0,1,1.0,6600.0,48,"Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
17:04:2013,86371.0,0.0,0.0,0.0,0.0,2,1.0,10500.0,48,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
