date,home_time,school_time,travel_time,orthers,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,33602.0,58798.0,0.0,0.0,0.0,0,0.0,0.0,51,"0,0,Sudikoff Hall,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall"
02:04:2013,56400.0,49200.0,0.0,0.0,0.0,1,0.0,0.0,51,"0,0,Sudikoff Hall"
03:04:2013,44400.0,0.0,1200.0,0.0,0.0,2,0.0,0.0,51,"Vail Dartmouth Medical School,0"
04:04:2013,40800.0,43200.0,0.0,0.0,0.0,3,0.0,0.0,51,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
05:04:2013,39600.0,49200.0,0.0,0.0,0.0,4,0.0,0.0,51,"Sudikoff Hall,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
06:04:2013,76801.0,24000.0,0.0,0.0,0.0,5,0.0,0.0,51,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,0"
07:04:2013,62400.0,32399.0,0.0,0.0,0.0,-1,0.0,0.0,51,"Sudikoff Hall,0"
08:04:2013,33600.0,30000.0,0.0,0.0,0.0,0,0.0,0.0,51,"Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
09:04:2013,46800.0,39600.0,0.0,0.0,0.0,1,0.0,0.0,51,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,0"
10:04:2013,40800.0,45600.0,0.0,0.0,0.0,2,0.0,0.0,51,"Sudikoff Hall,0"
11:04:2013,8400.0,75600.0,0.0,0.0,0.0,3,0.0,0.0,51,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,4801.0,254670.0,0.0,0.0,0.0,5,0.0,0.0,51,"Guarini Institute for International Education,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Sudikoff Hall"
12:04:2013,33600.0,55201.0,0.0,0.0,0.0,4,0.0,0.0,51,"Sudikoff Hall,0"
13:04:2013,51601.0,43200.0,0.0,0.0,0.0,5,0.0,0.0,51,"Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,0"
14:04:2013,0.0,124799.0,0.0,0.0,0.0,-1,0.0,0.0,51,Sudikoff Hall
14:05:2013,5401.0,0.0,0.0,1199.0,0.0,1,0.0,0.0,51,"Life Sciences Greenhouse,Nugget Arcade,Sudikoff Hall"
15:04:2013,38400.0,1200.0,0.0,0.0,0.0,0,0.0,0.0,51,"Anonymous Hall,0"
16:04:2013,3601.0,102000.0,1199.0,0.0,0.0,1,0.0,0.0,51,"Life Sciences Greenhouse,Life Sciences Greenhouse,0,Sudikoff Hall"
17:04:2013,31200.0,79200.0,0.0,0.0,0.0,2,0.0,0.0,51,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall"
18:04:2013,38400.0,0.0,1200.0,0.0,0.0,3,0.0,0.0,51,"0,0,Life Sciences Greenhouse,Life Sciences Greenhouse"
19:04:2013,36000.0,91174.0,0.0,0.0,0.0,4,0.0,0.0,51,"Sudikoff Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0,0,Sudikoff Hall"
20:04:2013,46826.0,0.0,0.0,0.0,0.0,5,0.0,0.0,51,0
21:04:2013,161378.0,16800.0,0.0,0.0,0.0,-1,0.0,0.0,51,"0,Sudikoff Hall,0"
23:04:2013,30000.0,72001.0,0.0,0.0,0.0,1,0.0,0.0,51,"Sudikoff Hall,0,Sudikoff Hall"
24:04:2013,42000.0,24000.0,0.0,0.0,0.0,2,0.0,0.0,51,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
25:04:2013,235451.0,25200.0,0.0,0.0,0.0,3,0.0,0.0,51,"Sudikoff Hall,0"
28:04:2013,38400.0,1082036.0,1200.0,0.0,0.0,-1,0.0,0.0,51,"Sudikoff Hall,0,0,0,0,Sudikoff Hall"
30:03:2013,3599.0,87225.0,3600.0,0.0,3598.0,5,0.0,0.0,51,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Roberts Flowers of Hanover,Hanover Park Northbound,Sudikoff Hall"
31:03:2013,55201.0,31198.0,0.0,0.0,3600.0,-1,0.0,0.0,51,"0,Anonymous Hall,Hanover Park,Sudikoff Hall"
