date,home_time,school_time,travel_time,orthers,working,recreational_activities,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,69600.0,3600.0,1201.0,0.0,0.0,0.0,0,0.0,0.0,53,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dana Circle Parking Lot,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
01:05:2013,45596.0,6005.0,0.0,33600.0,1199.0,0.0,2,0.0,0.0,53,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Sigma Alpha Epsilon Fraternity,Thomas Hall,Dartmouth College,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
01:06:2013,17985.0,9002.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,"Byrne II Hall,Dartmouth College,Dartmouth College,Thomas Hall,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Thomas Hall,Byrne II Hall,Dartmouth College,Dartmouth College,Fairchild Physical Sciences Center,Fairchild Physical Sciences Center,Byrne II Hall,Fairchild Physical Sciences Center,Wheeler Hall,Thomas Hall"
02:04:2013,89682.0,8399.0,0.0,0.0,0.0,0.0,1,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
02:05:2013,93600.0,3600.0,0.0,0.0,0.0,0.0,3,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Goldstein Hall,Thomas Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Carpenter Hall,Dartmouth College,Goldstein Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
03:04:2013,67205.0,4799.0,1197.0,0.0,0.0,0.0,2,0.0,0.0,53,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dana Circle Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College"
03:05:2013,72000.0,4800.0,0.0,0.0,0.0,0.0,4,0.0,0.0,53,"Thomas Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
04:04:2013,36004.0,14399.0,1195.0,0.0,33600.0,0.0,3,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Moore Psychology Building,Dartmouth College,Carpenter Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Thomas Hall"
04:05:2013,75104.0,14407.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,"Dartmouth College,Dartmouth College,Native American House,Sanborn House,Goldstein Hall,Byrne II Hall,Parker House,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College"
05:04:2013,51635.0,1200.0,0.0,0.0,33602.0,0.0,4,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Moore Psychology Building,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
05:05:2013,80399.0,1200.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,53,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:04:2013,87462.0,2398.0,0.0,0.0,0.0,0.0,5,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College"
06:05:2013,78842.0,8400.0,0.0,0.0,0.0,0.0,0,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Thomas Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
07:04:2013,91201.0,1199.0,0.0,4800.0,0.0,0.0,-1,0.0,0.0,53,"Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,7533,7533,Dartmouth College"
07:05:2013,86942.0,3602.0,1200.0,10520.0,0.0,0.0,1,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,0,Dick's House,Dartmouth College,Goldstein Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Byrne II Hall,Thomas Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Thomas Hall"
08:04:2013,73164.0,3600.0,0.0,0.0,0.0,0.0,0,0.0,0.0,53,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
08:05:2013,50402.0,21182.0,0.0,0.0,0.0,0.0,2,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Class of 1953 Commons,Dartmouth College,Class of 1953 Commons,Rockefeller Center,Dartmouth College,Dartmouth College"
09:04:2013,83999.0,9600.0,1201.0,2401.0,0.0,0.0,1,0.0,0.0,53,"Dick's House,Dick's House,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
09:05:2013,76022.0,8399.0,0.0,0.0,0.0,0.0,3,0.0,0.0,53,"Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Thomas Hall,Dartmouth College,Dartmouth College,Thomas Hall"
10:04:2013,66000.0,6000.0,0.0,0.0,0.0,0.0,2,0.0,0.0,53,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College"
10:05:2013,87600.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,53,"Goldstein Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Byrne II Hall,Thomas Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
11:04:2013,73202.0,9600.0,2398.0,0.0,0.0,0.0,3,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Thomas Hall,Dana Circle Parking Lot,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Remsen Medical Sciences Building,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Remsen Medical Sciences Building,Vail,Life Sciences Greenhouse,Dana Circle Parking Lot,Class of 1978 Life Sciences Center"
11:05:2013,76809.0,2396.0,2398.0,0.0,0.0,7199.0,5,0.0,0.0,53,"Dartmouth College,Dartmouth College,Carpenter Hall,Carpenter Hall,Dartmouth College,Thomas Hall,Maynard Parking Lot,Thomas Hall,Thomas Hall,Thomas Hall,Maynard Parking Lot,Thomas Hall,Hood Museum of Art,Dartmouth College"
12:04:2013,87085.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,53,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
