date,home_time,school_time,travel_time,recreational_activities,orthers,date_in_week,cut_class,volunteer
01:05:2013 ,60046.0,1154.0,0.0,0.0,0.0,2,0.0,55
02:04:2013 ,94186.0,0.0,4831.0,0.0,0.0,1,0.0,55
02:05:2013 ,69598.0,0.0,0.0,1150.0,0.0,3,0.0,55
03:04:2013 ,60056.0,1261.0,7153.0,0.0,0.0,2,0.0,55
03:05:2013 ,73218.0,0.0,16836.0,0.0,0.0,4,0.0,55
04:04:2013 ,69484.0,8516.0,0.0,7200.0,0.0,3,0.0,55
04:05:2013 ,94003.0,0.0,0.0,0.0,0.0,5,0.0,55
05:04:2013 ,80401.0,0.0,4733.0,2466.0,0.0,4,0.0,55
05:05:2013 ,63643.0,5886.0,0.0,9640.0,0.0,-1,0.0,55
06:04:2013 ,181487.0,0.0,0.0,0.0,0.0,5,0.0,55
06:05:2013 ,65223.0,15600.0,0.0,39401.0,0.0,0,0.0,55
07:05:2013 ,54570.0,0.0,0.0,0.0,0.0,1,0.0,55
08:04:2013 ,54786.0,12081.0,0.0,0.0,272509.0,0,0.0,55
08:05:2013 ,81926.0,0.0,0.0,0.0,0.0,2,0.0,55
09:05:2013 ,91944.0,0.0,0.0,14879.0,0.0,3,0.0,55
10:05:2013 ,1645748.0,0.0,0.0,0.0,0.0,4,0.0,55
12:04:2013 ,91130.0,0.0,0.0,0.0,0.0,4,0.0,55
13:04:2013 ,87615.0,0.0,0.0,0.0,0.0,5,0.0,55
14:04:2013 ,100848.0,0.0,0.0,1200.0,0.0,-1,0.0,55
15:04:2013 ,60022.0,0.0,1204.0,0.0,0.0,0,0.0,55
16:04:2013 ,96000.0,0.0,0.0,0.0,0.0,1,0.0,55
17:04:2013 ,73136.0,0.0,3600.0,0.0,0.0,2,0.0,55
18:04:2013 ,76864.0,10800.0,0.0,0.0,0.0,3,0.0,55
19:04:2013 ,86424.0,1108.0,0.0,0.0,0.0,4,0.0,55
20:04:2013 ,88868.0,0.0,0.0,0.0,0.0,5,0.0,55
21:04:2013 ,79321.0,0.0,0.0,4800.0,0.0,-1,0.0,55
22:04:2013 ,84045.0,0.0,0.0,4761.0,1361.0,0,0.0,55
23:04:2013 ,80167.0,0.0,0.0,0.0,0.0,1,0.0,55
24:04:2013 ,130375.0,1143.0,0.0,0.0,0.0,2,0.0,55
25:04:2013 ,42097.0,0.0,0.0,0.0,0.0,3,0.0,55
26:04:2013 ,89969.0,0.0,0.0,0.0,0.0,4,0.0,55
27:03:2013 ,3542.0,0.0,0.0,0.0,0.0,2,0.0,55
27:04:2013 ,80538.0,0.0,0.0,1150.0,0.0,5,0.0,55
28:03:2013 ,80497.0,1901.0,0.0,4799.0,0.0,3,0.0,55
28:04:2013 ,79231.0,0.0,0.0,8438.0,0.0,-1,0.0,55
29:03:2013 ,76492.0,0.0,0.0,7199.0,2446.0,4,0.0,55
29:04:2013 ,85373.0,0.0,0.0,0.0,0.0,0,0.0,55
29:05:2013 ,16883.0,0.0,0.0,43118.0,0.0,2,0.0,55
30:03:2013 ,77073.0,0.0,17891.0,0.0,0.0,5,0.0,55
30:04:2013 ,126051.0,0.0,0.0,1156.0,0.0,1,0.0,55
30:05:2013 ,78647.0,0.0,0.0,7242.0,0.0,3,0.0,55
31:03:2013 ,0.0,0.0,0.0,170208.0,0.0,-1,0.0,55
