date,home_time,recreational_activities,working,school_time,shopping,travel_time,orthers,date_in_week,cut_class,class_schedule,volunteer
01:04:2013 ,3600.0,1200.0,148966.0,0.0,0.0,0.0,0.0,0,0.0,0.0,58
01:05:2013 ,67232.0,2404.0,2413.0,4800.0,1297.0,3621.0,0.0,2,0.0,0.0,58
02:04:2013 ,1200.0,0.0,4793.0,3605.0,0.0,0.0,0.0,1,0.0,0.0,58
02:05:2013 ,34675.0,0.0,46868.0,4858.0,0.0,1200.0,0.0,3,0.0,0.0,58
03:04:2013 ,8405.0,3600.0,69596.0,4803.0,0.0,0.0,0.0,2,0.0,0.0,58
03:05:2013 ,29999.0,3483.0,43034.0,7155.0,0.0,1194.0,0.0,4,0.0,0.0,58
04:04:2013 ,73137.0,4803.0,5998.0,2463.0,0.0,0.0,0.0,3,0.0,0.0,58
04:05:2013 ,22170.0,3558.0,22474.0,33790.0,0.0,0.0,3635.0,5,0.0,0.0,58
05:04:2013 ,17897.0,10848.0,53952.0,3645.0,0.0,0.0,8460.0,4,0.0,0.0,58
05:05:2013 ,17625.0,2995.0,51639.0,9944.0,0.0,7200.0,0.0,-1,0.0,0.0,58
06:04:2013 ,0.0,0.0,0.0,0.0,0.0,0.0,231792.0,5,0.0,0.0,58
06:05:2013 ,19780.0,0.0,47534.0,16683.0,0.0,0.0,0.0,0,0.0,0.0,58
07:05:2013 ,40728.0,8461.0,30068.0,4083.0,0.0,2399.0,0.0,1,0.0,0.0,58
08:04:2013 ,0.0,0.0,0.0,0.0,0.0,2337.0,49283.0,0,0.0,0.0,58
08:05:2013 ,48198.0,9601.0,14834.0,10841.0,0.0,2993.0,0.0,2,0.0,0.0,58
09:04:2013 ,3604.0,0.0,46800.0,5944.0,0.0,0.0,0.0,1,0.0,0.0,58
09:05:2013 ,34588.0,2516.0,36051.0,13748.0,0.0,0.0,0.0,3,0.0,0.0,58
10:04:2013 ,29997.0,2403.0,55252.0,0.0,0.0,0.0,0.0,2,0.0,0.0,58
10:05:2013 ,28110.0,0.0,22479.0,35715.0,0.0,1192.0,0.0,4,0.0,0.0,58
11:04:2013 ,22578.0,2513.0,50682.0,7200.0,0.0,0.0,3431.0,3,0.0,0.0,58
11:05:2013 ,78493.0,3600.0,4137.0,3000.0,0.0,601.0,0.0,5,0.0,0.0,58
12:04:2013 ,31125.0,2400.0,64796.0,0.0,0.0,0.0,0.0,4,0.0,0.0,58
12:05:2013 ,6608.0,1799.0,57985.0,9207.0,0.0,0.0,6604.0,-1,0.0,0.0,58
13:04:2013 ,10880.0,0.0,222397.0,0.0,0.0,0.0,0.0,5,0.0,0.0,58
13:05:2013 ,19789.0,0.0,65299.0,603.0,0.0,0.0,0.0,0,0.0,0.0,58
14:05:2013 ,16309.0,4200.0,72005.0,0.0,0.0,0.0,0.0,1,0.0,0.0,58
15:04:2013 ,6002.0,0.0,7204.0,0.0,0.0,0.0,0.0,0,0.0,0.0,58
15:05:2013 ,5511.0,1081.0,84758.0,0.0,0.0,0.0,0.0,2,0.0,0.0,58
16:04:2013 ,4792.0,9612.0,64797.0,4800.0,0.0,1195.0,0.0,1,0.0,0.0,58
