date,home_time,school_time,orthers,travel_time,recreational_activities,working,shopping,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,9602.0,4800.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,59,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
01:05:2013,103199.0,4800.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,59,"Class of 1953 Commons,0,Sudikoff Hall,Fairchild Physical Sciences Center,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0"
02:04:2013,0.0,0.0,107188.0,4411.0,0.0,0.0,0.0,1,0.0,0.0,59,"Dewey Parking Lot,0,0,0,0"
02:05:2013,76710.0,4800.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,59,"Sudikoff Hall,Sudikoff Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
03:04:2013,59248.0,5999.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,59,"Sudikoff Hall,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
03:05:2013,68705.0,1198.0,1290.0,0.0,0.0,0.0,0.0,4,0.0,0.0,59,"Irving,0,0,0,Sudikoff Hall,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0,0"
04:04:2013,91142.0,11122.0,0.0,1200.0,0.0,0.0,0.0,3,0.0,0.0,59,"0,0,0,0,0,Vox Lane Parking Lot,0,Sudikoff Hall,0"
04:05:2013,110272.0,9596.0,0.0,3297.0,0.0,0.0,0.0,5,0.0,0.0,59,"Zahm Courtyard,Berry Sports Center Parking Lot,0,0,0,0,0,0,0,0,0,0,0"
05:04:2013,142799.0,13128.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,59,"Sudikoff Hall,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0,0"
05:05:2013,53228.0,1324.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,59,"McNutt Hall,Steele Hall,0,0,0"
06:05:2013,160919.0,1801.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,59,"0,0,0,Dartmouth College,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0"
07:04:2013,63358.0,10805.0,8395.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,59,"0,Sudikoff Hall,0,Irving,0"
07:05:2013,600.0,0.0,3601.0,0.0,1800.0,0.0,0.0,1,0.0,0.0,59,"0,Hood Museum of Art,Nugget Arcade"
08:04:2013,187200.0,6000.0,0.0,3597.0,0.0,0.0,0.0,0,0.0,0.0,59,"Bartlett Hall,0,0,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0"
08:05:2013,94199.0,3602.0,0.0,600.0,6599.0,0.0,0.0,2,0.0,0.0,59,"Lot 7,0,0,0,Hopkins Center for the Arts,0,0,0,0,0,Guarini Institute for International Education,Sudikoff Hall,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
09:05:2013,60599.0,9000.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,59,"Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,0"
10:04:2013,57599.0,2401.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,59,"Parker House,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,0"
10:05:2013,97805.0,1799.0,600.0,0.0,5401.0,600.0,0.0,4,0.0,0.0,59,"0,0,Hood Museum of Art,0,0,Topliff Hall,0,Sphinx Secret Society,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Byrne II Hall,0,0"
11:04:2013,88684.0,8400.0,1202.0,0.0,0.0,0.0,0.0,3,0.0,0.0,59,"0,0,Ledyard Financial Advisors,0,0,Sudikoff Hall,0"
11:05:2013,143312.0,600.0,4963.0,4637.0,0.0,0.0,0.0,5,0.0,0.0,59,"0,Nugget Arcade,Nugget Arcade,0,Nugget Arcade,0,0"
12:04:2013,63600.0,10800.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,59,"0,Sudikoff Hall,Sudikoff Hall,Guarini Institute for International Education,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
13:04:2013,91200.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,59,"0,0,0,0,0"
13:05:2013,142005.0,7744.0,7724.0,0.0,6600.0,0.0,0.0,0,0.0,0.0,59,"0,Dartmouth College,0,West Stands,0,0,Reed Hall,0,Sudikoff Hall,Sudikoff Hall,Berry Hall,0"
14:04:2013,62402.0,1199.0,0.0,16808.0,2434.0,0.0,0.0,-1,0.0,0.0,59,"Dana Circle Parking Lot,Hopkins Center for the Arts,0,0,Sudikoff Hall,0"
14:05:2013,3749.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,59,Zimmerman Hall
15:04:2013,98402.0,1200.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,59,"0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0"
15:05:2013,100800.0,2998.0,0.0,3268.0,0.0,0.0,0.0,2,0.0,0.0,59,"0,Zimmerman Hall,0,0,0,0,0,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
16:04:2013,63263.0,0.0,0.0,1537.0,5997.0,0.0,0.0,1,0.0,0.0,59,"Alumni Gymnasium,0,Berry Sports Center Parking Lot"
16:05:2013,61917.0,8399.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,59,"0,Sudikoff Hall,Anonymous Hall,0"
17:04:2013,102001.0,0.0,0.0,0.0,6000.0,0.0,0.0,2,0.0,0.0,59,"0,Alumni Gymnasium,Alumni Gymnasium,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
17:05:2013,83753.0,4800.0,5532.0,0.0,0.0,0.0,0.0,4,0.0,0.0,59,"0,0,0,0,Ledyard Financial Advisors,0"
18:04:2013,58023.0,7195.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,59,"Sudikoff Hall,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,58199.0,8401.0,2167.0,0.0,28990.0,0.0,0.0,5,0.0,0.0,59,"Alumni Gymnasium,Alumni Gymnasium,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,Davidson Pottery Studio"
19:04:2013,91213.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,59,"0,0,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0"
19:05:2013,168000.0,0.0,0.0,0.0,3042.0,0.0,0.0,-1,0.0,0.0,59,"Hanover Inn Dartmouth,0"
20:04:2013,81507.0,8400.0,0.0,0.0,6000.0,0.0,0.0,5,0.0,0.0,59,"Sudikoff Hall,0,Alumni Gymnasium,0"
21:04:2013,74400.0,0.0,0.0,1293.0,0.0,0.0,0.0,-1,0.0,0.0,59,"Berry Sports Center Parking Lot,0"
21:05:2013,45597.0,1803.0,0.0,1207.0,8393.0,0.0,9000.0,1,0.0,0.0,59,"Dana Circle Parking Lot,Hanover Inn Dartmouth,0,Black Family Visual Arts Center,Dewey Field Road,0,0,0,Sudikoff Hall,Sudikoff Hall,0,0,Jewel of India"
22:04:2013,97200.0,6000.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,59,"Sudikoff Hall,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,0"
22:05:2013,99601.0,3598.0,604.0,0.0,1801.0,596.0,0.0,2,0.0,0.0,59,"Black Family Visual Arts Center,0,0,Sudikoff Hall,Sudikoff Hall,0,Ledyard Financial Advisors,Chi Heorot,0"
23:04:2013,57602.0,0.0,3598.0,0.0,6000.0,0.0,0.0,1,0.0,0.0,59,"Alumni Gymnasium,0,Johnson Audiology"
23:05:2013,51000.0,10800.0,10201.0,0.0,0.0,0.0,0.0,3,0.0,0.0,59,"Sudikoff Hall,0,0,0"
24:04:2013,88801.0,0.0,3600.0,0.0,5999.0,0.0,0.0,2,0.0,0.0,59,"Johnson Audiology,Hanover Post Office,0,Alumni Gymnasium,0,0"
24:05:2013,184799.0,0.0,0.0,0.0,0.0,4200.0,0.0,4,0.0,0.0,59,"0,0,Alpha Phi,0,0,0"
25:04:2013,76800.0,7200.0,0.0,0.0,1200.0,0.0,0.0,3,0.0,0.0,59,"FatFace Hanover,0,Sudikoff Hall,0"
26:04:2013,72000.0,9600.0,0.0,0.0,4800.0,0.0,0.0,4,0.0,0.0,59,"Alumni Gymnasium,Alumni Gymnasium,0,0,Sudikoff Hall,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0"
26:05:2013,75601.0,1799.0,0.0,0.0,6601.0,0.0,0.0,-1,0.0,0.0,59,"0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Morton Hall,0,Sudikoff Hall,0"
27:03:2013,28848.0,3552.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,59,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,0"
27:04:2013,88800.0,3600.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,59,"Sudikoff Hall,Sudikoff Hall,0,0,0"
27:05:2013,82200.0,4199.0,0.0,5999.0,601.0,0.0,0.0,0,0.0,0.0,59,"East Wheelock Street,Black Family Visual Arts Center,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,Bartlett Hall,0"
28:03:2013,54000.0,10800.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,59,"Sudikoff Hall,Anonymous Hall,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
28:04:2013,140400.0,2400.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,59,"Sudikoff Hall,Sudikoff Hall,0,0,0"
28:05:2013,52199.0,3534.0,6001.0,0.0,0.0,0.0,0.0,1,0.0,0.0,59,"Ledyard Financial Advisors,0,0"
29:03:2013,169200.0,12000.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,59,"0,0,Sudikoff Hall,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
29:04:2013,93601.0,0.0,0.0,1201.0,0.0,0.0,0.0,0,0.0,0.0,59,"Dana Circle Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,0,0"
29:05:2013,64201.0,0.0,0.0,0.0,1266.0,0.0,0.0,2,0.0,0.0,59,"Jewel of India,0,0,0,0,Life Sciences Greenhouse"
30:04:2013,0.0,3599.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,59,Class of 1953 Commons
31:03:2013,150000.0,0.0,0.0,3600.0,0.0,0.0,0.0,-1,0.0,0.0,59,"0,0"
