date,home_time,school_time,travel_time,recreational_activities,working,shopping,orthers,date_in_week,cut_class,class_schedule,volunteer,location_names
01:04:2013,9599.0,7200.0,0.0,0.0,0.0,0.0,0.0,0,1.0,11700.0,6,"Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College"
01:05:2013,67201.0,0.0,3599.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,6,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Blunt Alumni Center Parking Lot,Blunt Alumni Center Parking Lot,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
02:04:2013,73199.0,4800.0,0.0,6001.0,0.0,0.0,0.0,1,0.0,3900.0,6,"Winfred-Raven House,Winfred-Raven House,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Andres Hall,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College"
02:05:2013,151200.0,7200.0,0.0,0.0,0.0,0.0,0.0,3,1.0,7800.0,6,"Winfred-Raven House,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
03:04:2013,79202.0,1200.0,7198.0,0.0,0.0,0.0,0.0,2,1.0,11700.0,6,"Dartmouth College,Mass Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Blunt Alumni Center Parking Lot,Blunt Alumni Center Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Mass Parking Lot,Dartmouth College,Dartmouth College"
03:05:2013,13200.0,0.0,0.0,0.0,0.0,0.0,0.0,4,1.0,9000.0,6,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
04:04:2013,32399.0,10801.0,33600.0,8400.0,0.0,0.0,0.0,3,0.0,7800.0,6,"Dartmouth College,Winfred-Raven House,Winfred-Raven House,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Mass Parking Lot,Alumni Gymnasium,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,100800.0,6000.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,6,"Winfred-Raven House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
05:04:2013,77997.0,4802.0,0.0,4801.0,0.0,0.0,0.0,4,1.0,9000.0,6,"Hopkins Center for the Arts,Dartmouth College,Andres Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
05:05:2013,82202.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0.0,6,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
