date,home_time,recreational_activities,school_time,working,orthers,travel_time,date_in_week,volunteer,location_names
01:04:2013,1200.0,4798.0,7203.0,0.0,0.0,0.0,0,10,"Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hopkins Center for the Arts,Hopkins Center for the Arts,Wentworth Hall"
01:05:2013,15630.0,8260.0,13287.0,44390.0,0.0,0.0,2,10,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,0,Alpha Theta,Berry Library,Berry Library,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Wentworth Hall"
02:04:2013,3600.0,3599.0,4799.0,73892.0,0.0,0.0,1,10,"Wentworth Hall,Berry Library,Berry Library,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Sudikoff Hall,Sudikoff Hall,Alpha Theta"
02:05:2013,27606.0,0.0,1233.0,53960.0,1235.0,1199.0,3,10,"Wentworth Hall,Alpha Theta,Alpha Theta,Dartmouth College,Consolidated Communications,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Alpha Theta,Dartmouth College,Life Sciences Greenhouse,Vail Dartmouth Medical School"
03:04:2013,20399.0,3600.0,9600.0,54000.0,0.0,0.0,2,10,"Dartmouth College,Dartmouth College,Alpha Theta,Berry Library,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Wentworth Hall"
03:05:2013,10799.0,4800.0,2400.0,63613.0,3588.0,2400.0,4,10,"Alpha Theta,Alpha Theta,0,0,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Berry Library,Dartmouth College,Alpha Theta,0,Alpha Theta,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Alpha Theta,Alpha Theta,Dartmouth College,Alpha Theta,Wentworth Hall"
04:04:2013,32400.0,0.0,3600.0,49016.0,0.0,0.0,3,10,"Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,55200.0,2400.0,1200.0,46800.0,1200.0,0.0,5,10,"Wentworth Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Dartmouth College,Alpha Theta,Alpha Theta,0,0,0,Dartmouth College,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College"
05:04:2013,16799.0,3600.0,6000.0,60707.0,0.0,0.0,4,10,"Alpha Theta,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Berry Library,Berry Library,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta,Dartmouth College,Wentworth Hall"
05:05:2013,24000.0,0.0,0.0,57600.0,0.0,1200.0,-1,10,"63 South Main Street Parking Deck,Alpha Theta,Dartmouth College,Dartmouth College"
06:04:2013,83962.0,2405.0,1200.0,0.0,0.0,1200.0,5,10,"Wentworth Hall,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College"
06:05:2013,9600.0,4800.0,2400.0,49200.0,0.0,3600.0,0,10,"Dartmouth College,Mass Parking Lot,Mass Parking Lot,Alpha Theta,Dartmouth College,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Alpha Theta,Wentworth Hall"
07:04:2013,1199.0,7197.0,0.0,90003.0,0.0,0.0,-1,10,"Alpha Theta,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Alpha Theta,Dartmouth College,Alpha Theta"
07:05:2013,6000.0,12000.0,4800.0,63000.0,0.0,0.0,1,10,"Wentworth Hall,Dartmouth Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Berry Library,Sudikoff Hall,Sudikoff Hall,Alpha Theta"
08:04:2013,6000.0,3600.0,4800.0,57600.0,0.0,0.0,0,10,"Dartmouth College,Dartmouth College,Alpha Theta,Berry Library,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Alpha Theta,Alpha Theta,Dartmouth College"
08:05:2013,14402.0,10800.0,13198.0,48000.0,0.0,1200.0,2,10,"Alpha Theta,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,0,Dartmouth College,Alpha Theta,Berry Library,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth Hall"
09:04:2013,19201.0,2399.0,3600.0,60000.0,0.0,0.0,1,10,"Wentworth Hall,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Alpha Theta,Sudikoff Hall"
09:05:2013,38997.0,3000.0,1200.0,46203.0,0.0,6600.0,3,10,"Wentworth Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,63 South Main Street Parking Deck,63 South Main Street Parking Deck,Alpha Theta,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Sudikoff Hall,Alpha Theta,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
10:04:2013,14398.0,0.0,3600.0,67202.0,0.0,1200.0,2,10,"Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Dartmouth College,Dartmouth College,Alpha Theta,Alpha Theta,0,Alpha Theta,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Alpha Theta,Dartmouth College"
