date,home_time,school_time,working,orthers,travel_time,recreational_activities,shopping,date_in_week,volunteer
01:04:2013 ,69600.0,4799.0,0.0,0.0,0.0,0.0,0.0,0,13
01:05:2013 ,98398.0,1203.0,1199.0,0.0,0.0,0.0,0.0,2,13
01:06:2013 ,23750.0,0.0,0.0,12602.0,0.0,0.0,0.0,5,13
02:04:2013 ,84002.0,3598.0,0.0,0.0,0.0,0.0,0.0,1,13
02:05:2013 ,69600.0,0.0,0.0,0.0,0.0,0.0,0.0,3,13
03:04:2013 ,21600.0,26400.0,0.0,0.0,38400.0,0.0,0.0,2,13
03:05:2013 ,64803.0,21597.0,0.0,0.0,0.0,0.0,0.0,4,13
04:04:2013 ,79134.0,4866.0,0.0,1200.0,0.0,0.0,0.0,3,13
04:05:2013 ,98231.0,0.0,0.0,0.0,0.0,0.0,0.0,5,13
05:04:2013 ,48000.0,25200.0,0.0,13200.0,0.0,0.0,0.0,4,13
05:05:2013 ,87003.0,0.0,0.0,1201.0,1197.0,0.0,0.0,-1,13
06:04:2013 ,36008.0,0.0,0.0,10800.0,44392.0,0.0,0.0,5,13
06:05:2013 ,73800.0,2400.0,0.0,0.0,0.0,0.0,0.0,0,13
07:04:2013 ,60222.0,0.0,0.0,4800.0,42585.0,0.0,0.0,-1,13
07:05:2013 ,88205.0,0.0,0.0,2396.0,0.0,0.0,0.0,1,13
08:04:2013 ,7218.0,0.0,0.0,1200.0,3600.0,48268.0,0.0,0,13
08:05:2013 ,70804.0,4200.0,0.0,600.0,1795.0,600.0,0.0,2,13
09:04:2013 ,7308.0,0.0,0.0,0.0,78845.0,0.0,0.0,1,13
09:05:2013 ,83403.0,0.0,0.0,1199.0,1198.0,9600.0,0.0,3,13
10:04:2013 ,75601.0,12000.0,0.0,0.0,0.0,0.0,0.0,2,13
10:05:2013 ,70833.0,600.0,0.0,0.0,3004.0,1200.0,1763.0,4,13
11:04:2013 ,70729.0,1203.0,0.0,0.0,0.0,0.0,13267.0,3,13
11:05:2013 ,67802.0,18640.0,0.0,0.0,0.0,0.0,0.0,5,13
12:04:2013 ,13203.0,73199.0,0.0,0.0,1198.0,0.0,0.0,4,13
12:05:2013 ,81008.0,0.0,1200.0,0.0,2392.0,3602.0,0.0,-1,13
13:04:2013 ,74403.0,13061.0,0.0,1197.0,0.0,0.0,0.0,5,13
13:05:2013 ,53403.0,22198.0,600.0,0.0,8397.0,0.0,0.0,0,13
14:04:2013 ,129600.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,13
14:05:2013 ,87000.0,600.0,0.0,0.0,0.0,0.0,0.0,1,13
15:04:2013 ,40734.0,0.0,0.0,0.0,0.0,0.0,0.0,0,13
15:05:2013 ,15004.0,73196.0,0.0,0.0,0.0,600.0,0.0,2,13
16:04:2013 ,85266.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13
16:05:2013 ,79800.0,0.0,0.0,0.0,0.0,5400.0,0.0,3,13
17:04:2013 ,76800.0,10800.0,0.0,0.0,0.0,0.0,0.0,2,13
17:05:2013 ,71402.0,12001.0,0.0,0.0,597.0,0.0,0.0,4,13
18:04:2013 ,81600.0,0.0,0.0,3600.0,0.0,0.0,0.0,3,13
18:05:2013 ,95402.0,0.0,0.0,598.0,0.0,0.0,0.0,5,13
19:04:2013 ,71799.0,15600.0,0.0,0.0,0.0,0.0,0.0,4,13
19:05:2013 ,83999.0,0.0,0.0,1200.0,0.0,0.0,1201.0,-1,13
20:04:2013 ,125001.0,0.0,0.0,0.0,0.0,0.0,0.0,5,13
20:05:2013 ,69829.0,5403.0,0.0,0.0,0.0,3601.0,0.0,0,13
21:04:2013 ,84000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,13
21:05:2013 ,81606.0,0.0,0.0,1794.0,0.0,0.0,0.0,1,13
22:04:2013 ,45600.0,4800.0,0.0,0.0,0.0,0.0,0.0,0,13
22:05:2013 ,52805.0,14400.0,0.0,18596.0,1799.0,0.0,0.0,2,13
23:04:2013 ,85200.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13
23:05:2013 ,85200.0,0.0,0.0,0.0,2400.0,0.0,0.0,3,13
24:04:2013 ,82800.0,7200.0,0.0,0.0,0.0,0.0,0.0,2,13
24:05:2013 ,8399.0,76800.0,0.0,0.0,0.0,1201.0,0.0,4,13
25:04:2013 ,50403.0,1197.0,0.0,0.0,0.0,31200.0,0.0,3,13
25:05:2013 ,45044.0,9603.0,0.0,21597.0,0.0,12000.0,0.0,5,13
26:04:2013 ,76803.0,6000.0,0.0,0.0,0.0,4800.0,0.0,4,13
26:05:2013 ,75603.0,0.0,0.0,0.0,0.0,600.0,9000.0,-1,13
27:03:2013 ,0.0,13200.0,0.0,0.0,0.0,0.0,0.0,2,13
27:04:2013 ,88090.0,13200.0,0.0,0.0,3597.0,0.0,0.0,5,13
27:05:2013 ,112626.0,1800.0,0.0,0.0,0.0,0.0,0.0,0,13
28:03:2013 ,84000.0,2402.0,0.0,0.0,0.0,0.0,0.0,3,13
28:04:2013 ,114000.0,0.0,0.0,3597.0,0.0,0.0,0.0,-1,13
28:05:2013 ,52202.0,3600.0,0.0,0.0,1197.0,601.0,0.0,1,13
29:03:2013 ,2400.0,83999.0,0.0,0.0,0.0,0.0,0.0,4,13
29:04:2013 ,33600.0,3600.0,0.0,0.0,0.0,0.0,0.0,0,13
29:05:2013 ,68398.0,5401.0,0.0,5401.0,0.0,7200.0,0.0,2,13
30:03:2013 ,66000.0,0.0,0.0,0.0,39600.0,0.0,1200.0,5,13
30:04:2013 ,87600.0,0.0,0.0,0.0,0.0,0.0,0.0,1,13
30:05:2013 ,86676.0,0.0,0.0,9600.0,2400.0,0.0,0.0,3,13
31:03:2013 ,75602.0,0.0,0.0,2400.0,0.0,0.0,0.0,-1,13
31:05:2013 ,64200.0,0.0,0.0,9600.0,600.0,0.0,0.0,4,13
