date,home_time,recreational_activities,school_time,travel_time,orthers,working,date_in_week,volunteer,location_names
01:04:2013,74400.0,7201.0,4799.0,0.0,0.0,0.0,0,15,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Dartmouth College,Berry Library"
01:05:2013,80404.0,7200.0,2396.0,0.0,0.0,0.0,2,15,"Dartmouth College,Dartmouth College,Moore Psychology Building,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
02:04:2013,70800.0,0.0,14400.0,0.0,0.0,0.0,1,15,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
02:05:2013,66000.0,16800.0,1200.0,0.0,0.0,0.0,3,15,"Berry Library,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Sudikoff Hall,Dartmouth College,Wheeler Hall,Wheeler Hall,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Wheeler Hall"
03:04:2013,54000.0,24000.0,8400.0,0.0,0.0,0.0,2,15,"Berry Library,Berry Library,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Carpenter Hall,Carpenter Hall,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Berry Library"
03:05:2013,88804.0,13200.0,0.0,1196.0,0.0,0.0,4,15,"Wheeler Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Wheeler Hall,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Dartmouth College,Dartmouth College"
04:04:2013,60000.0,21600.0,6001.0,0.0,0.0,0.0,3,15,"Carpenter Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,69600.0,0.0,0.0,0.0,0.0,0.0,5,15,"Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College"
05:04:2013,75599.0,9599.0,6001.0,4800.0,0.0,0.0,4,15,"Black Family Visual Arts Center,Hood Museum of Art,Dartmouth College,Anonymous Hall,0,0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College"
05:05:2013,90002.0,9598.0,0.0,0.0,2400.0,0.0,-1,15,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Rollins Chapel,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Rollins Chapel,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Wheeler Hall,Berry Library,Dartmouth College"
06:04:2013,78000.0,1200.0,0.0,0.0,0.0,0.0,5,15,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:05:2013,68402.0,2398.0,0.0,1200.0,0.0,0.0,0,15,"Zahm Courtyard,Dartmouth College,Wheeler Hall,Alumni Gymnasium,Alumni Gymnasium,Wheeler Hall,Wheeler Hall,Life Sciences Greenhouse,Dartmouth College"
07:04:2013,70800.0,16800.0,0.0,0.0,0.0,0.0,-1,15,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library"
07:05:2013,61199.0,20401.0,2400.0,0.0,0.0,0.0,1,15,"Dartmouth College,Dartmouth College,Dartmouth College,Kemeny Hall,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Berry Library,Sudikoff Hall,Dartmouth College,Wheeler Hall"
08:04:2013,67201.0,7199.0,7201.0,0.0,0.0,0.0,0,15,"Wheeler Hall,Wheeler Hall,Starbucks,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Berry Library,Carpenter Hall"
08:05:2013,58797.0,30863.0,0.0,0.0,0.0,0.0,2,15,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Berry Library,Wheeler Hall,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
09:04:2013,58799.0,21601.0,4800.0,0.0,0.0,3599.0,1,15,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Berry Library,Carpenter Hall,Berry Library,Carpenter Hall,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Berry Library,Thomas Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
09:05:2013,66001.0,16800.0,0.0,0.0,0.0,0.0,3,15,"Berry Library,Dartmouth College,Dartmouth College,Wheeler Hall,Berry Library,Dartmouth College,Dartmouth College"
10:04:2013,91196.0,10804.0,1200.0,0.0,0.0,0.0,2,15,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
10:05:2013,15600.0,156691.0,0.0,0.0,0.0,0.0,4,15,"Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Black Family Visual Arts Center,Dartmouth College,Hood Museum of Art"
11:04:2013,58800.0,7200.0,0.0,0.0,1200.0,0.0,3,15,"Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheeler Hall,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Wheeler Hall,Dartmouth College,Dartmouth College,Dartmouth College,Rollins Chapel,Wheeler Hall,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse"
11:05:2013,27600.0,0.0,0.0,0.0,0.0,0.0,5,15,Dartmouth College
12:04:2013,92400.0,7200.0,0.0,0.0,0.0,0.0,4,15,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
