date,home_time,school_time,recreational_activities,travel_time,working,orthers,date_in_week,volunteer
01:04:2013 ,51605.0,2400.0,0.0,0.0,0.0,0.0,0,20
01:05:2013 ,44400.0,1200.0,2400.0,0.0,0.0,0.0,2,20
01:06:2013 ,28800.0,1200.0,0.0,0.0,0.0,0.0,5,20
02:04:2013 ,73239.0,0.0,13199.0,0.0,0.0,0.0,1,20
02:05:2013 ,37200.0,1202.0,1200.0,45599.0,0.0,0.0,3,20
03:04:2013 ,82800.0,4800.0,0.0,0.0,0.0,0.0,2,20
03:05:2013 ,68402.0,1199.0,1200.0,1200.0,15600.0,0.0,4,20
04:04:2013 ,84000.0,0.0,2400.0,0.0,0.0,0.0,3,20
04:05:2013 ,247218.0,0.0,0.0,0.0,0.0,0.0,5,20
05:04:2013 ,73200.0,4800.0,2400.0,4800.0,0.0,0.0,4,20
06:04:2013 ,93600.0,0.0,0.0,0.0,0.0,0.0,5,20
06:05:2013 ,9552.0,0.0,2377.0,0.0,0.0,0.0,0,20
07:04:2013 ,75600.0,0.0,4800.0,0.0,0.0,0.0,-1,20
07:05:2013 ,94854.0,0.0,1220.0,0.0,0.0,0.0,1,20
08:04:2013 ,79200.0,4800.0,2400.0,0.0,0.0,0.0,0,20
08:05:2013 ,54090.0,19072.0,3525.0,0.0,0.0,0.0,2,20
09:04:2013 ,79200.0,0.0,3600.0,2400.0,0.0,0.0,1,20
09:05:2013 ,66187.0,0.0,13110.0,0.0,5963.0,0.0,3,20
10:04:2013 ,86400.0,2400.0,0.0,0.0,0.0,0.0,2,20
10:05:2013 ,84138.0,0.0,3502.0,0.0,0.0,0.0,4,20
11:04:2013 ,84000.0,0.0,0.0,0.0,0.0,0.0,3,20
11:05:2013 ,91273.0,0.0,1140.0,0.0,0.0,0.0,5,20
12:04:2013 ,85200.0,0.0,2400.0,0.0,0.0,0.0,4,20
12:05:2013 ,87600.0,0.0,3600.0,0.0,0.0,0.0,-1,20
13:04:2013 ,85208.0,0.0,2400.0,0.0,0.0,0.0,5,20
13:05:2013 ,74400.0,0.0,1200.0,0.0,0.0,0.0,0,20
14:04:2013 ,76801.0,0.0,7199.0,0.0,0.0,0.0,-1,20
14:05:2013 ,74400.0,2400.0,8400.0,0.0,0.0,0.0,1,20
15:04:2013 ,80401.0,0.0,0.0,4800.0,0.0,2399.0,0,20
15:05:2013 ,46800.0,34800.0,8400.0,0.0,0.0,0.0,2,20
16:04:2013 ,84000.0,0.0,1200.0,0.0,0.0,0.0,1,20
16:05:2013 ,66000.0,16800.0,0.0,0.0,0.0,0.0,3,20
17:04:2013 ,80401.0,0.0,7199.0,0.0,0.0,0.0,2,20
17:05:2013 ,64800.0,8400.0,14400.0,0.0,0.0,0.0,4,20
18:04:2013 ,82799.0,0.0,2401.0,0.0,0.0,0.0,3,20
18:05:2013 ,74400.0,19200.0,0.0,0.0,0.0,6000.0,5,20
19:04:2013 ,81600.0,0.0,6000.0,0.0,0.0,0.0,4,20
19:05:2013 ,74399.0,0.0,1201.0,0.0,0.0,0.0,-1,20
20:04:2013 ,188400.0,0.0,1200.0,0.0,0.0,0.0,5,20
20:05:2013 ,84000.0,0.0,1201.0,0.0,0.0,0.0,0,20
21:05:2013 ,80401.0,2400.0,1198.0,0.0,0.0,0.0,1,20
22:04:2013 ,58800.0,0.0,12000.0,0.0,0.0,0.0,0,20
22:05:2013 ,74400.0,16800.0,0.0,0.0,0.0,0.0,2,20
23:04:2013 ,74401.0,8399.0,1200.0,0.0,0.0,0.0,1,20
23:05:2013 ,60000.0,15600.0,6001.0,0.0,0.0,0.0,3,20
24:04:2013 ,115200.0,0.0,3600.0,0.0,0.0,0.0,2,20
24:05:2013 ,81869.0,10800.0,0.0,0.0,0.0,0.0,4,20
25:04:2013 ,54000.0,0.0,1200.0,0.0,0.0,0.0,3,20
25:05:2013 ,72001.0,6000.0,4799.0,0.0,0.0,0.0,5,20
26:04:2013 ,78003.0,4799.0,3524.0,0.0,0.0,0.0,4,20
26:05:2013 ,62401.0,27599.0,0.0,0.0,0.0,0.0,-1,20
27:03:2013 ,3601.0,4799.0,2399.0,0.0,0.0,0.0,2,20
27:04:2013 ,100857.0,0.0,1220.0,0.0,0.0,0.0,5,20
27:05:2013 ,78000.0,2400.0,0.0,0.0,0.0,0.0,0,20
28:03:2013 ,82799.0,2400.0,1201.0,0.0,0.0,0.0,3,20
28:04:2013 ,92405.0,0.0,0.0,0.0,0.0,0.0,-1,20
28:05:2013 ,48599.0,34801.0,3012.0,0.0,0.0,0.0,1,20
29:03:2013 ,73202.0,1200.0,13198.0,0.0,0.0,0.0,4,20
29:04:2013 ,46800.0,14334.0,3662.0,0.0,0.0,0.0,0,20
29:05:2013 ,80313.0,4888.0,2399.0,0.0,0.0,0.0,2,20
30:03:2013 ,84911.0,0.0,7198.0,0.0,0.0,0.0,5,20
30:04:2013 ,124801.0,0.0,0.0,0.0,0.0,0.0,1,20
30:05:2013 ,161533.0,0.0,2401.0,0.0,0.0,0.0,3,20
31:03:2013 ,110473.0,0.0,1200.0,0.0,0.0,0.0,-1,20
31:05:2013 ,3600.0,3600.0,0.0,0.0,0.0,0.0,4,20
