date,home_time,school_time,recreational_activities,travel_time,orthers,date_in_week,volunteer
01:04:2013 ,12000.0,0.0,0.0,0.0,0.0,0,25
02:04:2013 ,174000.0,0.0,0.0,0.0,0.0,1,25
04:04:2013 ,75601.0,8399.0,0.0,0.0,0.0,3,25
05:04:2013 ,86454.0,1196.0,0.0,0.0,0.0,4,25
06:04:2013 ,99601.0,0.0,0.0,0.0,0.0,5,25
07:04:2013 ,75602.0,0.0,0.0,0.0,0.0,-1,25
08:04:2013 ,79198.0,4800.0,0.0,0.0,0.0,0,25
09:04:2013 ,99600.0,0.0,0.0,0.0,0.0,1,25
10:04:2013 ,154800.0,0.0,0.0,0.0,0.0,2,25
11:04:2013 ,1200.0,2400.0,0.0,0.0,0.0,3,25
12:04:2013 ,82804.0,0.0,5997.0,0.0,0.0,4,25
13:04:2013 ,99600.0,1200.0,0.0,0.0,0.0,5,25
14:04:2013 ,70800.0,0.0,0.0,0.0,0.0,-1,25
15:04:2013 ,87600.0,0.0,0.0,0.0,0.0,0,25
16:04:2013 ,93600.0,0.0,0.0,1200.0,0.0,1,25
17:04:2013 ,52800.0,22800.0,0.0,0.0,0.0,2,25
18:04:2013 ,71981.0,25200.0,0.0,0.0,0.0,3,25
19:04:2013 ,72253.0,0.0,5766.0,0.0,0.0,4,25
20:04:2013 ,44400.0,4800.0,0.0,0.0,39919.0,5,25
21:04:2013 ,9599.0,72459.0,0.0,0.0,0.0,-1,25
22:04:2013 ,66060.0,19200.0,0.0,0.0,0.0,0,25
23:04:2013 ,100800.0,2398.0,0.0,0.0,0.0,1,25
24:04:2013 ,45603.0,26400.0,0.0,0.0,0.0,2,25
25:04:2013 ,51488.0,0.0,0.0,0.0,32445.0,3,25
26:04:2013 ,21664.0,0.0,0.0,0.0,0.0,4,25
28:03:2013 ,158400.0,1202.0,0.0,0.0,0.0,3,25
29:03:2013 ,10799.0,2400.0,0.0,0.0,0.0,4,25
30:03:2013 ,88801.0,0.0,0.0,0.0,0.0,5,25
31:03:2013 ,158666.0,0.0,0.0,0.0,0.0,-1,25
