date,home_time,recreational_activities,school_time,travel_time,working,shopping,date_in_week,volunteer
01:04:2013 ,55201.0,2400.0,2400.0,2399.0,0.0,0.0,0,28
01:05:2013 ,74400.0,0.0,8400.0,0.0,0.0,0.0,2,28
01:06:2013 ,7197.0,0.0,0.0,0.0,0.0,0.0,5,28
02:04:2013 ,90002.0,0.0,0.0,0.0,0.0,0.0,1,28
02:05:2013 ,57601.0,0.0,26400.0,0.0,1199.0,0.0,3,28
03:04:2013 ,78000.0,0.0,4798.0,0.0,0.0,0.0,2,28
03:05:2013 ,89528.0,0.0,0.0,0.0,0.0,0.0,4,28
04:04:2013 ,81600.0,1200.0,3600.0,0.0,0.0,0.0,3,28
04:05:2013 ,121249.0,0.0,0.0,0.0,0.0,0.0,5,28
05:04:2013 ,82800.0,0.0,3600.0,0.0,0.0,0.0,4,28
05:05:2013 ,72000.0,0.0,0.0,0.0,0.0,0.0,-1,28
06:04:2013 ,133200.0,0.0,0.0,0.0,0.0,0.0,5,28
06:05:2013 ,62400.0,0.0,0.0,0.0,0.0,0.0,0,28
07:04:2013 ,73200.0,0.0,0.0,0.0,0.0,0.0,-1,28
07:05:2013 ,93600.0,0.0,0.0,0.0,0.0,0.0,1,28
08:04:2013 ,153531.0,0.0,4800.0,0.0,0.0,0.0,0,28
08:05:2013 ,76803.0,0.0,2397.0,0.0,0.0,0.0,2,28
09:05:2013 ,100800.0,0.0,0.0,0.0,0.0,0.0,3,28
10:04:2013 ,59547.0,1696.0,7157.0,0.0,0.0,0.0,2,28
10:05:2013 ,85200.0,0.0,0.0,0.0,0.0,0.0,4,28
11:04:2013 ,85200.0,0.0,0.0,0.0,0.0,0.0,3,28
11:05:2013 ,78002.0,0.0,0.0,0.0,0.0,1198.0,5,28
12:04:2013 ,94800.0,0.0,0.0,0.0,0.0,0.0,4,28
12:05:2013 ,91196.0,13204.0,0.0,1200.0,0.0,0.0,-1,28
13:04:2013 ,21601.0,0.0,0.0,0.0,58732.0,0.0,5,28
13:05:2013 ,68135.0,0.0,0.0,0.0,0.0,0.0,0,28
14:04:2013 ,98406.0,0.0,0.0,0.0,0.0,0.0,-1,28
14:05:2013 ,102001.0,0.0,0.0,0.0,0.0,0.0,1,28
15:04:2013 ,72000.0,0.0,0.0,0.0,0.0,0.0,0,28
15:05:2013 ,67193.0,2407.0,4800.0,0.0,0.0,0.0,2,28
16:04:2013 ,87600.0,0.0,0.0,0.0,0.0,0.0,1,28
16:05:2013 ,76800.0,0.0,0.0,0.0,0.0,0.0,3,28
17:04:2013 ,90000.0,0.0,0.0,0.0,0.0,0.0,2,28
17:05:2013 ,169201.0,0.0,0.0,0.0,0.0,0.0,4,28
18:04:2013 ,80400.0,0.0,1200.0,0.0,0.0,0.0,3,28
18:05:2013 ,19199.0,0.0,0.0,0.0,0.0,0.0,5,28
19:04:2013 ,86401.0,0.0,0.0,0.0,0.0,0.0,4,28
19:05:2013 ,144510.0,1200.0,0.0,0.0,0.0,0.0,-1,28
20:04:2013 ,106803.0,0.0,0.0,0.0,0.0,0.0,5,28
20:05:2013 ,10800.0,0.0,0.0,0.0,0.0,0.0,0,28
21:04:2013 ,76796.0,0.0,0.0,0.0,0.0,0.0,-1,28
21:05:2013 ,158400.0,0.0,0.0,0.0,0.0,0.0,1,28
22:04:2013 ,75600.0,0.0,0.0,0.0,0.0,0.0,0,28
22:05:2013 ,13200.0,0.0,1200.0,0.0,0.0,0.0,2,28
23:04:2013 ,102000.0,0.0,0.0,0.0,0.0,0.0,1,28
23:05:2013 ,129600.0,0.0,0.0,0.0,0.0,0.0,3,28
24:04:2013 ,79634.0,2400.0,0.0,1199.0,0.0,0.0,2,28
24:05:2013 ,154835.0,0.0,0.0,0.0,0.0,0.0,4,28
25:04:2013 ,73997.0,0.0,0.0,0.0,0.0,0.0,3,28
26:04:2013 ,86697.0,0.0,0.0,0.0,0.0,0.0,4,28
26:05:2013 ,80402.0,0.0,0.0,0.0,0.0,0.0,-1,28
27:04:2013 ,94800.0,0.0,0.0,0.0,0.0,0.0,5,28
27:05:2013 ,64477.0,0.0,3600.0,0.0,0.0,0.0,0,28
28:03:2013 ,1202.0,0.0,0.0,0.0,0.0,0.0,3,28
28:04:2013 ,94800.0,0.0,0.0,0.0,0.0,0.0,-1,28
28:05:2013 ,55202.0,1197.0,33602.0,0.0,0.0,0.0,1,28
29:03:2013 ,82799.0,1199.0,2400.0,0.0,0.0,0.0,4,28
29:04:2013 ,67201.0,1200.0,1199.0,0.0,0.0,0.0,0,28
29:05:2013 ,17999.0,0.0,62402.0,2399.0,0.0,0.0,2,28
30:03:2013 ,4802.0,0.0,92398.0,0.0,0.0,0.0,5,28
30:04:2013 ,91200.0,0.0,0.0,0.0,0.0,0.0,1,28
30:05:2013 ,85200.0,0.0,0.0,0.0,0.0,0.0,3,28
31:03:2013 ,95999.0,3600.0,0.0,0.0,0.0,0.0,-1,28
31:05:2013 ,97810.0,0.0,0.0,0.0,0.0,0.0,4,28
