date,home_time,recreational_activities,school_time,orthers,travel_time,date_in_week,volunteer,location_names
01:04:2013,39600.0,1200.0,0.0,0.0,0.0,0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts"
01:05:2013,146405.0,1200.0,4799.0,0.0,0.0,2,2,"Hopkins Center for the Arts,Dartmouth College,Steele Hall,Steele Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College"
02:04:2013,72003.0,14400.0,0.0,0.0,0.0,1,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
02:05:2013,11996.0,0.0,3600.0,0.0,0.0,3,2,"Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
03:04:2013,73199.0,2398.0,10800.0,0.0,0.0,2,2,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
03:05:2013,73200.0,13200.0,0.0,0.0,0.0,4,2,"Dartmouth College,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts"
04:04:2013,82800.0,0.0,3600.0,0.0,0.0,3,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,51602.0,19200.0,0.0,290179.0,0.0,5,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,0,Hopkins Center for the Arts,Dartmouth College,Dick's House"
05:04:2013,73200.0,12000.0,1200.0,0.0,0.0,4,2,"Hopkins Center for the Arts,Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:04:2013,81600.0,8400.0,1200.0,0.0,0.0,5,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Haldeman Center,Dartmouth College"
07:04:2013,90000.0,0.0,1200.0,0.0,0.0,-1,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College"
08:04:2013,70800.0,4800.0,2400.0,0.0,0.0,0,2,"0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sarner Underground"
08:05:2013,73206.0,2400.0,1200.0,0.0,0.0,2,2,"Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College"
09:04:2013,77999.0,13201.0,0.0,0.0,0.0,1,2,"Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College"
09:05:2013,73800.0,2400.0,3600.0,0.0,0.0,3,2,"The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
10:04:2013,74401.0,0.0,13199.0,0.0,0.0,2,2,"Haldeman Center,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
10:05:2013,61801.0,24600.0,0.0,0.0,0.0,4,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Black Family Visual Arts Center,Hopkins Center for the Arts,Black Family Visual Arts Center,Black Family Visual Arts Center,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
11:04:2013,76800.0,0.0,4800.0,0.0,0.0,3,2,"Dartmouth College,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College"
11:05:2013,35393.0,15000.0,0.0,36008.0,1198.0,5,2,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Maynard Parking Lot,Dick's House,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Maynard Parking Lot,Dick's House,Ripley Hall,Dick's House,Dartmouth College"
12:04:2013,68399.0,12001.0,3600.0,0.0,0.0,4,2,"Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts"
12:05:2013,66463.0,26405.0,0.0,0.0,0.0,-1,2,"Dartmouth College,Dartmouth College,Bildner Hall,Dartmouth College,Dartmouth College,Goldstein Hall,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
13:04:2013,78000.0,9600.0,0.0,0.0,0.0,5,2,"Hopkins Center for the Arts,Dartmouth College"
13:05:2013,76200.0,2398.0,0.0,0.0,0.0,0,2,"Berry Sports Center,Berry Sports Center,Dartmouth College,Dartmouth College"
14:04:2013,159600.0,0.0,6000.0,0.0,0.0,-1,2,"Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sarner Underground,Sarner Underground,Dartmouth College"
14:05:2013,65998.0,16203.0,4199.0,0.0,0.0,1,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hood Museum of Art,Dartmouth College,Hopkins Center for the Arts,Wilson Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Rockefeller Center,Dartmouth College,Hood Museum of Art,Hood Museum of Art,Wilson Hall,Hopkins Center for the Arts"
15:04:2013,4800.0,0.0,1200.0,0.0,0.0,0,2,"Dartmouth College,Dartmouth College,Class of 1953 Commons"
15:05:2013,101999.0,7200.0,2401.0,0.0,0.0,2,2,"Hopkins Center for the Arts,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Dartmouth College,Dartmouth College,Rockefeller Center,Dartmouth College,Dartmouth College,Dartmouth College"
16:04:2013,84031.0,14400.0,0.0,0.0,0.0,1,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
16:05:2013,57001.0,4200.0,1799.0,0.0,0.0,3,2,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Hood Museum of Art,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
17:04:2013,70800.0,0.0,3600.0,0.0,0.0,2,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
17:05:2013,68400.0,12601.0,4200.0,0.0,0.0,4,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
18:04:2013,81600.0,4800.0,0.0,0.0,0.0,3,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
18:05:2013,59399.0,37200.0,0.0,1801.0,0.0,5,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dick's House,Dick's House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
19:04:2013,64798.0,25202.0,3598.0,3602.0,0.0,4,2,"Sudikoff Hall,Hopkins Center for the Arts,Reed Hall,Hanover Information booth,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts"
19:05:2013,63600.0,6603.0,0.0,8998.0,0.0,-1,2,"Dartmouth College,Dartmouth College,0,0,0,0,0,Jewel of India,0,Dartmouth College,Dartmouth College,Hopkins Center for the Arts"
20:04:2013,18001.0,29785.0,1199.0,43200.0,0.0,5,2,"Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Dartmouth College,Hanover Information booth,Dartmouth College,Dartmouth College,Dick's House,Hopkins Center for the Arts,Dick's House,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
20:05:2013,165001.0,0.0,7198.0,0.0,0.0,0,2,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College"
21:04:2013,56399.0,13200.0,0.0,0.0,0.0,-1,2,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
22:04:2013,69601.0,15600.0,2391.0,0.0,0.0,0,2,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Class of 1953 Commons,Sarner Underground"
22:05:2013,64200.0,18600.0,600.0,0.0,0.0,2,2,"Haldeman Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
