date,home_time,orthers,recreational_activities,school_time,travel_time,working,shopping,date_in_week,volunteer
01:04:2013 ,5999.0,39600.0,2400.0,4800.0,33601.0,0.0,0.0,0,31
01:05:2013 ,64800.0,0.0,15600.0,3600.0,2400.0,0.0,0.0,2,31
02:04:2013 ,43256.0,0.0,3545.0,0.0,39600.0,0.0,0.0,1,31
02:05:2013 ,73200.0,0.0,9600.0,1200.0,1200.0,0.0,0.0,3,31
03:04:2013 ,34799.0,0.0,18000.0,4800.0,20400.0,8400.0,0.0,2,31
03:05:2013 ,59999.0,0.0,24001.0,0.0,2400.0,0.0,0.0,4,31
04:04:2013 ,40210.0,0.0,20990.0,3600.0,7200.0,14400.0,0.0,3,31
04:05:2013 ,86554.0,0.0,3600.0,0.0,0.0,0.0,0.0,5,31
05:04:2013 ,51867.0,0.0,13200.0,4800.0,17990.0,0.0,0.0,4,31
05:05:2013 ,88800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,31
06:04:2013 ,14143.0,0.0,3600.0,0.0,8400.0,68400.0,0.0,5,31
06:05:2013 ,74399.0,0.0,4801.0,1201.0,1199.0,0.0,0.0,0,31
07:04:2013 ,21714.0,56400.0,0.0,0.0,0.0,0.0,0.0,-1,31
07:05:2013 ,61197.0,0.0,19202.0,0.0,0.0,4802.0,0.0,1,31
08:04:2013 ,33600.0,40800.0,0.0,4800.0,6000.0,0.0,0.0,0,31
08:05:2013 ,80399.0,0.0,2400.0,0.0,4800.0,0.0,0.0,2,31
09:04:2013 ,49216.0,0.0,2001.0,0.0,35984.0,0.0,0.0,1,31
09:05:2013 ,74404.0,0.0,9600.0,0.0,0.0,1196.0,0.0,3,31
10:04:2013 ,61691.0,0.0,15535.0,4800.0,4774.0,0.0,0.0,2,31
10:05:2013 ,68400.0,0.0,15600.0,2399.0,1201.0,0.0,0.0,4,31
11:04:2013 ,57522.0,0.0,13199.0,1275.0,10803.0,2400.0,0.0,3,31
11:05:2013 ,198000.0,0.0,2400.0,0.0,0.0,9600.0,0.0,5,31
12:04:2013 ,73199.0,0.0,3601.0,0.0,10800.0,0.0,0.0,4,31
13:04:2013 ,84000.0,0.0,2400.0,0.0,2400.0,0.0,0.0,5,31
13:05:2013 ,49200.0,0.0,0.0,0.0,0.0,0.0,0.0,0,31
14:04:2013 ,1200.0,81600.0,0.0,0.0,0.0,0.0,0.0,-1,31
14:05:2013 ,62400.0,0.0,22800.0,0.0,0.0,0.0,0.0,1,31
15:04:2013 ,50400.0,26400.0,3600.0,4800.0,2400.0,0.0,0.0,0,31
15:05:2013 ,59701.0,0.0,2400.0,24299.0,0.0,0.0,0.0,2,31
16:04:2013 ,70801.0,0.0,9600.0,3600.0,1200.0,0.0,0.0,1,31
16:05:2013 ,73200.0,0.0,13200.0,0.0,0.0,0.0,0.0,3,31
17:04:2013 ,80399.0,0.0,1200.0,4800.0,1200.0,0.0,0.0,2,31
17:05:2013 ,279788.0,0.0,3600.0,0.0,0.0,0.0,0.0,4,31
18:04:2013 ,79200.0,0.0,2400.0,0.0,1200.0,2400.0,0.0,3,31
19:04:2013 ,80399.0,0.0,6001.0,0.0,1200.0,0.0,0.0,4,31
20:04:2013 ,87600.0,0.0,0.0,0.0,7200.0,0.0,0.0,5,31
20:05:2013 ,55201.0,0.0,7200.0,0.0,0.0,0.0,0.0,0,31
21:04:2013 ,0.0,77312.0,0.0,0.0,0.0,0.0,0.0,-1,31
21:05:2013 ,61237.0,0.0,16800.0,0.0,0.0,8362.0,0.0,1,31
22:04:2013 ,49200.0,30689.0,5999.0,1200.0,0.0,0.0,0.0,0,31
22:05:2013 ,85789.0,0.0,1200.0,0.0,0.0,0.0,0.0,2,31
23:04:2013 ,79136.0,0.0,6151.0,0.0,0.0,0.0,0.0,1,31
23:05:2013 ,68404.0,2397.0,12000.0,0.0,1200.0,1199.0,1200.0,3,31
24:04:2013 ,85196.0,0.0,7200.0,3604.0,0.0,0.0,0.0,2,31
24:05:2013 ,84439.0,0.0,4800.0,0.0,0.0,0.0,0.0,4,31
25:04:2013 ,72001.0,0.0,0.0,3599.0,0.0,1200.0,0.0,3,31
25:05:2013 ,69600.0,0.0,15600.0,0.0,0.0,0.0,0.0,5,31
26:04:2013 ,82704.0,0.0,3490.0,1186.0,0.0,0.0,0.0,4,31
26:05:2013 ,64800.0,0.0,9600.0,0.0,3600.0,7200.0,0.0,-1,31
27:04:2013 ,76443.0,6339.0,3617.0,0.0,1201.0,0.0,0.0,5,31
27:05:2013 ,69527.0,0.0,19201.0,40799.0,0.0,0.0,0.0,0,31
28:04:2013 ,65334.0,19252.0,0.0,0.0,0.0,0.0,0.0,-1,31
28:05:2013 ,38403.0,0.0,1199.0,2398.0,0.0,0.0,0.0,1,31
29:03:2013 ,39602.0,0.0,2398.0,0.0,16800.0,6000.0,0.0,4,31
29:04:2013 ,83449.0,0.0,1200.0,2365.0,0.0,0.0,0.0,0,31
29:05:2013 ,61775.0,0.0,25164.0,660.0,0.0,0.0,0.0,2,31
30:03:2013 ,16800.0,0.0,10800.0,0.0,130802.0,12000.0,0.0,5,31
30:04:2013 ,80399.0,0.0,6001.0,0.0,0.0,0.0,0.0,1,31
30:05:2013 ,80398.0,0.0,4802.0,0.0,0.0,0.0,0.0,3,31
31:03:2013 ,1198.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,31
31:05:2013 ,61200.0,0.0,19200.0,0.0,0.0,0.0,0.0,4,31
