date,home_time,orthers,school_time,travel_time,recreational_activities,shopping,date_in_week,volunteer,location_names
01:04:2013,7200.0,19196.0,8400.0,40800.0,0.0,0.0,0,32,"0,0,0,North Main Street,0,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,Class of 1978 Life Sciences Center,Sudikoff Hall"
01:05:2013,53950.0,0.0,33640.0,0.0,0.0,0.0,2,32,"Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Byrne II Hall"
02:04:2013,37210.0,2343.0,40800.0,15641.0,0.0,0.0,1,32,"Sudikoff Hall,0,North Main Street,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,0,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,0,0,0"
02:05:2013,36000.0,43303.0,0.0,6000.0,0.0,0.0,3,32,"Irving,Scott Avenue,0,North Main Street,Irving"
03:04:2013,25200.0,4800.0,3600.0,44400.0,1206.0,0.0,2,32,"Hopkins Center for the Arts,0,0,Sudikoff Hall,Sudikoff Hall,North Main Street,North Main Street,0,0,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
03:05:2013,135682.0,0.0,72228.0,0.0,0.0,0.0,4,32,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse"
04:04:2013,19208.0,0.0,28801.0,35991.0,0.0,0.0,3,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dewey Parking Lot"
05:04:2013,2400.0,0.0,28800.0,55200.0,0.0,0.0,4,32,"Sudikoff Hall,Sudikoff Hall,Wilder Hall,Wilder Hall,Sudikoff Hall,0,North Main Street,Sudikoff Hall,North Main Street,0,North Main Street,North Main Street,North Main Street,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall"
05:05:2013,104400.0,0.0,0.0,0.0,0.0,0.0,-1,32,"0,0"
06:04:2013,25200.0,0.0,15600.0,51928.0,0.0,0.0,5,32,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,0,0"
06:05:2013,10799.0,0.0,19213.0,0.0,0.0,0.0,0,32,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Guarini Institute for International Education,Sudikoff Hall,Sudikoff Hall,Guarini Institute for International Education"
07:04:2013,13200.0,2399.0,12001.0,46800.0,2400.0,2400.0,-1,32,"Roberts Flowers of Hanover,Roberts Flowers of Hanover,Sudikoff Hall,Sudikoff Hall,0,Berry Sports Center,0,North Main Street,0,North Main Street,North Main Street,0,0,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street"
07:05:2013,42000.0,0.0,45600.0,0.0,0.0,0.0,1,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
08:04:2013,18113.0,0.0,37200.0,28608.0,1279.0,1520.0,0,32,"0,North Main Street,0,0,North Main Street,Sudikoff Hall,Sudikoff Hall,Zahm Courtyard,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,North Main Street,North Main Street,North Main Street,0,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Roberts Flowers of Hanover"
08:05:2013,2400.0,2398.0,32296.0,46800.0,1306.0,0.0,2,32,"North Main Street,Wilder Hall,Sudikoff Hall,Hopkins Center for the Arts,0,Lot 6,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dewey Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
09:04:2013,5177.0,1200.0,19200.0,64841.0,1240.0,2052.0,1,32,"Roberts Flowers of Hanover,Hopkins Center for the Arts,Lot 6,0,Dartmouth College,North Main Street,Sudikoff Hall,Guarini Institute for International Education,Sudikoff Hall,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
09:05:2013,0.0,0.0,96405.0,3181.0,0.0,0.0,3,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
10:04:2013,6000.0,0.0,35999.0,37201.0,0.0,0.0,2,32,"Wilder Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,Maynard Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street,0,North Main Street,0,North Main Street,North Main Street,Life Sciences Greenhouse,Sudikoff Hall"
10:05:2013,1201.0,0.0,227999.0,1200.0,5999.0,1201.0,4,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Roberts Flowers of Hanover,Black Family Visual Arts Center,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Wilson Hall"
11:04:2013,3601.0,0.0,82799.0,0.0,0.0,0.0,3,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Anonymous Hall,Sudikoff Hall,Life Sciences Greenhouse"
12:04:2013,1200.0,0.0,56377.0,29292.0,0.0,0.0,4,32,"Sudikoff Hall,Sudikoff Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,North Main Street,Sudikoff Hall"
12:05:2013,0.0,0.0,8400.0,0.0,0.0,0.0,-1,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
13:04:2013,85200.0,0.0,1223.0,0.0,0.0,0.0,5,32,"Sudikoff Hall,0,0"
13:05:2013,31745.0,0.0,32451.0,0.0,0.0,44459.0,0,32,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Hanover Park"
14:04:2013,2400.0,34800.0,50400.0,0.0,0.0,0.0,-1,32,"0,0,0,0,0,0,Sudikoff Hall"
