date,school_time,home_time,travel_time,date_in_week,volunteer,location_names
03:04:2013,8400.0,0.0,0.0,2,40,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
04:04:2013,88800.0,1200.0,0.0,3,40,"Sudikoff Hall,Berry Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
05:04:2013,97200.0,1200.0,0.0,4,40,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Bildner Hall,Sudikoff Hall"
06:04:2013,70800.0,2400.0,0.0,5,40,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Berry Hall,Sudikoff Hall,Sudikoff Hall"
07:04:2013,267323.0,6000.0,0.0,-1,40,"Sudikoff Hall,Berry Hall,Sudikoff Hall"
10:04:2013,8407.0,13199.0,75600.0,2,40,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street"
11:04:2013,201261.0,0.0,0.0,3,40,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
13:04:2013,0.0,1200.0,57600.0,5,40,"North Main Street,North Main Street,North Main Street,0,North Main Street"
14:04:2013,0.0,6000.0,70800.0,-1,40,"0,North Main Street,North Main Street,North Main Street"
15:04:2013,0.0,32400.0,73200.0,0,40,"0,North Main Street,North Main Street"
16:04:2013,0.0,0.0,70800.0,1,40,"North Main Street,North Main Street,North Main Street"
17:04:2013,0.0,1200.0,146400.0,2,40,"0,North Main Street"
19:04:2013,0.0,3600.0,98400.0,4,40,"North Main Street,0,North Main Street,0,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
20:04:2013,0.0,9600.0,67200.0,5,40,"North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street"
21:04:2013,0.0,62400.0,64800.0,-1,40,"0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0"
22:04:2013,0.0,0.0,90000.0,0,40,"North Main Street,North Main Street,North Main Street"
23:04:2013,0.0,0.0,115200.0,1,40,"North Main Street,North Main Street"
24:04:2013,0.0,0.0,25200.0,2,40,North Main Street
25:04:2013,0.0,0.0,40800.0,3,40,"North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
29:03:2013,0.0,0.0,489813.0,4,40,0
