date,home_time,orthers,travel_time,recreational_activities,school_time,shopping,working,date_in_week,volunteer,location_names
01:05:2013,13202.0,86398.0,68400.0,0.0,0.0,0.0,0.0,2,43,"Dartmouth College,F Lot Parking,F Lot Parking,Life Sciences Greenhouse,Lebanon Street"
02:05:2013,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,3,43,Life Sciences Greenhouse
03:04:2013,0.0,0.0,0.0,8385.0,70799.0,1215.0,0.0,2,43,"Six South Street,Six South Street,Chew & Co. Design,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Anonymous Hall,Class of 1978 Life Sciences Center"
03:05:2013,90103.0,2400.0,0.0,0.0,12000.0,0.0,0.0,4,43,"Dartmouth College,0,Dartmouth College,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0"
04:04:2013,24018.0,0.0,52660.0,0.0,6000.0,0.0,0.0,3,43,"Dartmouth College,0,0,Dana Circle Parking Lot,Anonymous Hall,Anonymous Hall,Anonymous Hall,Vail Dartmouth Medical School,Class of 1978 Life Sciences Center"
04:05:2013,165392.0,0.0,0.0,0.0,0.0,0.0,0.0,5,43,"Dartmouth College,Dartmouth College"
05:04:2013,13200.0,1200.0,0.0,0.0,14401.0,0.0,61643.0,4,43,"Hanover Post Office,Anonymous Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Wheelock Office Park,Class of 1978 Life Sciences Center,Anonymous Hall,Anonymous Hall"
06:04:2013,5999.0,0.0,0.0,0.0,95287.0,0.0,0.0,5,43,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall"
06:05:2013,17086.0,0.0,50091.0,0.0,0.0,0.0,16800.0,0,43,"Dartmouth College,0,Wheelock Office Park,Life Sciences Greenhouse,Dartmouth College"
07:04:2013,143088.0,0.0,1200.0,0.0,0.0,0.0,0.0,-1,43,"0,0"
07:05:2013,65328.0,0.0,12001.0,7221.0,0.0,0.0,0.0,1,43,"Berry Library,Dartmouth College,F Lot Parking,F Lot Parking,F Lot Parking,Dartmouth College"
08:04:2013,14399.0,0.0,0.0,0.0,2401.0,0.0,0.0,0,43,"Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College"
08:05:2013,79199.0,0.0,0.0,0.0,0.0,0.0,0.0,2,43,"Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
09:04:2013,0.0,0.0,0.0,0.0,80400.0,0.0,0.0,1,43,Anonymous Hall
09:05:2013,179582.0,0.0,0.0,0.0,0.0,0.0,0.0,3,43,Dartmouth College
