date,school_time,home_time,travel_time,orthers,date_in_week,volunteer,location_names
01:05:2013,6000.0,0.0,0.0,0.0,2,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
02:05:2013,82799.0,3601.0,0.0,0.0,3,45,"Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
03:04:2013,4800.0,40804.0,0.0,0.0,2,45,"0,0,0,Sudikoff Hall,0"
03:05:2013,31201.0,56400.0,0.0,0.0,4,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
04:04:2013,39600.0,45597.0,0.0,0.0,3,45,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,0,0,0,0"
04:05:2013,86399.0,3600.0,0.0,0.0,5,45,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Remsen Medical Sciences Building"
05:04:2013,81599.0,4800.0,0.0,0.0,4,45,"Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0"
05:05:2013,0.0,84000.0,0.0,0.0,-1,45,"0,0,0,0"
06:04:2013,39600.0,66003.0,0.0,0.0,5,45,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,0,0"
06:05:2013,89999.0,47809.0,0.0,0.0,0,45,"0,Sudikoff Hall,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
07:04:2013,0.0,100797.0,0.0,0.0,-1,45,"Thomas Hall,0"
07:05:2013,0.0,46800.0,0.0,0.0,1,45,"0,0,0,0,0,0,0,0,0,0,0,0"
08:04:2013,9601.0,43199.0,0.0,0.0,0,45,"0,0,Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,0"
08:05:2013,45600.0,30000.0,0.0,0.0,2,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,Class of 1978 Life Sciences Center,Sudikoff Hall"
09:04:2013,159600.0,4800.0,0.0,0.0,1,45,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall"
09:05:2013,86400.0,0.0,0.0,0.0,3,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
10:04:2013,0.0,10800.0,0.0,0.0,2,45,Life Sciences Greenhouse
10:05:2013,28801.0,73200.0,0.0,0.0,4,45,"Life Sciences Greenhouse,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
11:04:2013,9600.0,3600.0,70800.0,0.0,3,45,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dewey Parking Lot"
11:05:2013,14400.0,52799.0,0.0,0.0,5,45,"0,Dartmouth College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
12:04:2013,79200.0,8400.0,0.0,0.0,4,45,"Sudikoff Hall,0,0,Life Sciences Greenhouse,Sudikoff Hall"
12:05:2013,0.0,107811.0,0.0,0.0,-1,45,"0,0"
13:04:2013,56400.0,54000.0,15600.0,0.0,5,45,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,G Lot Parking,0,0,0,0,Sudikoff Hall"
13:05:2013,0.0,84000.0,0.0,0.0,0,45,"0,0,0"
14:04:2013,0.0,111811.0,0.0,0.0,-1,45,0
14:05:2013,80400.0,0.0,0.0,0.0,1,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
15:04:2013,17434.0,7230.0,0.0,0.0,0,45,"0,0,Sudikoff Hall"
15:05:2013,19201.0,52506.0,0.0,1493.0,2,45,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Rauner Hall,0,0"
16:04:2013,19352.0,80424.0,3600.0,0.0,1,45,"Life Sciences Greenhouse,Sudikoff Hall,G Lot Parking,0,0,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Byrne II Hall"
16:05:2013,21600.0,66000.0,0.0,0.0,3,45,"Sudikoff Hall,0,0,0,0,0,0"
17:04:2013,13199.0,52801.0,0.0,0.0,2,45,"Byrne II Hall,0,0,0,0,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
