date,home_time,orthers,recreational_activities,school_time,working,travel_time,shopping,date_in_week,volunteer,location_names
01:04:2013,54003.0,2397.0,1200.0,6000.0,12000.0,0.0,0.0,0,47,"Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,0,0,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Collis Student Center,Haldeman Center"
01:05:2013,51599.0,0.0,1200.0,8399.0,27402.0,0.0,0.0,2,47,"Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Class of 1953 Commons,Class of 1953 Commons,Sigma Alpha Epsilon Fraternity,Dartmouth College,Haldeman Center,Haldeman Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Hopkins Center for the Arts,New Hampshire Hall"
02:04:2013,57599.0,0.0,9598.0,13202.0,4801.0,0.0,0.0,1,47,"Haldeman Center,Sudikoff Hall,Hopkins Center for the Arts,New Hampshire Hall,Berry Sports Center,Berry Sports Center,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
02:05:2013,58827.0,19310.0,2400.0,4800.0,7173.0,0.0,0.0,3,47,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,New Hampshire Hall,Berry Sports Center,Berry Sports Center,Collis Student Center,Collis Student Center,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,0,Dartmouth College,Life Sciences Greenhouse,Dartmouth College"
03:04:2013,51606.0,0.0,1199.0,29994.0,2400.0,1201.0,0.0,2,47,"Dartmouth College,Dartmouth College,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Zahm Courtyard,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Collis Student Center,Collis Student Center,Collis Student Center,Collis Student Center,Collis Student Center,Collis Student Center,Collis Student Center,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Haldeman Center,Haldeman Center,Haldeman Center,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Collis Student Center,Haldeman Center,Sudikoff Hall,Haldeman Center"
03:05:2013,33600.0,0.0,7200.0,28800.0,12000.0,7200.0,0.0,4,47,"Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Collis Student Center,Dartmouth College,Haldeman Center,Haldeman Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Sigma Alpha Epsilon Fraternity,Collis Student Center,Sudikoff Hall"
04:04:2013,52800.0,3600.0,7199.0,6000.0,16801.0,1200.0,0.0,3,47,"Haldeman Center,Haldeman Center,Sudikoff Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,0,0,0,0,0,Collis Student Center,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Collis Student Center,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
04:05:2013,49566.0,1098.0,2502.0,0.0,19200.0,1200.0,0.0,5,47,"0,Black Family Visual Arts Center,0,Sushiya,Dartmouth College,Sigma Alpha Epsilon Fraternity,Dartmouth College"
05:04:2013,39603.0,0.0,9597.0,13197.0,22803.0,0.0,0.0,4,47,"0,New Hampshire Hall,New Hampshire Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Reed Hall,New Hampshire Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Haldeman Center,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Dartmouth College,Dartmouth College,Haldeman Center,Haldeman Center"
05:05:2013,42000.0,0.0,0.0,0.0,51600.0,0.0,0.0,-1,47,"Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sigma Alpha Epsilon Fraternity,Dartmouth College,Sigma Alpha Epsilon Fraternity"
