date,home_time,school_time,travel_time,orthers,recreational_activities,date_in_week,volunteer,location_names
01:04:2013,1200.0,25200.0,0.0,0.0,0.0,0,48,"Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Anonymous Hall"
01:05:2013,1197.0,221624.0,0.0,0.0,0.0,2,48,"Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
02:04:2013,0.0,176553.0,0.0,0.0,0.0,1,48,"Anonymous Hall,Class of 1953 Commons,Sarner Underground"
03:05:2013,1200.0,19200.0,0.0,0.0,0.0,4,48,"Dartmouth College,Sudikoff Hall,Class of 1953 Commons"
04:04:2013,3600.0,70801.0,0.0,0.0,0.0,3,48,"Anonymous Hall,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Class of 1953 Commons,Life Sciences Greenhouse"
04:05:2013,4800.0,192146.0,0.0,0.0,0.0,5,48,"Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Rauner Hall,Sudikoff Hall"
05:04:2013,11999.0,75600.0,0.0,0.0,0.0,4,48,"Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College"
06:04:2013,4800.0,267821.0,0.0,0.0,0.0,5,48,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall"
06:05:2013,0.0,598168.0,0.0,0.0,0.0,0,48,Sudikoff Hall
09:04:2013,0.0,233285.0,0.0,0.0,0.0,1,48,Class of 1953 Commons
11:04:2013,0.0,8399.0,1201.0,0.0,0.0,3,48,"Class of 1953 Commons,Dana Circle Parking Lot"
12:04:2013,3600.0,86400.0,0.0,0.0,0.0,4,48,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Class of 1953 Commons"
13:04:2013,185453.0,16148.0,0.0,0.0,0.0,5,48,"Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Dartmouth College,Dartmouth College"
13:05:2013,0.0,435015.0,0.0,0.0,0.0,0,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
15:04:2013,1200.0,55199.0,0.0,0.0,0.0,0,48,"Anonymous Hall,Dartmouth College,Sudikoff Hall"
16:04:2013,57600.0,42000.0,0.0,0.0,0.0,1,48,"Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Dartmouth College,Sudikoff Hall"
17:04:2013,2400.0,83971.0,0.0,0.0,0.0,2,48,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Sudikoff Hall"
18:04:2013,66000.0,9600.0,0.0,0.0,0.0,3,48,"Dartmouth College,Class of 1953 Commons"
18:05:2013,0.0,66612.0,0.0,0.0,0.0,5,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
19:04:2013,9600.0,74401.0,0.0,0.0,0.0,4,48,"Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College"
19:05:2013,0.0,90457.0,1803.0,0.0,0.0,-1,48,"Mass Parking Lot,Mass Parking Lot,Anonymous Hall,Sudikoff Hall"
20:04:2013,84529.0,7200.0,8116.0,1484.0,0.0,5,48,"Dana Circle Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dana Circle Parking Lot,Hanover Court,Dartmouth College,Dartmouth College"
20:05:2013,0.0,82801.0,0.0,0.0,0.0,0,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
21:04:2013,0.0,71999.0,0.0,0.0,0.0,-1,48,Sudikoff Hall
21:05:2013,0.0,84000.0,0.0,0.0,0.0,1,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Parkhurst Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Parkhurst Hall,Collis Student Center,Collis Student Center,Sudikoff Hall"
22:04:2013,0.0,90001.0,0.0,0.0,0.0,0,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
22:05:2013,0.0,29399.0,0.0,0.0,56166.0,2,48,"Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Berry Library,Berry Library"
23:04:2013,55199.0,38400.0,0.0,0.0,0.0,1,48,"Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
23:05:2013,0.0,88201.0,0.0,0.0,0.0,3,48,"Collis Student Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
24:04:2013,81814.0,0.0,0.0,0.0,0.0,2,48,Dartmouth College
24:05:2013,0.0,86400.0,0.0,0.0,0.0,4,48,"Sudikoff Hall,Sudikoff Hall"
25:04:2013,234255.0,21601.0,0.0,0.0,0.0,3,48,"Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,0"
25:05:2013,0.0,94200.0,0.0,0.0,0.0,5,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
26:05:2013,0.0,96600.0,0.0,0.0,0.0,-1,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
27:05:2013,0.0,67200.0,0.0,0.0,0.0,0,48,Sudikoff Hall
28:04:2013,13200.0,222516.0,0.0,0.0,0.0,-1,48,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
28:05:2013,10199.0,88801.0,0.0,0.0,0.0,1,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
29:03:2013,40803.0,2400.0,0.0,0.0,0.0,4,48,"0,0,0,0,0,0,0,0,0,0,Class of 1978 Life Sciences Center,Dartmouth College"
29:05:2013,9600.0,60599.0,601.0,0.0,0.0,2,48,"Dartmouth College,Sudikoff Hall,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Sudikoff Hall"
30:03:2013,104399.0,18001.0,16798.0,0.0,0.0,5,48,"Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,0,0,0"
30:04:2013,0.0,34800.0,0.0,0.0,1200.0,1,48,"Hopkins Center for the Arts,Sudikoff Hall"
30:05:2013,0.0,28807.0,0.0,0.0,0.0,3,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
31:03:2013,100800.0,0.0,0.0,0.0,0.0,-1,48,"0,0,0"
