date,home_time,recreational_activities,travel_time,school_time,working,orthers,date_in_week,volunteer,location_names
01:06:2013,22025.0,14937.0,0.0,0.0,0.0,0.0,5,50,"Berry Library,Little Hall,Little Hall,Berry Library,Little Hall,Berry Library,Little Hall,Berry Library,Little Hall,Berry Library,Dartmouth College,Berry Library,Little Hall,Berry Library,Little Hall,Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Berry Library,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
03:04:2013,15168.0,1200.0,215644.0,0.0,0.0,0.0,2,50,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dana Circle Parking Lot"
06:04:2013,23994.0,0.0,1204.0,169815.0,0.0,0.0,5,50,"Little Hall,Little Hall,Dartmouth College,0,0,Wellesley College"
06:05:2013,339678.0,0.0,0.0,0.0,0.0,0.0,0,50,Little Hall
08:04:2013,155294.0,0.0,0.0,0.0,0.0,0.0,0,50,"Little Hall,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall"
10:04:2013,40800.0,37200.0,0.0,3599.0,0.0,0.0,2,50,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Library"
10:05:2013,0.0,0.0,0.0,321577.0,0.0,0.0,4,50,Wilder Hall
11:04:2013,53022.0,27373.0,0.0,3600.0,0.0,0.0,3,50,"Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Little Hall,Little Hall,Dartmouth College,Berry Library,Little Hall,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Dartmouth College,Little Hall,Dartmouth College,Life Sciences Greenhouse"
12:04:2013,56432.0,22848.0,0.0,3064.0,3524.0,0.0,4,50,"Life Sciences Greenhouse,Seven Allen,Seven Allen,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Little Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Berry Library,Berry Library,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College"
13:04:2013,36093.0,53905.0,0.0,0.0,0.0,0.0,5,50,"Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Berry Library,Berry Library,Berry Library,Berry Library,Berry Library,Berry Library,Hopkins Center for the Arts,Dartmouth College,Berry Library,Little Hall,Dartmouth College,0"
13:05:2013,13800.0,0.0,0.0,0.0,0.0,0.0,0,50,Dartmouth College
14:04:2013,6231.0,0.0,56341.0,14403.0,3875.0,5724.0,-1,50,"Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Massachusetts Institute of Technology,Sidney Street,Sidney Street,Novartis Amenities Building,Novartis Amenities Building,Massachusetts Institute of Technology,Massachusetts Institute of Technology,0,0,Dr. Paul Dudley White Path,Dartmouth College"
14:05:2013,54000.0,15600.0,0.0,20400.0,0.0,0.0,1,50,"Little Hall,Dartmouth College,Dartmouth College,Little Hall,Reed Hall,Reed Hall,Kemeny Hall,Kemeny Hall,Berry Library,Berry Library,Dartmouth College,Berry Library"
15:04:2013,58678.0,18166.0,1203.0,6098.0,0.0,0.0,0,50,"Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Hopkins Center for the Arts,Zahm Courtyard,Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Little Hall,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Berry Library,Berry Library,Kemeny Hall,Dartmouth College"
