date,home_time,recreational_activities,school_time,shopping,travel_time,working,orthers,date_in_week,volunteer,location_names
01:04:2013,148966.0,1200.0,3600.0,0.0,0.0,0.0,0.0,0,58,"Hopkins Center for the Arts,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
01:05:2013,63645.0,2404.0,10800.0,1297.0,3621.0,0.0,0.0,2,58,"Sudikoff Hall,Dartmouth College,Hanover Park,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,0,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Hopkins Center for the Arts,Dartmouth College,Dartmouth College"
02:04:2013,4793.0,0.0,4805.0,0.0,0.0,0.0,0.0,1,58,"Collis Student Center,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
02:05:2013,58867.0,0.0,24056.0,0.0,1200.0,3478.0,0.0,3,58,"Alpha Theta,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,0,Native American House,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Native American House,Dartmouth College,Native American House,Dartmouth College,Dartmouth College,Phi Tau,Dartmouth College,Dartmouth College,Life Sciences Greenhouse"
03:04:2013,74395.0,3600.0,8409.0,0.0,0.0,0.0,0.0,2,58,"Dartmouth College,Dartmouth College,Dartmouth College,Carson Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College"
03:05:2013,47834.0,3483.0,23954.0,0.0,1194.0,8400.0,0.0,4,58,"Class of 1978 Life Sciences Center,Phi Tau,Phi Tau,0,Native American House,Sudikoff Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Native American House,Native American House,Native American House,Native American House,Native American House,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Guarini Institute for International Education,Phi Tau,Dartmouth College"
04:04:2013,68423.0,4803.0,13175.0,0.0,0.0,0.0,0.0,3,58,"Collis Student Center,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,35639.0,3558.0,42795.0,0.0,0.0,0.0,3635.0,5,58,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Native American House,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Native American House,Left Bank Books,0,0,Sudikoff Hall,Sudikoff Hall,Parker House,Native American House,Dartmouth College,Native American House,Dartmouth College,Dartmouth College,Native American House,Dartmouth College,Native American House,Dartmouth College,Native American House,Native American House,Dartmouth College,Dartmouth College,Native American House,Native American House,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College"
05:04:2013,58692.0,10848.0,14401.0,0.0,0.0,2401.0,8460.0,4,58,"Life Sciences Greenhouse,Life Sciences Greenhouse,Phi Tau,Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Class of 1953 Commons,Sudikoff Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Collis Student Center,Alumni Gymnasium,Alumni Gymnasium"
05:05:2013,53979.0,2995.0,20960.0,0.0,7200.0,4269.0,0.0,-1,58,"Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Native American House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,Alpha Phi,Alpha Phi,0,Dartmouth College,Native American House,Native American House,Dartmouth College,Native American House,Dartmouth College,Native American House,Native American House,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Native American House,Dartmouth College,Native American House,Dartmouth College,Parkhurst Hall,Class of 1953 Commons,Alpha Theta,Native American House,Dartmouth College,0,Battle Field,Battle Field,Battle Field,Dartmouth College"
06:04:2013,0.0,0.0,0.0,0.0,0.0,0.0,231792.0,5,58,"Terminal A,Terminal A,Terminal A Satellite"
