date,home_time,orthers,recreational_activities,school_time,travel_time,working,shopping,date_in_week,volunteer,location_names
01:04:2013,28801.0,1198.0,2400.0,43199.0,3600.0,0.0,0.0,0,60,"0,Hopkins Center for the Arts,Hopkins Center for the Arts,Robinson Hall,Dartmouth College,Wentworth Hall,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1953 Commons,Class of 1953 Commons,Robinson Hall"
01:05:2013,57600.0,0.0,0.0,25201.0,0.0,0.0,0.0,2,60,"Robinson Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons"
01:06:2013,3602.0,0.0,1198.0,0.0,0.0,0.0,0.0,5,60,"Dartmouth College,Dartmouth College,Dartmouth College,Hood Museum of Art,Hood Museum of Art"
02:04:2013,49199.0,0.0,4799.0,43203.0,0.0,0.0,0.0,1,60,"Robinson Hall,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Dartmouth College,Haldeman Center,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Wentworth Hall,Robinson Hall"
02:05:2013,61899.0,0.0,4798.0,18161.0,1197.0,0.0,0.0,3,60,"Class of 1953 Commons,Class of 1953 Commons,Berry Library,Berry Library,Dartmouth College,Mass Parking Lot,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Webster Hall,Wentworth Hall,Dartmouth College,Collis Student Center,Collis Student Center,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse"
03:04:2013,51601.0,0.0,1199.0,21600.0,0.0,0.0,0.0,2,60,"Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons"
03:05:2013,84407.0,0.0,0.0,20485.0,0.0,0.0,0.0,4,60,"Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Wentworth Hall,Anonymous Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Collis Student Center,Dartmouth College"
04:04:2013,64796.0,0.0,6002.0,15601.0,0.0,0.0,0.0,3,60,"North Fairbanks,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Robinson Hall,Latin American, Latino/a, and Caribbean House,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Wentworth Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College"
04:05:2013,74855.0,0.0,0.0,9598.0,1200.0,0.0,0.0,5,60,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dana Parking Lot,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College"
05:04:2013,19876.0,0.0,0.0,66524.0,0.0,0.0,0.0,4,60,"Dartmouth College,Dartmouth College,Richardson Hall,Robinson Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Dartmouth College,Wentworth Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Life Sciences Greenhouse,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall,Sudikoff Hall,Robinson Hall"
