date,home_time,school_time,travel_time,recreational_activities,working,shopping,orthers,date_in_week,volunteer
01:04:2013 ,9599.0,7200.0,0.0,0.0,0.0,0.0,0.0,0,6
01:05:2013 ,67201.0,0.0,3599.0,0.0,0.0,0.0,0.0,2,6
02:04:2013 ,73199.0,4800.0,0.0,6001.0,0.0,0.0,0.0,1,6
02:05:2013 ,151200.0,7200.0,0.0,0.0,0.0,0.0,0.0,3,6
03:04:2013 ,79202.0,1200.0,7198.0,0.0,0.0,0.0,0.0,2,6
03:05:2013 ,13200.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6
04:04:2013 ,32399.0,10801.0,33600.0,8400.0,0.0,0.0,0.0,3,6
04:05:2013 ,100800.0,6000.0,0.0,0.0,0.0,0.0,0.0,5,6
05:04:2013 ,77997.0,4802.0,0.0,4801.0,0.0,0.0,0.0,4,6
05:05:2013 ,82202.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,6
06:04:2013 ,60001.0,20400.0,0.0,15599.0,0.0,0.0,0.0,5,6
06:05:2013 ,64798.0,601.0,0.0,4199.0,0.0,0.0,0.0,0,6
07:04:2013 ,73198.0,0.0,0.0,2402.0,0.0,0.0,0.0,-1,6
07:05:2013 ,152292.0,3603.0,0.0,0.0,0.0,0.0,0.0,1,6
08:04:2013 ,82798.0,4802.0,1200.0,0.0,0.0,0.0,0.0,0,6
08:05:2013 ,13200.0,3600.0,0.0,0.0,0.0,0.0,0.0,2,6
09:04:2013 ,69603.0,4800.0,0.0,4800.0,4799.0,0.0,0.0,1,6
09:05:2013 ,112201.0,6602.0,600.0,599.0,0.0,598.0,0.0,3,6
10:04:2013 ,79198.0,3600.0,0.0,4800.0,0.0,0.0,0.0,2,6
10:05:2013 ,49207.0,2397.0,0.0,1796.0,0.0,0.0,0.0,4,6
11:04:2013 ,67202.0,8399.0,0.0,6000.0,3599.0,0.0,0.0,3,6
11:05:2013 ,80999.0,5401.0,0.0,0.0,0.0,0.0,0.0,5,6
12:04:2013 ,84001.0,0.0,0.0,4799.0,0.0,0.0,0.0,4,6
12:05:2013 ,88800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,6
13:04:2013 ,111601.0,4801.0,0.0,0.0,0.0,0.0,0.0,5,6
13:05:2013 ,64198.0,0.0,0.0,20402.0,0.0,0.0,0.0,0,6
14:04:2013 ,49204.0,0.0,1200.0,3597.0,0.0,0.0,0.0,-1,6
14:05:2013 ,43200.0,40200.0,0.0,0.0,0.0,0.0,0.0,1,6
15:04:2013 ,86401.0,1200.0,1199.0,0.0,0.0,0.0,0.0,0,6
15:05:2013 ,87620.0,0.0,0.0,0.0,0.0,0.0,0.0,2,6
16:04:2013 ,153602.0,4800.0,0.0,0.0,0.0,0.0,0.0,1,6
16:05:2013 ,250380.0,2400.0,0.0,0.0,0.0,0.0,4800.0,3,6
17:04:2013 ,8400.0,4802.0,0.0,0.0,0.0,0.0,0.0,2,6
18:04:2013 ,76800.0,6000.0,2400.0,0.0,0.0,0.0,0.0,3,6
18:05:2013 ,1208.0,0.0,0.0,0.0,0.0,0.0,0.0,5,6
19:04:2013 ,85200.0,0.0,0.0,6000.0,0.0,0.0,0.0,4,6
19:05:2013 ,84600.0,0.0,0.0,3000.0,0.0,0.0,0.0,-1,6
20:04:2013 ,74942.0,0.0,2400.0,5999.0,0.0,0.0,0.0,5,6
20:05:2013 ,77402.0,7799.0,0.0,600.0,0.0,0.0,0.0,0,6
21:04:2013 ,97199.0,0.0,0.0,2401.0,0.0,0.0,0.0,-1,6
21:05:2013 ,72633.0,12601.0,0.0,599.0,0.0,0.0,0.0,1,6
22:04:2013 ,72000.0,1200.0,0.0,0.0,0.0,0.0,0.0,0,6
22:05:2013 ,67800.0,13202.0,2998.0,1800.0,0.0,0.0,0.0,2,6
23:04:2013 ,87600.0,1200.0,0.0,0.0,0.0,0.0,0.0,1,6
23:05:2013 ,76800.0,8399.0,0.0,3601.0,0.0,0.0,0.0,3,6
24:04:2013 ,69602.0,8400.0,4798.0,0.0,0.0,0.0,0.0,2,6
24:05:2013 ,94316.0,600.0,0.0,596.0,0.0,0.0,0.0,4,6
25:04:2013 ,82801.0,1200.0,0.0,2400.0,0.0,0.0,0.0,3,6
25:05:2013 ,178873.0,5999.0,0.0,0.0,0.0,0.0,0.0,5,6
26:04:2013 ,77996.0,3602.0,7249.0,0.0,0.0,0.0,0.0,4,6
27:03:2013 ,9599.0,1201.0,0.0,0.0,0.0,0.0,0.0,2,6
27:04:2013 ,15598.0,4802.0,72002.0,0.0,0.0,0.0,0.0,5,6
27:05:2013 ,58810.0,4200.0,0.0,0.0,0.0,0.0,0.0,0,6
28:03:2013 ,66000.0,7201.0,0.0,9599.0,0.0,0.0,0.0,3,6
28:04:2013 ,73200.0,7199.0,0.0,1199.0,0.0,0.0,0.0,-1,6
28:05:2013 ,38399.0,50278.0,0.0,0.0,0.0,0.0,0.0,1,6
29:03:2013 ,85200.0,1200.0,0.0,0.0,0.0,0.0,0.0,4,6
29:04:2013 ,84000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6
29:05:2013 ,42003.0,18000.0,3599.0,1799.0,0.0,0.0,0.0,2,6
30:03:2013 ,232801.0,6000.0,0.0,6000.0,0.0,0.0,0.0,5,6
30:04:2013 ,94801.0,8399.0,0.0,0.0,0.0,0.0,0.0,1,6
