date,home_time,recreational_activities,school_time,orthers,working,travel_time,date_in_week,volunteer
01:04:2013 ,68400.0,10800.0,4800.0,0.0,0.0,0.0,0,8
01:05:2013 ,76798.0,2400.0,6002.0,0.0,0.0,0.0,2,8
02:04:2013 ,72000.0,13200.0,0.0,0.0,0.0,0.0,1,8
02:05:2013 ,80400.0,4858.0,0.0,3542.0,1200.0,0.0,3,8
03:04:2013 ,67200.0,14400.0,6000.0,0.0,0.0,0.0,2,8
03:05:2013 ,73200.0,6002.0,3598.0,0.0,0.0,0.0,4,8
04:04:2013 ,67200.0,13201.0,3600.0,0.0,1199.0,0.0,3,8
04:05:2013 ,103201.0,10799.0,0.0,0.0,0.0,0.0,5,8
05:04:2013 ,329963.0,2533.0,7202.0,11668.0,0.0,1366.0,4,8
05:05:2013 ,138899.0,0.0,2402.0,0.0,2400.0,1505.0,-1,8
07:05:2013 ,88794.0,0.0,0.0,0.0,0.0,1200.0,1,8
08:05:2013 ,358637.0,3599.0,3600.0,0.0,4802.0,0.0,2,8
09:04:2013 ,78000.0,1200.0,0.0,0.0,0.0,0.0,1,8
10:04:2013 ,101999.0,3600.0,7201.0,0.0,0.0,0.0,2,8
11:04:2013 ,62400.0,1200.0,0.0,0.0,0.0,0.0,3,8
12:04:2013 ,72000.0,4800.0,8400.0,0.0,0.0,0.0,4,8
12:05:2013 ,56398.0,0.0,0.0,0.0,0.0,4802.0,-1,8
13:04:2013 ,98398.0,8402.0,0.0,0.0,1200.0,0.0,5,8
13:05:2013 ,68399.0,0.0,0.0,0.0,14402.0,0.0,0,8
14:04:2013 ,84000.0,0.0,1200.0,0.0,0.0,0.0,-1,8
14:05:2013 ,87599.0,2400.0,0.0,0.0,0.0,0.0,1,8
15:04:2013 ,63923.0,2400.0,0.0,0.0,0.0,0.0,0,8
15:05:2013 ,0.0,0.0,6000.0,0.0,0.0,0.0,2,8
16:04:2013 ,79203.0,3600.0,0.0,0.0,0.0,1198.0,1,8
17:04:2013 ,86399.0,1200.0,0.0,0.0,0.0,0.0,2,8
18:04:2013 ,78805.0,5195.0,0.0,0.0,0.0,1200.0,3,8
19:04:2013 ,72000.0,7199.0,8401.0,0.0,0.0,0.0,4,8
20:04:2013 ,177444.0,8515.0,0.0,0.0,0.0,0.0,5,8
22:04:2013 ,69641.0,4800.0,0.0,0.0,0.0,0.0,0,8
23:04:2013 ,87600.0,0.0,0.0,0.0,0.0,0.0,1,8
24:04:2013 ,75600.0,0.0,7200.0,0.0,0.0,0.0,2,8
25:04:2013 ,86400.0,0.0,0.0,0.0,0.0,0.0,3,8
26:04:2013 ,84001.0,3599.0,0.0,0.0,0.0,0.0,4,8
27:03:2013 ,1199.0,5998.0,4801.0,0.0,0.0,0.0,2,8
27:04:2013 ,88800.0,0.0,0.0,0.0,0.0,0.0,5,8
28:03:2013 ,69598.0,12004.0,5999.0,0.0,0.0,0.0,3,8
28:04:2013 ,84000.0,0.0,0.0,0.0,0.0,0.0,-1,8
29:03:2013 ,61200.0,9600.0,14399.0,0.0,0.0,0.0,4,8
29:04:2013 ,82737.0,2400.0,0.0,0.0,0.0,1197.0,0,8
30:03:2013 ,63674.0,3619.0,1199.0,19612.0,0.0,0.0,5,8
30:04:2013 ,85604.0,1190.0,0.0,0.0,0.0,0.0,1,8
31:03:2013 ,69600.0,0.0,0.0,17496.0,0.0,1200.0,-1,8
