date,home_time,school_time,working,orthers,travel_time,recreational_activities,shopping,date_in_week,volunteer
01:04:2013 ,69602.0,5999.0,0.0,0.0,0.0,0.0,0.0,0,13
01:05:2013 ,100801.0,0.0,1199.0,0.0,0.0,0.0,0.0,2,13
01:06:2013 ,30350.0,0.0,0.0,6002.0,0.0,0.0,0.0,5,13
02:04:2013 ,78000.0,4802.0,0.0,0.0,3598.0,0.0,0.0,1,13
02:05:2013 ,70800.0,0.0,0.0,0.0,0.0,0.0,0.0,3,13
03:04:2013 ,24000.0,26400.0,0.0,0.0,37200.0,0.0,0.0,2,13
03:05:2013 ,65998.0,20402.0,0.0,0.0,0.0,0.0,0.0,4,13
04:04:2013 ,69584.0,14416.0,0.0,1200.0,0.0,0.0,0.0,3,13
04:05:2013 ,96431.0,0.0,0.0,0.0,0.0,0.0,0.0,5,13
05:04:2013 ,50400.0,22800.0,0.0,13200.0,0.0,0.0,0.0,4,13
05:05:2013 ,88203.0,0.0,0.0,1201.0,1197.0,0.0,0.0,-1,13
06:04:2013 ,16800.0,19208.0,0.0,10800.0,44392.0,0.0,0.0,5,13
06:05:2013 ,62401.0,10799.0,0.0,0.0,0.0,0.0,0.0,0,13
07:04:2013 ,60222.0,0.0,0.0,4800.0,16797.0,0.0,0.0,-1,13
07:05:2013 ,87604.0,3600.0,0.0,2396.0,0.0,0.0,0.0,1,13
08:04:2013 ,7218.0,0.0,0.0,26988.0,3600.0,48268.0,0.0,0,13
08:05:2013 ,72605.0,3600.0,0.0,600.0,1795.0,0.0,0.0,2,13
09:04:2013 ,7308.0,0.0,0.0,0.0,78845.0,0.0,0.0,1,13
09:05:2013 ,82202.0,601.0,0.0,1199.0,1198.0,9600.0,0.0,3,13
10:04:2013 ,64801.0,12001.0,0.0,0.0,10799.0,0.0,0.0,2,13
10:05:2013 ,67833.0,4200.0,0.0,0.0,3004.0,1200.0,1763.0,4,13
11:04:2013 ,67202.0,5930.0,0.0,0.0,0.0,0.0,12067.0,3,13
11:05:2013 ,67802.0,18640.0,0.0,0.0,0.0,0.0,0.0,5,13
12:04:2013 ,68769.0,16433.0,0.0,0.0,1198.0,1200.0,0.0,4,13
12:05:2013 ,81008.0,0.0,1200.0,0.0,2392.0,3602.0,0.0,-1,13
13:04:2013 ,67200.0,17864.0,0.0,1197.0,0.0,0.0,0.0,5,13
13:05:2013 ,57603.0,17998.0,600.0,0.0,8397.0,0.0,0.0,0,13
14:04:2013 ,130800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,13
14:05:2013 ,86400.0,600.0,0.0,0.0,0.0,600.0,0.0,1,13
15:04:2013 ,37200.0,3534.0,0.0,0.0,1200.0,0.0,0.0,0,13
15:05:2013 ,21000.0,64800.0,0.0,0.0,0.0,600.0,0.0,2,13
16:04:2013 ,84000.0,1266.0,0.0,0.0,0.0,0.0,0.0,1,13
16:05:2013 ,81600.0,0.0,0.0,0.0,0.0,5400.0,0.0,3,13
17:04:2013 ,68400.0,19200.0,0.0,0.0,0.0,0.0,0.0,2,13
17:05:2013 ,76801.0,6602.0,0.0,0.0,597.0,600.0,0.0,4,13
18:04:2013 ,78000.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3,13
18:05:2013 ,90002.0,0.0,0.0,598.0,0.0,0.0,0.0,5,13
19:04:2013 ,74199.0,13200.0,0.0,0.0,0.0,0.0,0.0,4,13
19:05:2013 ,87599.0,0.0,0.0,1200.0,0.0,0.0,1201.0,-1,13
20:04:2013 ,123801.0,0.0,0.0,0.0,0.0,0.0,0.0,5,13
20:05:2013 ,29032.0,0.0,0.0,0.0,0.0,50401.0,0.0,0,13
21:04:2013 ,84000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,13
21:05:2013 ,79806.0,0.0,0.0,1794.0,0.0,3000.0,0.0,1,13
22:04:2013 ,48000.0,3600.0,0.0,0.0,0.0,0.0,0.0,0,13
22:05:2013 ,60604.0,6000.0,0.0,17996.0,1799.0,1201.0,0.0,2,13
23:04:2013 ,81600.0,3600.0,0.0,0.0,0.0,0.0,0.0,1,13
23:05:2013 ,20400.0,0.0,0.0,0.0,2400.0,64800.0,0.0,3,13
24:04:2013 ,80623.0,9377.0,0.0,0.0,0.0,0.0,0.0,2,13
24:05:2013 ,11999.0,68400.0,0.0,0.0,0.0,6001.0,0.0,4,13
25:04:2013 ,72043.0,5961.0,0.0,0.0,1197.0,3599.0,0.0,3,13
25:05:2013 ,56447.0,0.0,0.0,19797.0,0.0,11400.0,0.0,5,13
26:04:2013 ,74403.0,12000.0,0.0,0.0,0.0,1200.0,0.0,4,13
26:05:2013 ,69600.0,4799.0,0.0,0.0,0.0,1800.0,8402.0,-1,13
27:03:2013 ,40797.0,6003.0,0.0,0.0,0.0,0.0,0.0,2,13
27:04:2013 ,77296.0,14392.0,0.0,0.0,9596.0,0.0,0.0,5,13
27:05:2013 ,76026.0,1202.0,0.0,0.0,0.0,37800.0,0.0,0,13
28:03:2013 ,78000.0,8402.0,0.0,0.0,0.0,0.0,0.0,3,13
28:04:2013 ,116403.0,0.0,0.0,3597.0,0.0,0.0,0.0,-1,13
28:05:2013 ,56402.0,0.0,0.0,0.0,1197.0,601.0,0.0,1,13
29:03:2013 ,13201.0,13199.0,0.0,0.0,0.0,59999.0,0.0,4,13
29:04:2013 ,34800.0,3600.0,0.0,0.0,0.0,0.0,0.0,0,13
29:05:2013 ,53996.0,18603.0,0.0,5401.0,0.0,7200.0,0.0,2,13
30:03:2013 ,60000.0,4800.0,0.0,0.0,37200.0,0.0,1200.0,5,13
30:04:2013 ,84000.0,1200.0,0.0,0.0,0.0,0.0,0.0,1,13
30:05:2013 ,82476.0,0.0,0.0,9600.0,2400.0,600.0,0.0,3,13
31:03:2013 ,78000.0,0.0,0.0,2400.0,0.0,0.0,0.0,-1,13
31:05:2013 ,69000.0,0.0,0.0,9600.0,600.0,0.0,0.0,4,13
