date,travel_time,home_time,school_time,recreational_activities,orthers,shopping,working,date_in_week,volunteer,location_names
01:04:2013,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14,North Main Street
01:05:2013,38997.0,600.0,8405.0,0.0,0.0,0.0,0.0,2,14,"Sudikoff Hall,Anonymous Hall,Vail Dartmouth Medical School,North Main Street,North Main Street,North Main Street,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
02:04:2013,55446.0,0.0,60000.0,0.0,0.0,0.0,0.0,1,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street"
02:05:2013,0.0,0.0,240853.0,0.0,0.0,0.0,0.0,3,14,"Sudikoff Hall,Sudikoff Hall"
03:04:2013,37199.0,0.0,29755.0,0.0,0.0,0.0,0.0,2,14,"Guarini Institute for International Education,North Main Street"
04:04:2013,3600.0,0.0,58800.0,0.0,0.0,0.0,0.0,3,14,"Sudikoff Hall,North Main Street,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,0.0,0.0,59817.0,0.0,0.0,0.0,0.0,5,14,Sudikoff Hall
05:04:2013,34800.0,0.0,74400.0,0.0,0.0,0.0,0.0,4,14,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,North Main Street"
05:05:2013,56408.0,22679.0,0.0,0.0,0.0,0.0,0.0,-1,14,"0,North Main Street"
06:04:2013,73200.0,0.0,4800.0,0.0,0.0,0.0,0.0,5,14,"Sudikoff Hall,0"
06:05:2013,41769.0,12300.0,1800.0,0.0,0.0,0.0,0.0,0,14,"Sudikoff Hall,North Main Street,North Main Street,North Main Street,Life Sciences Greenhouse,0"
07:04:2013,26400.0,0.0,45600.0,0.0,0.0,0.0,0.0,-1,14,"North Main Street,Sudikoff Hall"
07:05:2013,0.0,2100.0,326629.0,0.0,0.0,0.0,0.0,1,14,"0,0,0,Sudikoff Hall,Sudikoff Hall"
08:04:2013,36000.0,0.0,123600.0,0.0,0.0,0.0,0.0,0,14,"North Main Street,Sudikoff Hall"
09:04:2013,12001.0,0.0,0.0,0.0,0.0,0.0,0.0,1,14,North Main Street
10:04:2013,7200.0,37200.0,56321.0,0.0,0.0,0.0,0.0,2,14,"Sudikoff Hall,Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,0,North Main Street,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
