date,home_time,orthers,recreational_activities,school_time,working,travel_time,date_in_week,volunteer,location_names
01:04:2013,1200.0,30001.0,7201.0,46798.0,0.0,0.0,0,15,"Wheeler Hall,Wilder Hall,Thel,Wilder Hall,Wilder Hall,Thel,Sherman House,Sherman House,Thel,Thel,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Anonymous Hall,Berry Library,Berry Library"
01:05:2013,32398.0,0.0,8400.0,26396.0,21606.0,0.0,2,15,"Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Moore Psychology Building,Winfred-Raven House,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Collis Student Center,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hood Museum of Art,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Wheeler Hall,Sudikoff Hall"
02:04:2013,7200.0,49198.0,1200.0,19200.0,9602.0,0.0,1,15,"Berry Library,Sudikoff Hall,Collis Student Center,Collis Student Center,Sigma Alpha Epsilon Fraternity,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Rollins Chapel,Wheeler Hall,Thel,Robinson Hall,Thel,Thel,Sigma Alpha Epsilon Fraternity,Thel,Thel,Sudikoff Hall,Sudikoff Hall"
02:05:2013,48000.0,1200.0,16800.0,10800.0,8400.0,0.0,3,15,"Sudikoff Hall,Berry Library,Berry Library,Winfred-Raven House,Winfred-Raven House,Wheeler Hall,Wheeler Hall,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Thel,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,Wheeler Hall"
03:04:2013,8400.0,26400.0,20400.0,14400.0,16800.0,0.0,2,15,"Berry Library,Berry Library,Winfred-Raven House,Winfred-Raven House,Berry Library,Berry Library,Sherman House,Sherman House,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Thel,Thel,Berry Library,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Thel,Dartmouth College"
03:05:2013,36004.0,0.0,13200.0,40800.0,10800.0,1196.0,4,15,"Wheeler Hall,Winfred-Raven House,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Collis Student Center,Sudikoff Hall"
04:04:2013,12000.0,34800.0,10800.0,8401.0,21600.0,0.0,3,15,"Dartmouth College,Dartmouth College,Sigma Alpha Epsilon Fraternity,Winfred-Raven House,Winfred-Raven House,Thel,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Hopkins Center for the Arts,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Thel,Wheeler Hall,Berry Library,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,11823.0,2400.0,0.0,2671.0,53906.0,0.0,5,15,"Sudikoff Hall,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Sigma Nu Delta Beta,Collis Student Center,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Rollins Chapel,Rollins Chapel,Wheeler Hall,Wheeler Hall,Wheeler Hall"
05:04:2013,22800.0,31200.0,9599.0,16800.0,9600.0,4800.0,4,15,"Black Family Visual Arts Center,Hood Museum of Art,Winfred-Raven House,Sudikoff Hall,Anonymous Hall,0,0,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Wheeler Hall,Thel,Rollins Chapel,Thel,Sigma Alpha Epsilon Fraternity,0,Wheeler Hall,Thel,Wheeler Hall,Berry Library,Berry Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College"
05:05:2013,49200.0,9600.0,10800.0,18000.0,13200.0,0.0,-1,15,"Wheeler Hall,Wheeler Hall,Wheeler Hall,Rollins Chapel,Rollins Chapel,Wheeler Hall,Rollins Chapel,Thel,Wheeler Hall,Rollins Chapel,Wheeler Hall,Wheeler Hall,Thel,Rollins Chapel,Rollins Chapel,Hood Museum of Art,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Wheeler Hall,Wheeler Hall,Berry Library,Berry Library,Sudikoff Hall"
06:04:2013,9600.0,30001.0,10799.0,0.0,27600.0,1200.0,5,15,"Dartmouth College,Berry Library,Dartmouth College,Dartmouth College,Wheeler Hall,Wheeler Hall,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Blunt Alumni Center Parking Lot,Sigma Alpha Epsilon Fraternity,Dartmouth College,Dartmouth College,Thel,Thel,Berry Library"
