date,home_time,orthers,school_time,travel_time,shopping,recreational_activities,date_in_week,volunteer
01:04:2013 ,19200.0,42000.0,3600.0,4800.0,0.0,0.0,0,16
01:05:2013 ,1200.0,0.0,428428.0,0.0,0.0,0.0,2,16
02:04:2013 ,113831.0,0.0,0.0,0.0,0.0,0.0,1,16
03:04:2013 ,49201.0,0.0,3600.0,4800.0,0.0,0.0,2,16
04:04:2013 ,102352.0,0.0,0.0,0.0,8875.0,0.0,3,16
05:04:2013 ,49200.0,0.0,210545.0,0.0,0.0,0.0,4,16
05:05:2013 ,9604.0,0.0,0.0,0.0,0.0,0.0,-1,16
06:05:2013 ,68401.0,0.0,2401.0,3601.0,0.0,3599.0,0,16
07:05:2013 ,115032.0,0.0,0.0,0.0,0.0,0.0,1,16
08:04:2013 ,50400.0,0.0,3600.0,6000.0,0.0,0.0,0,16
08:05:2013 ,71453.0,0.0,0.0,0.0,0.0,0.0,2,16
09:04:2013 ,80401.0,0.0,0.0,3601.0,0.0,2399.0,1,16
09:05:2013 ,7201.0,0.0,0.0,141750.0,0.0,0.0,3,16
10:04:2013 ,67199.0,0.0,2400.0,6000.0,0.0,10800.0,2,16
10:05:2013 ,9598.0,0.0,0.0,1200.0,0.0,0.0,4,16
11:04:2013 ,161055.0,0.0,0.0,0.0,0.0,0.0,3,16
11:05:2013 ,242532.0,0.0,0.0,0.0,0.0,0.0,5,16
12:04:2013 ,0.0,0.0,4804.0,99183.0,0.0,0.0,4,16
13:05:2013 ,18001.0,0.0,0.0,4799.0,0.0,0.0,0,16
14:04:2013 ,73200.0,0.0,0.0,2399.0,0.0,4800.0,-1,16
14:05:2013 ,76801.0,0.0,1200.0,1200.0,0.0,1199.0,1,16
15:04:2013 ,67197.0,0.0,3600.0,13200.0,0.0,2403.0,0,16
15:05:2013 ,72005.0,0.0,1201.0,0.0,0.0,13197.0,2,16
16:04:2013 ,70803.0,0.0,1197.0,14401.0,0.0,0.0,1,16
16:05:2013 ,869067.0,0.0,0.0,0.0,0.0,2400.0,3,16
17:04:2013 ,67592.0,0.0,3604.0,4805.0,0.0,9593.0,2,16
18:04:2013 ,83597.0,0.0,3605.0,0.0,0.0,0.0,3,16
19:04:2013 ,71923.0,0.0,4798.0,4799.0,0.0,4801.0,4,16
20:04:2013 ,196074.0,0.0,0.0,0.0,0.0,0.0,5,16
22:04:2013 ,56404.0,0.0,4800.0,3600.0,0.0,0.0,0,16
23:04:2013 ,79201.0,0.0,1200.0,4799.0,0.0,0.0,1,16
24:04:2013 ,163388.0,0.0,4800.0,0.0,0.0,0.0,2,16
25:04:2013 ,0.0,0.0,3601.0,0.0,0.0,0.0,3,16
26:04:2013 ,259016.0,0.0,1199.0,0.0,0.0,4799.0,4,16
26:05:2013 ,93096.0,0.0,0.0,0.0,0.0,3608.0,-1,16
27:03:2013 ,13361.0,0.0,31195.0,3605.0,0.0,0.0,2,16
27:05:2013 ,82068.0,0.0,0.0,0.0,0.0,0.0,0,16
28:03:2013 ,107489.0,0.0,0.0,0.0,0.0,0.0,3,16
28:05:2013 ,75600.0,0.0,0.0,0.0,0.0,0.0,1,16
29:03:2013 ,57600.0,0.0,1199.0,6001.0,0.0,0.0,4,16
29:04:2013 ,74399.0,0.0,3600.0,4800.0,0.0,0.0,0,16
29:05:2013 ,23962.0,0.0,0.0,0.0,0.0,64543.0,2,16
30:03:2013 ,192000.0,0.0,0.0,0.0,0.0,0.0,5,16
30:04:2013 ,60003.0,0.0,1196.0,19201.0,0.0,4800.0,1,16
30:05:2013 ,23494.0,0.0,0.0,0.0,0.0,0.0,3,16
