date,home_time,orthers,recreational_activities,school_time,travel_time,working,date_in_week,volunteer
01:04:2013 ,78002.0,3598.0,4799.0,4801.0,1200.0,0.0,0,17
01:05:2013 ,66707.0,0.0,0.0,1200.0,0.0,0.0,2,17
02:04:2013 ,81600.0,0.0,0.0,1200.0,0.0,0.0,1,17
02:05:2013 ,92768.0,0.0,1199.0,2400.0,0.0,0.0,3,17
03:04:2013 ,72000.0,6000.0,0.0,6000.0,0.0,0.0,2,17
03:05:2013 ,66001.0,1201.0,3598.0,1200.0,0.0,0.0,4,17
04:04:2013 ,82800.0,0.0,0.0,3600.0,0.0,0.0,3,17
04:05:2013 ,154140.0,3600.0,0.0,2401.0,4798.0,0.0,5,17
05:04:2013 ,88253.0,0.0,0.0,6000.0,5999.0,0.0,4,17
05:05:2013 ,19200.0,0.0,0.0,0.0,600.0,0.0,-1,17
06:04:2013 ,76800.0,0.0,0.0,0.0,0.0,0.0,5,17
06:05:2013 ,79203.0,0.0,0.0,1797.0,600.0,0.0,0,17
07:04:2013 ,92400.0,0.0,0.0,1200.0,0.0,0.0,-1,17
07:05:2013 ,66000.0,0.0,0.0,3600.0,9600.0,0.0,1,17
08:04:2013 ,70798.0,0.0,2400.0,4803.0,1200.0,1199.0,0,17
08:05:2013 ,43801.0,0.0,3600.0,3000.0,43199.0,4800.0,2,17
09:04:2013 ,80799.0,0.0,0.0,2400.0,0.0,0.0,1,17
09:05:2013 ,78600.0,0.0,0.0,0.0,1800.0,0.0,3,17
10:04:2013 ,66000.0,0.0,0.0,18000.0,0.0,0.0,2,17
10:05:2013 ,75000.0,0.0,2999.0,0.0,4201.0,0.0,4,17
11:04:2013 ,86797.0,0.0,0.0,0.0,0.0,0.0,3,17
11:05:2013 ,66602.0,4802.0,2397.0,0.0,4798.0,4201.0,5,17
12:04:2013 ,94800.0,0.0,0.0,0.0,4800.0,1200.0,4,17
12:05:2013 ,66526.0,1800.0,3000.0,0.0,4200.0,16200.0,-1,17
13:04:2013 ,87600.0,0.0,0.0,0.0,0.0,0.0,5,17
13:05:2013 ,81602.0,0.0,598.0,0.0,0.0,0.0,0,17
14:04:2013 ,144000.0,0.0,0.0,0.0,0.0,0.0,-1,17
14:05:2013 ,114001.0,0.0,0.0,1199.0,0.0,0.0,1,17
15:04:2013 ,25200.0,0.0,0.0,3600.0,0.0,0.0,0,17
15:05:2013 ,55800.0,0.0,3600.0,600.0,0.0,4800.0,2,17
16:04:2013 ,73201.0,0.0,0.0,0.0,0.0,0.0,1,17
16:05:2013 ,102796.0,0.0,0.0,0.0,0.0,2400.0,3,17
17:04:2013 ,93238.0,1200.0,2761.0,4800.0,2400.0,0.0,2,17
17:05:2013 ,67349.0,0.0,1199.0,0.0,0.0,0.0,4,17
18:04:2013 ,63600.0,0.0,0.0,2400.0,0.0,0.0,3,17
18:05:2013 ,90078.0,0.0,0.0,0.0,0.0,0.0,5,17
19:04:2013 ,91200.0,2400.0,0.0,3600.0,2400.0,0.0,4,17
19:05:2013 ,75000.0,0.0,0.0,0.0,0.0,0.0,-1,17
20:04:2013 ,93600.0,2401.0,1199.0,0.0,49200.0,0.0,5,17
20:05:2013 ,89817.0,0.0,1199.0,0.0,0.0,0.0,0,17
21:04:2013 ,33600.0,0.0,0.0,0.0,0.0,0.0,-1,17
21:05:2013 ,99601.0,0.0,599.0,0.0,0.0,0.0,1,17
22:04:2013 ,57598.0,0.0,0.0,0.0,14402.0,0.0,0,17
22:05:2013 ,66001.0,600.0,2999.0,0.0,0.0,0.0,2,17
23:04:2013 ,169497.0,0.0,0.0,0.0,0.0,0.0,1,17
23:05:2013 ,96599.0,0.0,1201.0,2400.0,0.0,0.0,3,17
24:05:2013 ,76088.0,0.0,0.0,599.0,0.0,8401.0,4,17
25:04:2013 ,100553.0,0.0,0.0,0.0,1200.0,0.0,3,17
25:05:2013 ,79952.0,0.0,3000.0,1760.0,0.0,0.0,5,17
26:04:2013 ,56399.0,0.0,0.0,6000.0,22800.0,0.0,4,17
26:05:2013 ,64200.0,0.0,0.0,7800.0,0.0,0.0,-1,17
27:03:2013 ,46801.0,0.0,0.0,7199.0,0.0,0.0,2,17
27:04:2013 ,81486.0,0.0,0.0,0.0,1200.0,0.0,5,17
27:05:2013 ,88714.0,0.0,600.0,0.0,0.0,0.0,0,17
28:03:2013 ,75601.0,0.0,0.0,3600.0,0.0,0.0,3,17
28:04:2013 ,84018.0,0.0,0.0,0.0,3696.0,0.0,-1,17
28:05:2013 ,76886.0,0.0,0.0,2400.0,0.0,5400.0,1,17
29:03:2013 ,68403.0,0.0,0.0,7199.0,0.0,10799.0,4,17
29:04:2013 ,70769.0,0.0,0.0,1201.0,1200.0,0.0,0,17
29:05:2013 ,25200.0,0.0,2993.0,600.0,0.0,0.0,2,17
30:03:2013 ,85200.0,0.0,0.0,1199.0,0.0,0.0,5,17
30:04:2013 ,110108.0,0.0,0.0,0.0,0.0,0.0,1,17
31:03:2013 ,85204.0,0.0,0.0,1196.0,0.0,0.0,-1,17
