date,home_time,recreational_activities,school_time,travel_time,date_in_week,volunteer
01:04:2013 ,4800.0,1200.0,13200.0,0.0,0,18
01:05:2013 ,16792.0,0.0,55115.0,0.0,2,18
02:04:2013 ,43200.0,0.0,51600.0,1200.0,1,18
02:05:2013 ,79253.0,0.0,1240.0,0.0,3,18
03:04:2013 ,14399.0,2400.0,54001.0,0.0,2,18
03:05:2013 ,15565.0,3647.0,68388.0,0.0,4,18
04:04:2013 ,79200.0,0.0,7200.0,0.0,3,18
04:05:2013 ,0.0,1101.0,178473.0,0.0,5,18
05:04:2013 ,56400.0,0.0,30000.0,0.0,4,18
06:04:2013 ,9601.0,0.0,74401.0,4799.0,5,18
06:05:2013 ,71999.0,5481.0,1121.0,0.0,0,18
07:04:2013 ,44399.0,0.0,57600.0,0.0,-1,18
07:05:2013 ,75601.0,1198.0,25200.0,1200.0,1,18
08:04:2013 ,8400.0,0.0,68400.0,0.0,0,18
08:05:2013 ,22200.0,1200.0,46800.0,4800.0,2,18
09:04:2013 ,1200.0,0.0,150000.0,0.0,1,18
09:05:2013 ,105166.0,5400.0,45605.0,0.0,3,18
10:04:2013 ,10800.0,0.0,4800.0,0.0,2,18
10:05:2013 ,50886.0,0.0,0.0,0.0,4,18
11:04:2013 ,10801.0,0.0,73200.0,0.0,3,18
11:05:2013 ,32403.0,0.0,38400.0,0.0,5,18
12:04:2013 ,68399.0,0.0,16800.0,1200.0,4,18
12:05:2013 ,28800.0,1204.0,52796.0,0.0,-1,18
13:04:2013 ,2400.0,0.0,174001.0,0.0,5,18
13:05:2013 ,61800.0,1800.0,8400.0,0.0,0,18
14:05:2013 ,12600.0,0.0,78600.0,0.0,1,18
15:04:2013 ,22871.0,2398.0,60000.0,0.0,0,18
15:05:2013 ,12600.0,0.0,64200.0,0.0,2,18
16:04:2013 ,15599.0,1200.0,84001.0,0.0,1,18
16:05:2013 ,164400.0,0.0,0.0,0.0,3,18
17:04:2013 ,20400.0,0.0,49201.0,0.0,2,18
17:05:2013 ,1800.0,0.0,9600.0,0.0,4,18
18:04:2013 ,82799.0,0.0,2400.0,1200.0,3,18
18:05:2013 ,32997.0,0.0,213603.0,0.0,5,18
19:04:2013 ,55202.0,14398.0,16800.0,0.0,4,18
20:04:2013 ,73856.0,0.0,14400.0,0.0,5,18
20:05:2013 ,5399.0,0.0,9601.0,0.0,0,18
21:04:2013 ,86400.0,0.0,3600.0,0.0,-1,18
21:05:2013 ,98396.0,2400.0,54000.0,0.0,1,18
22:04:2013 ,15707.0,13094.0,57599.0,0.0,0,18
22:05:2013 ,18600.0,0.0,600.0,0.0,2,18
23:04:2013 ,24277.0,0.0,63600.0,0.0,1,18
23:05:2013 ,12599.0,3597.0,66004.0,0.0,3,18
24:04:2013 ,27162.0,0.0,52038.0,0.0,2,18
24:05:2013 ,34691.0,0.0,59513.0,0.0,4,18
25:04:2013 ,18001.0,0.0,68399.0,0.0,3,18
25:05:2013 ,64799.0,5400.0,9001.0,0.0,5,18
26:04:2013 ,62804.0,1200.0,21597.0,3199.0,4,18
26:05:2013 ,20584.0,0.0,601.0,217800.0,-1,18
27:03:2013 ,4800.0,3599.0,39601.0,0.0,2,18
27:04:2013 ,81601.0,0.0,2399.0,0.0,5,18
28:03:2013 ,14398.0,15600.0,56403.0,0.0,3,18
28:04:2013 ,4802.0,1123.0,158475.0,0.0,-1,18
28:05:2013 ,18599.0,0.0,601.0,0.0,1,18
29:03:2013 ,15600.0,0.0,69601.0,0.0,4,18
29:04:2013 ,9600.0,0.0,1200.0,0.0,0,18
29:05:2013 ,10799.0,0.0,72001.0,0.0,2,18
30:03:2013 ,163198.0,8399.0,74401.0,0.0,5,18
30:04:2013 ,2400.0,0.0,102000.0,0.0,1,18
30:05:2013 ,12000.0,0.0,0.0,0.0,3,18
