date,home_time,school_time,orthers,travel_time,recreational_activities,working,date_in_week,volunteer,location_names
01:04:2013,73200.0,13200.0,0.0,0.0,0.0,0.0,0,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sherman House,Dartmouth College"
02:04:2013,61201.0,9599.0,0.0,0.0,0.0,0.0,1,19,"Dartmouth College,Moore Psychology Building,Winfred-Raven House,Winfred-Raven House,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College"
02:05:2013,12003.0,3600.0,0.0,0.0,0.0,0.0,3,19,"Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Life Sciences Greenhouse"
03:04:2013,68509.0,17891.0,1200.0,0.0,0.0,0.0,2,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,0,Rollins Chapel,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons"
03:05:2013,69598.0,13201.0,0.0,3599.0,0.0,0.0,4,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Wentworth Hall,Reed Hall,Reed Hall,0,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall"
04:04:2013,140402.0,12000.0,0.0,0.0,3599.0,0.0,3,19,"Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
04:05:2013,86399.0,0.0,0.0,0.0,0.0,0.0,5,19,"Dartmouth College,Dartmouth College,Dartmouth College"
05:04:2013,1199.0,14401.0,0.0,0.0,0.0,0.0,4,19,"Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
05:05:2013,142801.0,15599.0,0.0,0.0,0.0,0.0,-1,19,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
06:04:2013,233089.0,5999.0,0.0,0.0,1200.0,0.0,5,19,"Berry Library,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
06:05:2013,100799.0,2401.0,0.0,0.0,0.0,0.0,0,19,"Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College"
08:04:2013,22800.0,12000.0,0.0,0.0,0.0,0.0,0,19,"Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College"
08:05:2013,14399.0,69617.0,0.0,0.0,0.0,0.0,2,19,"Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall"
09:04:2013,78000.0,0.0,0.0,0.0,7200.0,0.0,1,19,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College"
09:05:2013,0.0,532875.0,0.0,0.0,0.0,0.0,3,19,"Collis Student Center,Collis Student Center"
10:04:2013,36000.0,30000.0,0.0,0.0,6000.0,0.0,2,19,"Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Class of 1978 Life Sciences Center,Remsen Medical Sciences Building,Sudikoff Hall,Sudikoff Hall,Hopkins Center for the Arts"
11:04:2013,75605.0,7197.0,0.0,1199.0,2403.0,0.0,3,19,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,McKenzie Shops,Topliff Hall,Topliff Hall,Topliff Hall,0,Dartmouth College,Dartmouth College,Reed Hall,Class of 1953 Commons,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse"
12:04:2013,147598.0,21599.0,2399.0,0.0,1200.0,0.0,4,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Thornton Hall,0,Alumni Gymnasium,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College"
14:04:2013,104401.0,7199.0,0.0,0.0,0.0,0.0,-1,19,"Dartmouth College,Class of 1953 Commons,Sarner Underground,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
15:04:2013,75601.0,10799.0,0.0,0.0,0.0,0.0,0,19,"Dartmouth College,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
15:05:2013,60002.0,13199.0,0.0,0.0,0.0,0.0,2,19,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
16:04:2013,51600.0,12000.0,0.0,0.0,0.0,0.0,1,19,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College"
16:05:2013,84001.0,3599.0,0.0,0.0,0.0,0.0,3,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College"
17:04:2013,67203.0,17998.0,0.0,0.0,0.0,0.0,2,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
17:05:2013,161997.0,2400.0,0.0,0.0,2403.0,0.0,4,19,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
18:04:2013,58800.0,22799.0,0.0,2400.0,1200.0,0.0,3,19,"Dartmouth College,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Collis Student Center,Hanover Inn Dartmouth,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Reed Hall,Reed Hall,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse"
18:05:2013,2400.0,1201.0,0.0,0.0,0.0,0.0,5,19,"Dartmouth College,Class of 1953 Commons"
19:04:2013,96000.0,3600.0,0.0,0.0,6000.0,0.0,4,19,"Dartmouth College,Dartmouth College,Dartmouth College,Reed Hall,Berry Sports Center,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College"
19:05:2013,87600.0,1199.0,0.0,0.0,0.0,0.0,-1,19,"Class of 1953 Commons,Dartmouth College"
20:04:2013,54000.0,24000.0,0.0,0.0,0.0,0.0,5,19,"Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Sarner Underground,Class of 1953 Commons,Carson Hall,Sudikoff Hall"
20:05:2013,1199.0,82989.0,0.0,0.0,0.0,0.0,0,19,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons"
21:04:2013,63599.0,13201.0,0.0,0.0,0.0,0.0,-1,19,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
21:05:2013,248399.0,0.0,0.0,0.0,0.0,0.0,1,19,"Dartmouth College,Dartmouth College"
22:04:2013,74398.0,28802.0,0.0,0.0,0.0,0.0,0,19,"Native American House,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Chinese Language House"
23:04:2013,12000.0,56400.0,0.0,0.0,0.0,0.0,1,19,"Dartmouth College,Winfred-Raven House,Sudikoff Hall,Sudikoff Hall,Reed Hall,Reed Hall,Dartmouth College"
23:05:2013,8400.0,4800.0,0.0,0.0,0.0,0.0,3,19,"Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College"
