date,home_time,recreational_activities,school_time,travel_time,shopping,orthers,working,date_in_week,volunteer,location_names
01:04:2013,8400.0,2400.0,9600.0,1200.0,0.0,0.0,0.0,0,1,"0,Sudikoff Hall,Sudikoff Hall,Dana Circle Parking Lot,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Baker Memorial Library"
01:05:2013,15601.0,0.0,63599.0,0.0,1201.0,0.0,0.0,2,1,"King Arthur Baking Company,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,0,0,0,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Sudikoff Hall"
01:06:2013,24596.0,0.0,0.0,0.0,607.0,3000.0,0.0,5,1,"0,0,Farm-Way Inc.,0,0,0,Kendal at Hanover"
02:04:2013,34803.0,37198.0,16799.0,0.0,0.0,0.0,0.0,1,1,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Winfred-Raven House,Winfred-Raven House,Sudikoff Hall,Alumni Gymnasium,0"
02:05:2013,2400.0,0.0,105586.0,0.0,0.0,0.0,0.0,3,1,"Sudikoff Hall,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
03:04:2013,12009.0,0.0,8400.0,7200.0,3600.0,51591.0,0.0,2,1,"King Arthur Baking Company,Commercial Drive,White River Junction Historic District,0,Sudikoff Hall,Sudikoff Hall,0,Class of 1978 Life Sciences Center,Guarini Institute for International Education,South Block Parking Garage,South Block Parking Garage,South Block Parking Garage,Dartmouth College"
03:05:2013,0.0,2400.0,0.0,102000.0,0.0,0.0,0.0,4,1,"Midland Road,St Pancras Renaissance London Hotel,Midland Road,St Pancras Renaissance London Hotel,Midland Road,St Pancras International Station,St Pancras International Station,St Pancras International Station"
04:04:2013,24000.0,49200.0,12000.0,1200.0,0.0,0.0,0.0,3,1,"Dartmouth College,Dartmouth College,Byrne II Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,0,Hopkins Center for the Arts,0,Dartmouth College,Baker Memorial Library,Vail Dartmouth Medical School,Class of 1978 Life Sciences Center"
04:05:2013,0.0,0.0,0.0,51906.0,0.0,0.0,0.0,5,1,"Midland Road,St Pancras International Station"
05:04:2013,5999.0,4800.0,66002.0,8400.0,0.0,1199.0,0.0,4,1,"Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth College,South Block Parking Garage,South Block Parking Garage,South Block Parking Garage,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Baker Memorial Library,Dartmouth College,Baker Memorial Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Sudikoff Hall,Dartmouth Co-Op,South Block Parking Garage"
05:05:2013,10796.0,79200.0,0.0,2400.0,0.0,0.0,0.0,-1,1,"0,0,Place du Lieutenant Henri Karcher,Issé Izakaya,Musée d'Orsay,0"
06:04:2013,58800.0,0.0,12000.0,1200.0,0.0,19200.0,0.0,5,1,"South Block Parking Garage,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,0,0,0,0,0,0,0"
06:05:2013,71961.0,0.0,0.0,0.0,0.0,170601.0,0.0,0,1,"0,0,Aéroport de Paris-Charles-de-Gaulle"
07:04:2013,9750.0,88010.0,0.0,4650.0,0.0,0.0,0.0,-1,1,"0,0,0,0,Berry Sports Center"
08:04:2013,49200.0,0.0,13200.0,3600.0,0.0,0.0,0.0,0,1,"0,0,0,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,South Block Parking Garage"
08:05:2013,0.0,0.0,0.0,0.0,0.0,78770.0,0.0,2,1,Heathrow Terminal 5
09:04:2013,64800.0,1200.0,19200.0,1200.0,0.0,0.0,0.0,1,1,"South Block Parking Garage,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,0,0,0,0,0,Wheeler Hall,Baker Memorial Library,Dartmouth College"
09:05:2013,8400.0,0.0,3602.0,0.0,0.0,0.0,0.0,3,1,"0,Sudikoff Hall,Sudikoff Hall"
10:04:2013,10800.0,4801.0,65999.0,73201.0,0.0,1200.0,0.0,2,1,"0,Baker Memorial Library,Baker Memorial Library,Parker House,Sudikoff Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Native American House,Moore Psychology Building,Sudikoff Hall,0,Dartmouth College,Baker Memorial Library,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Sudikoff Hall,Irving,South Block Parking Garage,South Block Parking Garage"
10:05:2013,9598.0,2397.0,68403.0,4800.0,0.0,1201.0,0.0,4,1,"Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Sudikoff Hall,South Block Parking Garage,South Block Parking Garage,Steele Hall,Steele Hall,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Guarini Institute for International Education,Black Family Visual Arts Center,0,0,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
