date,home_time,recreational_activities,school_time,travel_time,orthers,working,date_in_week,volunteer,location_names
01:04:2013,90001.0,2399.0,0.0,0.0,0.0,0.0,0,23,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Lord Hall,Lord Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
01:06:2013,18000.0,0.0,0.0,0.0,0.0,0.0,5,23,"North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall,North Massachusetts Hall,Dartmouth College,Dartmouth College,North Massachusetts Hall"
02:04:2013,76804.0,2396.0,1200.0,0.0,0.0,0.0,1,23,"Dartmouth College,Baker Memorial Library,Baker Memorial Library,North Massachusetts Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
03:04:2013,66003.0,5999.0,12000.0,3598.0,0.0,0.0,2,23,"Dartmouth College,Dartmouth College,Dartmouth College,Berry Library,Berry Library,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,South Block Parking Garage,South Block Parking Garage,Dartmouth College,Dartmouth College,Lord Hall,Lord Hall,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Carpenter Hall,Carpenter Hall,Haldeman Center"
04:04:2013,80282.0,0.0,1200.0,0.0,3718.0,0.0,3,23,"Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,0,0,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
04:05:2013,166854.0,0.0,0.0,0.0,0.0,0.0,5,23,North Massachusetts Hall
05:04:2013,76800.0,4800.0,4800.0,0.0,0.0,0.0,4,23,"Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,North Massachusetts Hall,Carpenter Hall,Carpenter Hall,Dartmouth College"
05:05:2013,1201.0,0.0,0.0,0.0,0.0,0.0,-1,23,North Massachusetts Hall
06:04:2013,91203.0,0.0,4750.0,0.0,1247.0,0.0,5,23,"Dartmouth College,Dartmouth College,Byrne Dining Hall,Dartmouth College,Dartmouth College,The Arthur L. Irving Institute for Energy & Society,Dartmouth College,0,Dartmouth College,Dartmouth College,Lord Hall,Lord Hall,Dartmouth College,North Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:05:2013,173287.0,4799.0,3599.0,0.0,0.0,0.0,0,23,"Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Lord Hall,Carson Hall,Berry Library,North Massachusetts Hall,North Massachusetts Hall,Lord Hall,Lord Hall,North Massachusetts Hall"
07:04:2013,92177.0,0.0,0.0,0.0,0.0,0.0,-1,23,"Dartmouth College,Whittemore Hall,Whittemore Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Lord Hall,Lord Hall,Dartmouth College"
08:04:2013,57600.0,3600.0,9600.0,0.0,0.0,0.0,0,23,"Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Carpenter Hall,Carpenter Hall,Haldeman Center"
08:05:2013,100800.0,3600.0,0.0,0.0,0.0,0.0,2,23,"North Massachusetts Hall,Alumni Gymnasium,Alumni Gymnasium,North Massachusetts Hall,North Massachusetts Hall,Lord Hall,Lord Hall,North Massachusetts Hall"
09:04:2013,83999.0,0.0,1201.0,0.0,0.0,0.0,1,23,"Haldeman Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
09:05:2013,62400.0,1200.0,0.0,0.0,0.0,0.0,3,23,"North Massachusetts Hall,Berry Library,Lord Hall,Lord Hall,North Massachusetts Hall"
10:04:2013,72000.0,8400.0,7200.0,0.0,0.0,0.0,2,23,"Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Carpenter Hall,Carpenter Hall,Haldeman Center"
10:05:2013,89103.0,2400.0,0.0,0.0,0.0,0.0,4,23,"North Massachusetts Hall,Dartmouth College,Alumni Gymnasium,North Massachusetts Hall"
