date,home_time,school_time,recreational_activities,travel_time,orthers,working,date_in_week,volunteer,location_names
01:04:2013,14400.0,0.0,0.0,0.0,0.0,0.0,0,25,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
02:04:2013,170381.0,1219.0,0.0,0.0,0.0,0.0,1,25,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College"
04:04:2013,74401.0,11999.0,0.0,0.0,0.0,0.0,3,25,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
05:04:2013,87650.0,0.0,0.0,0.0,0.0,0.0,4,25,"Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
06:04:2013,94800.0,3601.0,0.0,0.0,0.0,0.0,5,25,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
07:04:2013,51600.0,24000.0,0.0,0.0,0.0,0.0,-1,25,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
08:04:2013,44400.0,40800.0,0.0,0.0,0.0,0.0,0,25,"Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
09:04:2013,98400.0,0.0,0.0,0.0,0.0,0.0,1,25,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
10:04:2013,153601.0,0.0,0.0,0.0,0.0,0.0,2,25,"Dartmouth College,Dartmouth College,Dartmouth College"
11:04:2013,3599.0,2400.0,0.0,0.0,0.0,0.0,3,25,"Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center"
12:04:2013,80404.0,0.0,5997.0,0.0,0.0,0.0,4,25,"Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College"
13:04:2013,26400.0,1200.0,0.0,74400.0,0.0,0.0,5,25,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,0"
