date,home_time,orthers,school_time,travel_time,recreational_activities,working,shopping,date_in_week,volunteer,location_names
01:04:2013,6000.0,39600.0,7199.0,33601.0,0.0,0.0,0.0,0,31,"0,0,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
01:05:2013,74400.0,0.0,6000.0,7200.0,0.0,0.0,0.0,2,31,"Collis Student Center,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Hanover Inn Valet Lot,0,New Hampshire Hall,New Hampshire Hall,0,0,New Hampshire Hall,New Hampshire Hall,0,Hanover Inn Valet Lot,New Hampshire Hall,Collis Student Center,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
02:04:2013,30929.0,0.0,11102.0,40825.0,3545.0,0.0,0.0,1,31,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Bartlett Hall,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,0,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Dartmouth College,Dartmouth College,Collis Student Center"
02:05:2013,18000.0,0.0,4800.0,50441.0,11959.0,0.0,0.0,3,31,"Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Zahm Courtyard,0,Dartmouth College,Collis Student Center,0,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,0,New Hampshire Hall,0,0,New Hampshire Hall,Hanover Inn Valet Lot,0,0,New Hampshire Hall,Hanover Inn Valet Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Wentworth Hall"
03:04:2013,24000.0,0.0,17999.0,19200.0,18000.0,7200.0,0.0,2,31,"Collis Student Center,Hopkins Center for the Arts,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Alpha Phi,Alpha Phi,Alpha Phi,0,Alpha Phi,Alpha Phi,Collis Student Center,Collis Student Center,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Hanover Inn Valet Lot,Dartmouth College,Dartmouth College,Dartmouth College"
03:05:2013,27600.0,0.0,3600.0,25200.0,30000.0,0.0,0.0,4,31,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Class of 1953 Commons,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,0,0,Dartmouth College,Dartmouth College,Hanover Inn Valet Lot,0,Hallgarten Hall,0,Hanover Inn Valet Lot,0,New Hampshire Hall,Hanover Inn Valet Lot,0,New Hampshire Hall,Hanover Inn Valet Lot,0,Collis Student Center,Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,Dartmouth College"
04:04:2013,28800.0,0.0,7200.0,21010.0,14990.0,14400.0,0.0,3,31,"Dartmouth College,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Zahm Courtyard,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Hanover Inn Valet Lot,Hanover Inn Valet Lot,Alpha Phi,Alpha Phi,0,Hanover Inn Valet Lot,Bartlett Hall,New Hampshire Hall,Hanover Inn Valet Lot,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,58874.0,1203.0,10836.0,8401.0,3600.0,0.0,6040.0,5,31,"Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,Observatory Road,Sanborn House,Hanover Information booth,Collis Student Center,Collis Student Center,Dartmouth College,New Hampshire Hall,Bartlett Hall,Bartlett Hall,0,0,Middle Massachusetts Hall,Middle Massachusetts Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,0,0,New Hampshire Hall,0,New Hampshire Hall"
05:04:2013,43467.0,0.0,9600.0,21590.0,13200.0,0.0,0.0,4,31,"Hopkins Center for the Arts,Hopkins Center for the Arts,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Dartmouth College,Dartmouth College,Dartmouth College,Collis Student Center,Collis Student Center,New Hampshire Hall,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Hanover Inn Valet Lot,0,Hanover Inn Valet Lot,Hanover Inn Valet Lot,New Hampshire Hall,Hanover Inn Valet Lot,Collis Student Center,Collis Student Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College,Dartmouth College"
05:05:2013,50401.0,0.0,9600.0,28799.0,0.0,0.0,0.0,-1,31,"0,Dartmouth College,Dartmouth College,Bartlett Hall,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Bartlett Hall,0,0,0,0,0,0,0,0,0,Bartlett Hall,New Hampshire Hall,0,New Hampshire Hall,New Hampshire Hall,0,New Hampshire Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
