date,home_time,recreational_activities,school_time,travel_time,working,orthers,shopping,date_in_week,volunteer,location_names
01:04:2013,58802.0,5999.0,5997.0,1200.0,12002.0,0.0,0.0,0,34,"Dartmouth College,Hopkins Center for the Arts,Channing Cox Hall,Channing Cox Hall,Sigma Alpha Epsilon Fraternity,Carpenter Hall,Channing Cox Hall,Channing Cox Hall,Anonymous Hall,Class of 1978 Life Sciences Center,Dana Circle Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,The Irving Institute for Energy & Society,MacLean Engineering Sciences Center"
01:05:2013,46801.0,14399.0,2400.0,0.0,0.0,0.0,0.0,2,34,"Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Channing Cox Hall,MacLean Engineering Sciences Center"
02:04:2013,91200.0,6000.0,7200.0,0.0,0.0,0.0,0.0,1,34,"The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Channing Cox Hall,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Channing Cox Hall"
02:05:2013,78000.0,13200.0,6000.0,0.0,0.0,0.0,0.0,3,34,"MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Channing Cox Hall,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Channing Cox Hall"
03:04:2013,45601.0,14400.0,7199.0,1200.0,0.0,0.0,0.0,2,34,"Channing Cox Hall,Mass Parking Lot,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Channing Cox Hall,Channing Cox Hall,Class of 1978 Life Sciences Center,Channing Cox Hall,Channing Cox Hall,MacLean Engineering Sciences Center,The Irving Institute for Energy & Society"
03:05:2013,46800.0,10801.0,18000.0,0.0,0.0,1199.0,0.0,4,34,"Channing Cox Hall,MacLean Engineering Sciences Center,Channing Cox Hall,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Collis Student Center,Channing Cox Hall,Channing Cox Hall,MacLean Engineering Sciences Center"
04:04:2013,74400.0,0.0,12000.0,0.0,0.0,0.0,0.0,3,34,"MacLean Engineering Sciences Center,MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Channing Cox Hall,Channing Cox Hall,Channing Cox Hall,Channing Cox Hall,Channing Cox Hall,MacLean Engineering Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center"
04:05:2013,49200.0,28799.0,7201.0,0.0,0.0,0.0,0.0,5,34,"MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,MacLean Engineering Sciences Center,MacLean Engineering Sciences Center,Berry Library,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Channing Cox Hall,Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Dartmouth College,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts"
05:04:2013,64800.0,6000.0,12000.0,0.0,0.0,3600.0,0.0,4,34,"Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Channing Cox Hall,Dartmouth College,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Channing Cox Hall,MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,Dartmouth College,The Irving Institute for Energy & Society,Dartmouth College,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Citizens Bank,Citizens Bank,MacLean Engineering Sciences Center"
05:05:2013,2400.0,15600.0,0.0,0.0,0.0,0.0,0.0,-1,34,"Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Channing Cox Hall"
06:04:2013,79199.0,12001.0,7200.0,1200.0,0.0,0.0,0.0,5,34,"MacLean Engineering Sciences Center,The Irving Institute for Energy & Society,The Irving Institute for Energy & Society,0,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall"
07:04:2013,80400.0,16800.0,0.0,0.0,0.0,0.0,0.0,-1,34,"Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall"
08:04:2013,42000.0,3601.0,9604.0,0.0,3599.0,3596.0,0.0,0,34,"Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Dartmouth College,Channing Cox Hall,Channing Cox Hall,Dartmouth College,The Irving Institute for Energy & Society,Class of 1978 Life Sciences Center,Citizens Bank,Citizens Bank,MacLean Engineering Sciences Center"
09:04:2013,96000.0,0.0,2400.0,0.0,6000.0,0.0,0.0,1,34,"MacLean Engineering Sciences Center,Dartmouth College,The Irving Institute for Energy & Society,Dartmouth College,Sigma Alpha Epsilon Fraternity,Sigma Alpha Epsilon Fraternity,Channing Cox Hall"
10:04:2013,51601.0,14400.0,2400.0,0.0,0.0,0.0,0.0,2,34,"Channing Cox Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Hopkins Center for the Arts,Channing Cox Hall,Channing Cox Hall,MacLean Engineering Sciences Center"
