date,home_time,school_time,recreational_activities,working,travel_time,orthers,shopping,date_in_week,volunteer
01:04:2013 ,3600.0,46800.0,0.0,0.0,0.0,0.0,0.0,0,36
01:05:2013 ,4806.0,0.0,20393.0,0.0,0.0,0.0,0.0,2,36
01:06:2013 ,12010.0,0.0,0.0,0.0,0.0,0.0,0.0,5,36
02:04:2013 ,49200.0,1200.0,0.0,0.0,0.0,0.0,0.0,1,36
02:05:2013 ,15601.0,0.0,0.0,226799.0,0.0,0.0,0.0,3,36
03:04:2013 ,60000.0,28800.0,0.0,0.0,0.0,0.0,0.0,2,36
04:04:2013 ,46801.0,33600.0,0.0,0.0,1199.0,0.0,0.0,3,36
05:04:2013 ,75600.0,9601.0,0.0,0.0,0.0,3599.0,0.0,4,36
05:05:2013 ,158401.0,0.0,0.0,4799.0,0.0,0.0,0.0,-1,36
06:04:2013 ,207600.0,37200.0,0.0,0.0,0.0,0.0,0.0,5,36
06:05:2013 ,12000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36
07:05:2013 ,81600.0,0.0,0.0,0.0,0.0,0.0,0.0,1,36
08:04:2013 ,1200.0,26400.0,0.0,0.0,3600.0,0.0,0.0,0,36
08:05:2013 ,33600.0,0.0,0.0,217200.0,0.0,0.0,0.0,2,36
09:04:2013 ,56399.0,13201.0,0.0,0.0,0.0,0.0,0.0,1,36
10:04:2013 ,56400.0,44400.0,0.0,0.0,0.0,0.0,0.0,2,36
10:05:2013 ,7200.0,2400.0,0.0,0.0,0.0,0.0,0.0,4,36
11:04:2013 ,52799.0,16801.0,0.0,0.0,0.0,0.0,0.0,3,36
11:05:2013 ,43201.0,1199.0,0.0,40800.0,0.0,1200.0,0.0,5,36
12:04:2013 ,66000.0,44400.0,0.0,0.0,0.0,0.0,0.0,4,36
12:05:2013 ,15601.0,0.0,0.0,0.0,81600.0,0.0,0.0,-1,36
13:04:2013 ,52801.0,13200.0,0.0,0.0,0.0,0.0,0.0,5,36
13:05:2013 ,67201.0,0.0,0.0,17999.0,0.0,0.0,0.0,0,36
14:04:2013 ,64932.0,8400.0,0.0,0.0,13199.0,0.0,0.0,-1,36
14:05:2013 ,31199.0,0.0,0.0,117601.0,0.0,0.0,0.0,1,36
15:04:2013 ,46800.0,36000.0,0.0,0.0,0.0,0.0,0.0,0,36
15:05:2013 ,27599.0,0.0,0.0,0.0,0.0,0.0,0.0,2,36
16:04:2013 ,79200.0,0.0,0.0,0.0,9600.0,0.0,0.0,1,36
16:05:2013 ,316472.0,0.0,0.0,4800.0,0.0,0.0,0.0,3,36
17:04:2013 ,60006.0,0.0,0.0,0.0,22794.0,0.0,2400.0,2,36
18:04:2013 ,97200.0,0.0,0.0,0.0,1200.0,0.0,0.0,3,36
19:04:2013 ,69600.0,0.0,0.0,0.0,0.0,0.0,3600.0,4,36
19:05:2013 ,22800.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,36
20:04:2013 ,156000.0,0.0,0.0,0.0,0.0,4800.0,0.0,5,36
20:05:2013 ,76800.0,0.0,0.0,16800.0,0.0,0.0,0.0,0,36
21:04:2013 ,24000.0,1200.0,0.0,0.0,0.0,0.0,0.0,-1,36
21:05:2013 ,319200.0,0.0,0.0,0.0,0.0,0.0,0.0,1,36
22:04:2013 ,58800.0,0.0,0.0,0.0,14400.0,0.0,0.0,0,36
23:04:2013 ,90000.0,0.0,0.0,0.0,0.0,0.0,0.0,1,36
24:04:2013 ,82800.0,0.0,0.0,0.0,0.0,0.0,0.0,2,36
24:05:2013 ,4800.0,0.0,0.0,9600.0,0.0,0.0,0.0,4,36
25:04:2013 ,256802.0,0.0,0.0,0.0,0.0,0.0,1198.0,3,36
25:05:2013 ,23521.0,20396.0,0.0,42000.0,0.0,0.0,0.0,5,36
26:05:2013 ,148799.0,0.0,0.0,0.0,1200.0,0.0,0.0,-1,36
27:03:2013 ,135270.0,0.0,0.0,0.0,0.0,0.0,0.0,2,36
27:04:2013 ,6339.0,0.0,0.0,0.0,0.0,0.0,0.0,5,36
27:05:2013 ,15600.0,0.0,0.0,0.0,0.0,0.0,0.0,0,36
28:04:2013 ,115199.0,0.0,0.0,0.0,1200.0,0.0,0.0,-1,36
28:05:2013 ,86400.0,0.0,0.0,0.0,0.0,0.0,0.0,1,36
29:03:2013 ,73201.0,22797.0,1200.0,0.0,1201.0,0.0,0.0,4,36
29:04:2013 ,18015.0,0.0,0.0,37201.0,2384.0,0.0,0.0,0,36
29:05:2013 ,156000.0,0.0,0.0,0.0,0.0,1200.0,0.0,2,36
30:03:2013 ,79200.0,2400.0,0.0,0.0,0.0,0.0,0.0,5,36
30:04:2013 ,159601.0,1200.0,0.0,0.0,0.0,0.0,0.0,1,36
30:05:2013 ,12887.0,0.0,0.0,0.0,5113.0,0.0,0.0,3,36
31:03:2013 ,150003.0,1197.0,0.0,0.0,0.0,0.0,0.0,-1,36
31:05:2013 ,89299.0,0.0,0.0,0.0,0.0,0.0,0.0,4,36
