date,home_time,travel_time,recreational_activities,school_time,orthers,date_in_week,volunteer,location_names
01:04:2013,35999.0,49581.0,0.0,0.0,0.0,0,37,"Dartmouth College,North Main Street,Dartmouth College,North Main Street"
01:05:2013,3600.0,68400.0,0.0,0.0,0.0,2,37,"Dartmouth College,North Main Street,North Main Street,North Main Street,North Main Street"
01:06:2013,25800.0,0.0,0.0,0.0,0.0,5,37,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College"
02:04:2013,60000.0,31200.0,0.0,0.0,0.0,1,37,"Dartmouth College,Dartmouth College,North Main Street"
02:05:2013,61200.0,32400.0,0.0,0.0,0.0,3,37,"Dartmouth College,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Dartmouth College,Life Sciences Greenhouse"
03:04:2013,37200.0,55200.0,0.0,0.0,0.0,2,37,"Dartmouth College,North Main Street,Dartmouth College,North Main Street"
03:05:2013,18000.0,33600.0,72360.0,0.0,0.0,4,37,"Dartmouth College,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Life Sciences Greenhouse,0,0"
04:04:2013,51600.0,118800.0,0.0,0.0,0.0,3,37,"Dartmouth College,North Main Street"
04:05:2013,96651.0,0.0,0.0,0.0,0.0,5,37,Dartmouth College
05:05:2013,0.0,24000.0,0.0,0.0,0.0,-1,37,North Main Street
06:04:2013,78000.0,0.0,0.0,0.0,0.0,5,37,Dartmouth College
06:05:2013,72000.0,3602.0,0.0,1198.0,0.0,0,37,"Dartmouth College,North Main Street,Anonymous Hall,Life Sciences Greenhouse"
07:04:2013,2400.0,69600.0,0.0,0.0,0.0,-1,37,"North Main Street,Dartmouth College,North Main Street"
07:05:2013,63600.0,40800.0,0.0,0.0,0.0,1,37,"Dartmouth College,Dartmouth College,North Main Street,North Main Street"
08:04:2013,55200.0,36000.0,0.0,0.0,0.0,0,37,"North Main Street,Dartmouth College"
08:05:2013,48000.0,38400.0,0.0,0.0,0.0,2,37,"Dartmouth College,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Dartmouth College"
09:04:2013,54000.0,62400.0,0.0,0.0,0.0,1,37,"North Main Street,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street"
09:05:2013,49200.0,39600.0,0.0,0.0,0.0,3,37,"Dartmouth College,North Main Street"
10:04:2013,38400.0,43201.0,0.0,0.0,0.0,2,37,"Dartmouth College,North Main Street"
10:05:2013,52800.0,6000.0,0.0,0.0,0.0,4,37,"Dartmouth College,North Main Street,Life Sciences Greenhouse,Dartmouth College,Dartmouth College,North Main Street"
11:04:2013,3599.0,69600.0,0.0,0.0,0.0,3,37,"Dartmouth College,North Main Street,North Main Street,North Main Street,North Main Street"
11:05:2013,22188.0,65414.0,0.0,0.0,0.0,5,37,"North Main Street,Dartmouth College,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,Dartmouth College"
12:04:2013,55200.0,32400.0,0.0,0.0,0.0,4,37,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street"
12:05:2013,67198.0,28209.0,0.0,0.0,0.0,-1,37,"0,0,0,Dartmouth College,Dartmouth College,North Main Street"
13:04:2013,24000.0,70980.0,0.0,0.0,0.0,5,37,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street,North Main Street"
13:05:2013,63600.0,44400.0,0.0,0.0,0.0,0,37,"0,Dartmouth College,Dartmouth College,North Main Street,North Main Street,Dartmouth College,Hanover Street"
14:04:2013,12000.0,48000.0,0.0,0.0,0.0,-1,37,"Dartmouth College,North Main Street,North Main Street,North Main Street,North Main Street"
14:05:2013,49200.0,9600.0,0.0,0.0,0.0,1,37,"Dartmouth College,North Main Street,North Main Street,Dartmouth College"
15:04:2013,75600.0,10800.0,0.0,0.0,0.0,0,37,"Dartmouth College,0,Dartmouth College,Dartmouth College,North Main Street,0,North Main Street,North Main Street"
15:05:2013,57000.0,25800.0,0.0,0.0,0.0,2,37,"0,0,Dartmouth College,Dartmouth College,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street"
16:04:2013,46801.0,79200.0,0.0,0.0,0.0,1,37,"North Main Street,Dartmouth College"
16:05:2013,8400.0,81601.0,0.0,0.0,0.0,3,37,"Dartmouth College,Hanover Street,Dartmouth College,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
17:04:2013,38399.0,12000.0,0.0,0.0,0.0,2,37,"Dartmouth College,North Main Street,0,North Main Street,0,North Main Street,0,Dartmouth College"
17:05:2013,37800.0,33601.0,0.0,12000.0,0.0,4,37,"Dartmouth College,0,Dartmouth College,North Main Street,Murdough Center,Murdough Center"
18:04:2013,75600.0,12001.0,0.0,0.0,0.0,3,37,"0,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street,North Main Street"
18:05:2013,162875.0,0.0,0.0,0.0,0.0,5,37,"Dartmouth College,Dartmouth College"
19:04:2013,37200.0,0.0,0.0,0.0,44045.0,4,37,"Dartmouth College,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A,Terminal A Satellite"
19:05:2013,0.0,48000.0,0.0,0.0,0.0,-1,37,North Main Street
20:04:2013,18001.0,0.0,0.0,0.0,71939.0,5,37,"0,0,0"
20:05:2013,19200.0,52200.0,0.0,0.0,0.0,0,37,"Dartmouth College,North Main Street,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,0,North Main Street"
21:04:2013,84003.0,0.0,0.0,0.0,0.0,-1,37,0
21:05:2013,52449.0,53400.0,0.0,0.0,0.0,1,37,"Dartmouth College,North Main Street"
22:04:2013,130800.0,0.0,0.0,0.0,70796.0,0,37,"California State Capitol,California State Capitol,California State Capitol,California State Capitol,California State Capitol,0"
22:05:2013,31801.0,21599.0,0.0,0.0,0.0,2,37,"Dartmouth College,North Main Street"
23:05:2013,64800.0,49800.0,0.0,0.0,0.0,3,37,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street"
24:04:2013,27605.0,0.0,0.0,0.0,50395.0,2,37,"0,Sutphin Boulevard,Concourse A,Concourse A,Concourse A"
24:05:2013,34200.0,27000.0,0.0,0.0,0.0,4,37,"Dartmouth College,North Main Street"
25:04:2013,15600.0,76800.0,0.0,0.0,0.0,3,37,"South Station Pick-up/Drop-off Parking,Dartmouth College,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
25:05:2013,34203.0,96000.0,0.0,0.0,0.0,5,37,"Dartmouth College,0,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
26:04:2013,4800.0,92317.0,0.0,0.0,0.0,4,37,"Dartmouth College,Dartmouth College,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
26:05:2013,0.0,42600.0,0.0,0.0,0.0,-1,37,"North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
27:03:2013,162991.0,0.0,0.0,0.0,0.0,2,37,Dartmouth College
27:04:2013,9600.0,80401.0,0.0,0.0,0.0,5,37,"Dartmouth College,0,North Main Street,North Main Street,0,North Main Street,North Main Street,0,North Main Street,North Main Street,North Main Street"
27:05:2013,33999.0,48600.0,0.0,0.0,0.0,0,37,"Dartmouth College,Dartmouth College,0,0,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
28:04:2013,3599.0,82800.0,0.0,0.0,0.0,-1,37,"Dartmouth College,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street,North Main Street"
28:05:2013,5400.0,88779.0,0.0,0.0,0.0,1,37,"Dartmouth College,North Main Street"
29:03:2013,43200.0,51600.0,0.0,0.0,0.0,4,37,"Dartmouth College,North Main Street"
29:04:2013,30684.0,138516.0,0.0,0.0,0.0,0,37,"Dartmouth College,North Main Street"
29:05:2013,80393.0,13207.0,0.0,0.0,0.0,2,37,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street,Life Sciences Greenhouse,Dartmouth College"
30:03:2013,39600.0,21850.0,0.0,0.0,0.0,5,37,"0,0,North Main Street"
30:05:2013,52800.0,23400.0,0.0,0.0,0.0,3,37,"Dartmouth College,0,0,Hanover Street,Hanover Street,Hanover Street"
31:03:2013,7199.0,81601.0,0.0,0.0,0.0,-1,37,"Dartmouth College,North Main Street,North Main Street"
31:05:2013,60000.0,18000.0,0.0,0.0,0.0,4,37,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,North Main Street"
