date,home_time,orthers,recreational_activities,school_time,working,travel_time,shopping,date_in_week,volunteer,location_names
01:04:2013,66000.0,1200.0,1200.0,9600.0,8400.0,0.0,0.0,0,3,"0,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Anonymous Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Big Tree,Collis Student Center,Collis Student Center"
01:05:2013,66099.0,0.0,0.0,20400.0,0.0,0.0,0.0,2,3,"Dartmouth College,Dartmouth College,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Robinson Hall"
01:06:2013,17355.0,0.0,547.0,2505.0,0.0,0.0,0.0,5,3,"Dartmouth College,Dartmouth College,Dartmouth College,0,Dartmouth College,Dartmouth College,Dartmouth College,0,Class of 1953 Commons,Dartmouth College,Dartmouth College"
02:04:2013,60000.0,1200.0,16800.0,9600.0,0.0,0.0,0.0,1,3,"Wilson Hall,Hood Museum of Art,Wilson Hall,Wilson Hall,Hopkins Center for the Arts,Hopkins Center for the Arts,Alumni Gymnasium,0,0,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts,Dartmouth College"
02:05:2013,53960.0,0.0,8399.0,24000.0,0.0,0.0,0.0,3,3,"Hopkins Center for the Arts,Wilson Hall,Wilson Hall,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Hopkins Center for the Arts"
03:04:2013,58803.0,0.0,0.0,21600.0,4797.0,0.0,0.0,2,3,"Dartmouth College,Sigma Alpha Epsilon Fraternity,Wilder Hall,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Dartmouth College,Dartmouth College"
03:05:2013,55200.0,0.0,10800.0,24676.0,2400.0,2398.0,0.0,4,3,"Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Wilder Hall,0,Dartmouth College,Kemeny Hall,Moore Psychology Building,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dana Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Sigma Alpha Epsilon Fraternity,Robinson Hall,Robinson Hall,Collis Student Center,Hopkins Center for the Arts"
04:04:2013,62399.0,0.0,7201.0,18000.0,0.0,0.0,0.0,3,3,"Wilson Hall,Wilson Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Alumni Gymnasium,Alumni Gymnasium,Alumni Gymnasium,Dartmouth College,Dartmouth College"
04:05:2013,68880.0,0.0,1200.0,9115.0,0.0,0.0,0.0,5,3,"Wilson Hall,Hopkins Center for the Arts,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College"
05:04:2013,57600.0,0.0,0.0,25200.0,0.0,2400.0,0.0,4,3,"Dartmouth College,Dartmouth College,0,Wilder Hall,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,Rockefeller Center,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Dartmouth College,Collis Student Center,Collis Student Center,Dartmouth College,Dartmouth College"
05:05:2013,75730.0,0.0,0.0,10891.0,0.0,0.0,0.0,-1,3,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College"
06:04:2013,80400.0,0.0,3600.0,0.0,2400.0,0.0,0.0,5,3,"Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Harpoon Brewery,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Dartmouth College,Kappa Pi Kappa,Dartmouth College,Dartmouth College"
06:05:2013,61801.0,0.0,4799.0,16800.0,0.0,1200.0,0.0,0,3,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Class of 1953 Commons,Class of 1953 Commons,Class of 1953 Commons,Dartmouth College,Dartmouth College,0,Life Sciences Greenhouse,Life Sciences Greenhouse,0,Hopkins Center for the Arts,Hood Museum of Art,East Wheelock Street,Hopkins Center for the Arts,Hopkins Center for the Arts"
