date,home_time,school_time,travel_time,orthers,recreational_activities,date_in_week,volunteer,location_names
01:04:2013,32707.0,54893.0,0.0,0.0,0.0,0,48,"0,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Class of 1978 Life Sciences Center,Class of 1978 Life Sciences Center,Life Sciences Greenhouse,Class of 1978 Life Sciences Center,Anonymous Hall"
01:05:2013,9600.0,174821.0,0.0,0.0,0.0,2,48,"Sudikoff Hall,Dartmouth College,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
02:04:2013,170553.0,7200.0,0.0,0.0,0.0,1,48,"Anonymous Hall,Anonymous Hall,Anonymous Hall,Dartmouth College,Dartmouth College,Dartmouth College,0"
03:05:2013,10800.0,50400.0,0.0,0.0,0.0,4,48,"Sudikoff Hall,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
04:04:2013,63600.0,10801.0,0.0,0.0,0.0,3,48,"Anonymous Hall,Dartmouth College,Dartmouth College,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Class of 1953 Commons,Life Sciences Greenhouse"
04:05:2013,7200.0,181346.0,0.0,0.0,0.0,5,48,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Rauner Hall,Sudikoff Hall,Sudikoff Hall"
05:04:2013,13198.0,73200.0,0.0,0.0,0.0,4,48,"Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
06:04:2013,6001.0,265421.0,0.0,0.0,0.0,5,48,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall"
06:05:2013,10800.0,532081.0,0.0,0.0,0.0,0,48,"0,Sudikoff Hall,Sudikoff Hall"
09:04:2013,221285.0,2400.0,0.0,0.0,0.0,1,48,"Sudikoff Hall,Dartmouth College,Dartmouth College"
11:04:2013,19199.0,1200.0,1201.0,0.0,0.0,3,48,"0,Sudikoff Hall,Dartmouth College,Dartmouth College,Dana Circle Parking Lot"
12:04:2013,13200.0,74400.0,0.0,0.0,0.0,4,48,"Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College"
12:05:2013,0.0,66087.0,0.0,0.0,0.0,-1,48,Sudikoff Hall
13:04:2013,161452.0,8947.0,7201.0,0.0,0.0,5,48,"Dartmouth College,Life Sciences Greenhouse,Life Sciences Greenhouse,Anonymous Hall,Vail Dartmouth Medical School,Dartmouth College,Dartmouth College,Dartmouth College"
13:05:2013,0.0,199224.0,0.0,0.0,0.0,0,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
15:04:2013,31201.0,50399.0,0.0,0.0,0.0,0,48,"0,Dartmouth College,Anonymous Hall,Anonymous Hall,0,Dartmouth College,Sudikoff Hall"
15:05:2013,235791.0,0.0,0.0,0.0,0.0,2,48,0
16:04:2013,57600.0,40800.0,0.0,0.0,0.0,1,48,"Sudikoff Hall,Life Sciences Greenhouse,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,Sudikoff Hall"
17:04:2013,55171.0,31200.0,0.0,0.0,0.0,2,48,"Sudikoff Hall,Dartmouth College,Dartmouth College,0,Dartmouth College,Sudikoff Hall"
18:04:2013,72000.0,3600.0,0.0,0.0,0.0,3,48,"Sudikoff Hall,Dartmouth College,Dartmouth College,0,Sudikoff Hall,Dartmouth College"
18:05:2013,0.0,63320.0,0.0,0.0,0.0,5,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
19:04:2013,13200.0,72001.0,0.0,0.0,0.0,4,48,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Dartmouth College"
19:05:2013,5095.0,84763.0,0.0,0.0,0.0,-1,48,"0,Dartmouth College,Dartmouth College,Anonymous Hall,Sudikoff Hall"
20:04:2013,74928.0,7200.0,8116.0,1484.0,0.0,5,48,"Dartmouth College,Dana Circle Parking Lot,Life Sciences Greenhouse,Life Sciences Greenhouse,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dana Circle Parking Lot,Hanover Court,Dartmouth College,Dartmouth College,Dartmouth College"
20:05:2013,5694.0,79800.0,0.0,0.0,0.0,0,48,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
21:04:2013,18000.0,64800.0,0.0,0.0,0.0,-1,48,"0,Dartmouth College,Sudikoff Hall,Sudikoff Hall,0"
21:05:2013,18000.0,69001.0,0.0,0.0,0.0,1,48,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Parkhurst Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Parkhurst Hall,Dartmouth College,Dartmouth College,Sudikoff Hall"
22:04:2013,0.0,87601.0,0.0,0.0,0.0,0,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
22:05:2013,12600.0,19799.0,0.0,0.0,53166.0,2,48,"Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Berry Library,Berry Library,0"
23:04:2013,57599.0,37201.0,0.0,0.0,0.0,1,48,"0,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,0,Dartmouth College,Sudikoff Hall,Sudikoff Hall"
23:05:2013,23999.0,63002.0,0.0,0.0,0.0,3,48,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
24:04:2013,81814.0,1199.0,0.0,0.0,0.0,2,48,"Sudikoff Hall,Dartmouth College,Dartmouth College"
24:05:2013,12598.0,74402.0,0.0,0.0,0.0,4,48,"Dartmouth College,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,0"
25:04:2013,239051.0,13202.0,0.0,0.0,0.0,3,48,"Sudikoff Hall,Sudikoff Hall,Dartmouth College,Dartmouth College,Class of 1953 Commons,0"
25:05:2013,0.0,91800.0,0.0,0.0,0.0,5,48,"Class of 1953 Commons,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
26:05:2013,3000.0,76200.0,0.0,0.0,0.0,-1,48,"0,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall,Sudikoff Hall"
